feature,rows,null_rate,distinct_values,positive_rate,point_biserial,p_value,spearman,directional_auc,blocked_auc,auc_ci_low,auc_ci_high,mutual_information,horizon_minutes
lat,129730,0.0,1393,0.9133508055191552,-0.006875561117037625,0.013269676087412943,-0.010096875354165162,0.5103607909278451,0.5019687146850651,0.500127443658048,0.5105979974493271,0.10701197104040427,5
lng,129730,0.0,1393,0.9133508055191552,0.025350429267816645,6.717699671345247e-20,0.02215742640209525,0.5227365813145715,0.5539721247447412,0.5281768601880623,0.5751406854186151,0.10585089401248982,5
dist_from_daegu_center_km,129730,0.0,1399,0.9133508055191552,0.03494594032952636,2.3794684969295794e-36,0.05884497161118848,0.5603830818454696,0.5347758678800134,0.512224371383382,0.554156969333898,0.1062429267282583,5
lat,125074,0.0,1392,0.9169291779266674,-0.010510585609223952,0.0002014282391678365,-0.011740607159802232,0.5122801931802797,0.5017669087955461,0.5007722428603416,0.5221906274287915,0.10169866358197233,10
lng,125074,0.0,1392,0.9169291779266674,0.024700529782791043,2.3983583709512195e-18,0.021870729447446505,0.5228758814990777,0.5025882647117513,0.5025882647117513,0.5421845196169616,0.1018426029253634,10
dist_from_daegu_center_km,125074,0.0,1398,0.9169291779266674,0.0314047144239139,1.132217403842704e-28,0.05570205810248445,0.5582620666591942,0.5865652833056926,0.5719415995027691,0.5994846664945316,0.10205394727678097,10
lat,115934,0.0,1392,0.926613417979195,-0.016628369183155856,1.4949897082050065e-08,-0.0133420981578624,0.5147697367272233,0.5231961438853431,0.5055170091324289,0.5369605202724633,0.08182075817798129,15
lng,115934,0.0,1392,0.926613417979195,0.029265242524703697,2.1346635673013588e-23,0.02664534380754217,0.5294964577621449,0.5461674914097425,0.5167306580712543,0.5693835986977559,0.08175719601495035,15
dist_from_daegu_center_km,115934,0.0,1398,0.926613417979195,0.01632203823987372,2.731734903340076e-08,0.04113025514930483,0.5455312976468092,0.5182241773138843,0.5009830811762404,0.5479271481067342,0.08340494811045795,15
lat,98916,0.0,1099,0.9436491568603663,-0.03133540276949297,6.357137437538153e-23,-0.019287150912577544,0.5241444499267894,0.5060262357531259,0.5044424726777408,0.5458615907275055,0.061178434652159996,30
lng,98916,0.0,1099,0.9436491568603663,0.04006509218349982,1.9632226538654216e-36,0.03900030777187054,0.5488221772609966,0.5759257780098922,0.546052845949909,0.6085420716369118,0.0612657057246635,30
dist_from_daegu_center_km,98916,0.0,1103,0.9436491568603663,-0.017183120496393006,6.496073287617884e-08,0.007623954721318349,0.5095439805654829,0.5140050996897176,0.5035318279118438,0.5361547841178066,0.061020123313966,30
