feature,status,owner,reason
horizon_minutes,PENDING_DA2_HGB_ABLATION,DA②,Requires a fitted HGB and time-out-of-sample comparison
available_count,PENDING_DA2_HGB_ABLATION,DA②,Requires a fitted HGB and time-out-of-sample comparison
usable_count,PENDING_DA2_HGB_ABLATION,DA②,Requires a fitted HGB and time-out-of-sample comparison
known_charger_count,PENDING_DA2_HGB_ABLATION,DA②,Requires a fitted HGB and time-out-of-sample comparison
direct_observed_count,PENDING_DA2_HGB_ABLATION,DA②,Requires a fitted HGB and time-out-of-sample comparison
total_chargers,PENDING_DA2_HGB_ABLATION,DA②,Requires a fitted HGB and time-out-of-sample comparison
observation_coverage,PENDING_DA2_HGB_ABLATION,DA②,Requires a fitted HGB and time-out-of-sample comparison
direct_observation_coverage,PENDING_DA2_HGB_ABLATION,DA②,Requires a fitted HGB and time-out-of-sample comparison
observation_age_minutes,PENDING_DA2_HGB_ABLATION,DA②,Requires a fitted HGB and time-out-of-sample comparison
available_count_delta_1tick,PENDING_DA2_HGB_ABLATION,DA②,Requires a fitted HGB and time-out-of-sample comparison
minutes_since_last_change,PENDING_DA2_HGB_ABLATION,DA②,Requires a fitted HGB and time-out-of-sample comparison
hour,PENDING_DA2_HGB_ABLATION,DA②,Requires a fitted HGB and time-out-of-sample comparison
weekday,PENDING_DA2_HGB_ABLATION,DA②,Requires a fitted HGB and time-out-of-sample comparison
is_weekend,PENDING_DA2_HGB_ABLATION,DA②,Requires a fitted HGB and time-out-of-sample comparison
sessions_per_charger,PENDING_DA2_HGB_ABLATION,DA②,Requires a fitted HGB and time-out-of-sample comparison
usage_daytype_avg,PENDING_DA2_HGB_ABLATION,DA②,Requires a fitted HGB and time-out-of-sample comparison
history_observed,PENDING_DA2_HGB_ABLATION,DA②,Requires a fitted HGB and time-out-of-sample comparison
