feature,rows,null_rate,distinct_values,positive_rate,point_biserial,p_value,spearman,directional_auc,blocked_auc,auc_ci_low,auc_ci_high,mutual_information,q_value
horizon_minutes,469654,0.0,4,0.9239589144348819,0.04233626458666566,3.044370499611913e-185,0.0402031616782171,0.5423522422944074,0.5475606108904402,0.5247643644587472,0.5722591893835836,0.004553197286532029,4.215282230231879e-185
available_count,469654,0.0,12,0.9239589144348819,0.24964565996605567,0.0,0.3387215964030579,0.8317769015594652,0.8195973123112905,0.7894388596419679,0.8448664337133146,0.07986971741377924,0.0
usable_count,469654,0.0,14,0.9239589144348819,0.1511860083675635,0.0,0.1898221335552451,0.6784681376157491,0.6713374689737428,0.6377190063329887,0.6954336576808922,0.02977337170252281,0.0
known_charger_count,469654,0.0,13,0.9239589144348819,0.11277889590837804,0.0,0.13001175946502322,0.6218628470743396,0.6030197099559811,0.5689128927397163,0.6363826731894328,0.014705793430760838,0.0
direct_observed_count,469654,0.0,14,0.9239589144348819,0.12085264437980078,0.0,0.1353441489513593,0.6364265835797305,0.6480288253181422,0.6309540672297569,0.6731414572247999,0.01411759396586354,0.0
total_chargers,469654,0.0,33,0.9239589144348819,0.12017353331962181,0.0,0.21860671305583534,0.7251360708847113,0.6951385929032697,0.6583654881021956,0.7265462985182612,0.031919909487549525,0.0
observation_coverage,469654,0.0,118,0.9239589144348819,-0.1464865202975612,0.0,-0.14937870821828966,0.6255912002234326,0.6084499765400306,0.5935446332363278,0.6236595506270519,0.022440828316081518,0.0
direct_observation_coverage,469654,0.0,90,0.9239589144348819,0.033136517658731386,3.1799020986654834e-114,0.038942893826534083,0.5369718171851555,0.5673278736671693,0.5324036019672105,0.6176530162713323,0.016631616454487297,4.08844555542705e-114
observation_age_minutes,469654,0.0,546,0.9239589144348819,-0.07840942133428508,0.0,-0.09036856500598549,0.5729661391064163,0.5974184184040774,0.5679021569833197,0.6445778680846099,0.004622331307036154,0.0
available_count_delta_1tick,434937,0.07392037542531316,18,0.9321487939632637,0.08466845640886915,0.0,0.092138814770514,0.5544905804976697,0.5581176786335983,0.5225443832470407,0.5906491153595416,0.004222630013904327,0.0
minutes_since_last_change,469654,0.0,6986,0.9239589144348819,0.14637798799253698,0.0,0.19237167059322474,0.7090248273657802,0.7070825826740067,0.6929341791957474,0.7248149064363734,0.028860393275600194,0.0
hour,469654,0.0,24,0.9239589144348819,-0.04882727294140801,8.85639519363642e-246,-0.057178775407933626,0.562184612365053,0.5428274277486667,0.5005355353150435,0.6458655166453734,0.0037348567532442534,1.3284592790454628e-245
weekday,469654,0.0,4,0.9239589144348819,-0.008307162462165854,1.2476053959045716e-08,-0.008186552675150463,0.5084550209804775,0.5125358615181286,0.50174840458082,0.5192002686690262,0.004787578887291533,1.4035560703926431e-08
is_weekend,469654,0.0,2,0.9239589144348819,-0.008144814102519151,2.38007453248668e-08,-0.008144814102521578,0.5067550040347315,0.5098496054785296,0.5038568429604234,0.5196992109570593,0.0036162346797623535,2.5200789167506024e-08
sessions_per_charger,34131,0.9273273516248132,187,0.7224224312208842,-0.10631255896663323,2.337417086857845e-86,-0.14195536822680124,0.5914951166739779,0.5791767158766921,0.5483927364213479,0.5955150990555408,0.14117138073017355,2.8049005042294142e-86
usage_daytype_avg,34131,0.9273273516248132,336,0.7224224312208842,0.02106312869702412,9.957993816525909e-05,-0.015741008981263332,0.5101466449430754,0.5044512970047287,0.5005933682373473,0.5223258982789775,0.1480266635145464,9.957993816525909e-05
history_observed,469654,0.0,2,0.9239589144348819,-0.21284926296945997,0.0,-0.21284926296945,0.6042302307773191,0.5977734519106443,0.5892086424697438,0.6029086780396777,0.01947094310453945,0.0
unobserved_rate,469654,0.0,118,0.9239589144348819,0.1464865202975612,0.0,0.14937870821828966,0.6255912002234326,0.6084499765400306,0.5935446332363278,0.6236595506270518,0.017165428654493775,0.0
