station_id,station_name,as_of,status_updated_at,status_observed_at,status_age_minutes,observation_age_minutes,freshness_flag,lat,lng,total_chargers,available_count,observed_count,observation_coverage,observed_available,static_candidate_ready,recheck_required,availability_guaranteed,data_quality_flags,request_vehicle_model,request_current_soc_percent,request_eta_minutes,request_route_distance_km,arrival_soc_percent,soc_risk_level,is_operating_now,schema_version
ME178137,군위영천휴게소(하행),2026-07-28T16:43:43.293342+09:00,2026-07-28 07:29:34.999999999+00:00,2026-07-28 07:32:16.999999998+00:00,14.138222366666668,11.438222366666668,AGING,36.070161,128.7097063,2,2,2,1.0,True,True,False,False,AGING,,,,,,,Y,station_feature_v1
ME181302,대구지방합동청사,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:26:16.999999998+00:00,2026-07-28 07:32:16.999999998+00:00,17.438222366666665,11.438222366666668,CHECK_REQUIRED,35.8041984,128.5166757,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME181303,㈜정방,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:28:31.999999998+00:00,2026-07-28 07:32:16.999999998+00:00,15.188222366666668,11.438222366666668,CHECK_REQUIRED,35.767460831,128.6487953,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME183050,대구보건환경연구원,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:28:28.999999998+00:00,2026-07-28 07:32:16.999999998+00:00,15.238222366666667,11.438222366666668,CHECK_REQUIRED,35.8296797,128.6320054,2,2,2,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME183053,달서구 청소년수련관공영주차장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:28:31.999999998+00:00,2026-07-28 07:32:16.999999998+00:00,15.188222366666668,11.438222366666668,CHECK_REQUIRED,35.80795,128.5587594,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME183054,구지면사무소,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:25:33+00:00,2026-07-28 07:32:16.999999998+00:00,18.1715557,11.438222366666668,CHECK_REQUIRED,35.658658456,128.4134391,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME183055,수태골 공영주차장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:29:55.999999998+00:00,2026-07-28 07:32:16.999999998+00:00,13.788222366666668,11.438222366666668,AGING,35.9923765,128.6810109,1,1,1,1.0,True,True,True,False,AGING,,,,,,,Y,station_feature_v1
ME183056,낙동강승전기념관,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:29:19.999999998+00:00,2026-07-28 07:32:16.999999998+00:00,14.388222366666668,11.438222366666668,AGING,35.827560977,128.58872119,1,1,1,1.0,True,True,True,False,AGING,,,,,,,Y,station_feature_v1
ME183057,이곡2동주민센터,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:26:09+00:00,2026-07-28 07:32:16.999999998+00:00,17.571555699999998,11.438222366666668,CHECK_REQUIRED,35.855634776,128.50107098,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME183058,신암5동주민센터,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:25:31.000000002+00:00,2026-07-28 07:32:16.999999998+00:00,18.20488903333333,11.438222366666668,CHECK_REQUIRED,35.8897037,128.6326875,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME183059,복현2동주민센터,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:28:22.999999998+00:00,2026-07-28 07:32:16.999999998+00:00,15.338222366666669,11.438222366666668,CHECK_REQUIRED,35.895183356,128.62554729,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME183060,대구환경공단 신천사업소,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:26:00+00:00,2026-07-28 07:32:16.999999998+00:00,17.7215557,11.438222366666668,CHECK_REQUIRED,35.910053,128.5980954,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME183061,만촌1동주민센터,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:27:16.999999998+00:00,2026-07-28 07:32:16.999999998+00:00,16.43822236666667,11.438222366666668,CHECK_REQUIRED,35.8662711,128.6395689,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME183062,호산공영주차장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:30:06+00:00,2026-07-28 07:32:16.999999998+00:00,13.6215557,11.438222366666668,AGING,35.842778498,128.49013162,1,0,1,1.0,False,True,True,False,AGING,,,,,,,Y,station_feature_v1
ME183063,용산역환승주차장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:28:27+00:00,2026-07-28 07:32:16.999999998+00:00,15.2715557,11.438222366666668,CHECK_REQUIRED,35.848530792,128.52951891,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME183064,서촌공영주차장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:25:22.999999998+00:00,2026-07-28 07:32:16.999999998+00:00,18.338222366666667,11.438222366666668,CHECK_REQUIRED,35.862405614,128.52212472,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME183065,웃는얼굴 아트센터,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:27:30+00:00,2026-07-28 07:32:16.999999998+00:00,16.2215557,11.438222366666668,CHECK_REQUIRED,35.843759305,128.52223591,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME183066,서변2공영주차장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:30:01.999999998+00:00,2026-07-28 07:32:16.999999998+00:00,13.688222366666668,11.438222366666668,AGING,35.9210768,128.5983464,1,0,1,1.0,False,True,True,False,AGING,,,,,,,Y,station_feature_v1
ME183067,팔달신시장공영주차장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:27:01.999999998+00:00,2026-07-28 07:32:16.999999998+00:00,16.68822236666667,11.438222366666668,CHECK_REQUIRED,35.8918583,128.5662294,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME183068,범물공영주차장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:29:04.000000002+00:00,2026-07-28 07:32:16.999999998+00:00,14.654889033333337,11.438222366666668,AGING,35.8177986,128.6426182,1,1,1,1.0,True,True,True,False,AGING,,,,,,,Y,station_feature_v1
ME183069,황금2동주민센터 앞 공영주차장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:26:19.000000002+00:00,2026-07-28 07:32:16.999999998+00:00,17.404889033333333,11.438222366666668,CHECK_REQUIRED,35.841675784,128.6253953,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME183070,블루핸즈 현풍현대서비스,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:27:39+00:00,2026-07-28 07:32:16.999999998+00:00,16.0715557,11.438222366666668,CHECK_REQUIRED,35.6654537,128.4301409,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME183071,계명문화대학교,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:26:46.000000002+00:00,2026-07-28 07:32:16.999999998+00:00,16.954889033333334,11.438222366666668,CHECK_REQUIRED,35.8599026,128.4911241,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME183072,SW융합기술지원센터,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:27:49.000000002+00:00,2026-07-28 07:32:16.999999998+00:00,15.904889033333337,11.438222366666668,CHECK_REQUIRED,35.8355921,128.6818292,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME183077,호텔아젤리아,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:27:28.000000002+00:00,2026-07-28 07:32:16.999999998+00:00,16.254889033333335,11.438222366666668,CHECK_REQUIRED,35.6927724,128.505986,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
ME183144,대구환경공단 달성사업소,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:29:01.000000002+00:00,2026-07-28 07:32:16.999999998+00:00,14.704889033333334,11.438222366666668,AGING,35.69241506,128.42241654,3,3,3,1.0,True,True,False,False,AGING,,,,,,,Y,station_feature_v1
ME184067,대구시청,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:29:39+00:00,2026-07-28 07:32:16.999999998+00:00,14.0715557,11.438222366666668,AGING,35.8706135,128.6016338,1,1,1,1.0,True,True,True,False,AGING,,,,,,,Y,station_feature_v1
ME184068,두류공원관리소,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:29:16.000000002+00:00,2026-07-28 07:32:16.999999998+00:00,14.454889033333334,11.438222366666668,AGING,35.844707,128.561796,1,1,1,1.0,True,True,True,False,AGING,,,,,,,Y,station_feature_v1
ME184069,북구유통단지(EXCO),2026-07-28T16:43:43.293342+09:00,2026-07-28 07:28:57+00:00,2026-07-28 07:32:16.999999998+00:00,14.7715557,11.438222366666668,AGING,35.907199,128.613253,1,1,1,1.0,True,True,True,False,AGING,,,,,,,Y,station_feature_v1
ME184070,시지근린공원 공영주차장,2026-07-28T16:43:43.293342+09:00,2026-07-28 07:25:46.999999998+00:00,2026-07-28 07:32:16.999999998+00:00,17.938222366666665,11.438222366666668,CHECK_REQUIRED,35.841515,128.706201,1,1,1,1.0,True,True,True,False,CHECK_REQUIRED,,,,,,,Y,station_feature_v1
