hour,batches,occupancy_rate_mean,remaining_spaces_mean
0,6,32.60769841269841,91.26729559748428
1,6,30.9494126984127,92.61477987421384
2,6,29.84814285714286,93.38050314465409
3,6,29.30079365079365,93.75
4,6,29.242333333333335,93.54874213836477
5,6,29.657984126984125,92.67610062893081
6,6,31.519126984126984,90.43396226415095
7,6,33.903841269841266,86.82232704402516
8,6,36.28890476190476,83.72327044025157
9,6,42.82349206349206,76.33962264150944
10,6,48.14201587301587,65.95911949685535
11,6,52.26347619047619,58.264150943396224
12,6,53.48612698412699,54.83490566037736
13,6,53.13644444444444,54.492138364779876
14,9,58.9011746031746,47.865828092243184
15,7,58.835646258503395,49.44204851752021
16,6,56.821000000000005,54.477987421383645
17,6,53.36819047619048,61.68867924528302
18,6,48.06684126984127,69.68238993710692
19,6,48.184571428571424,71.14308176100629
20,6,46.690666666666665,74.88207547169812
21,6,42.97420634920635,80.45440251572327
22,6,39.19166666666667,84.66352201257861
23,6,35.43211111111111,88.0503144654088
