pklt_id,observations,occupancy_rate_mean,occupancy_rate_median,remaining_spaces_mean
150-4-000113,148,100.0,100.0,0.0
151-2-000004,148,100.0,100.0,0.0
151-2-000047,148,97.72797297297298,99.08,4.952702702702703
151-2-000046,148,93.79006756756758,94.94,4.905405405405405
155-2-000064,148,93.45405405405405,93.33,2.945945945945946
154-4-000022,148,92.23945945945947,88.025,29.486486486486488
152-2-000044,148,86.96858108108108,100.0,18.635135135135137
156-2-000084,148,81.18432432432432,85.135,20.885135135135137
155-2-000057,148,78.4220945945946,79.03,13.378378378378379
151-2-000006,148,76.30804054054055,75.0,7.581081081081081
151-2-000020,148,75.61945945945946,100.0,5.851351351351352
152-2-000017,148,73.89628378378379,78.05,10.702702702702704
156-2-000085,148,71.17398648648648,70.23,37.763513513513516
155-2-000061,148,70.90885135135136,97.3,10.763513513513514
150-2-000030,148,69.77054054054055,71.23,44.13513513513514
154-2-000017,148,69.48148648648649,68.75,14.64864864864865
155-2-000062,148,66.76905405405405,94.55,18.277027027027028
155-2-000045,148,65.99648648648649,64.86,25.16216216216216
155-3-000006,148,65.59932432432433,67.39,47.472972972972975
155-2-000010,148,63.62277027027027,82.26,22.554054054054053
156-2-000035,148,63.28202702702703,64.14,53.24324324324324
156-2-000034,148,63.24797297297298,65.48,30.87162162162162
155-2-000047,148,62.359459459459465,60.42,18.06756756756757
155-3-000002,148,62.30993243243244,67.27,20.72972972972973
155-1-000034,148,61.73398648648648,58.45,27.16891891891892
155-2-000049,148,61.52905405405405,56.25,12.31081081081081
151-2-000040,148,60.54851351351351,54.17,14.202702702702704
156-2-000072,148,60.49925675675675,61.54,10.27027027027027
154-2-000032,148,60.168040540540545,57.32,32.66216216216216
155-2-000027,148,58.31716216216216,42.305,5.418918918918919
156-2-000067,148,58.203783783783784,57.61,38.4527027027027
155-2-000059,148,57.5904054054054,40.94,58.527027027027025
156-2-000032,148,56.73574324324324,55.38,28.12162162162162
155-2-000060,148,56.47682432432432,57.14,30.466216216216218
150-2-000015,148,54.29675675675676,49.18,27.87837837837838
155-1-000105,148,53.83756756756757,53.205,36.00675675675676
155-1-000108,148,53.17567567567568,50.0,14.047297297297296
155-1-000106,148,52.972972972972975,53.75,37.62162162162162
154-2-000054,148,51.9202027027027,52.845,75.96621621621621
155-3-000001,148,51.670810810810806,44.44,34.7972972972973
150-2-000002,148,51.178851351351355,46.730000000000004,246.5472972972973
155-1-000107,148,50.94506756756757,52.114999999999995,57.88513513513514
155-2-000051,148,49.670743243243244,37.59,66.9391891891892
151-2-000048,148,49.62635135135135,52.68,28.20945945945946
152-2-000050,148,48.76074324324325,44.9,50.21621621621622
154-2-000033,148,46.494391891891894,47.06,45.479729729729726
156-4-000012,148,46.44864864864864,36.85,337.9121621621622
156-2-000071,148,46.16554054054054,36.76,99.5945945945946
154-2-000047,148,45.74716216216216,41.0,81.37837837837837
152-2-000046,148,44.08898648648649,35.23,49.2027027027027
154-4-000012,148,43.49777027027027,34.055,655.4256756756756
156-2-000055,148,41.82891891891892,43.84,42.46621621621622
155-3-000008,148,41.402027027027025,40.0,23.43918918918919
152-2-000051,148,41.200067567567565,40.5,71.14864864864865
156-2-000030,148,40.29628378378378,32.76,34.62837837837838
154-2-000051,148,40.20587837837838,43.935,59.195945945945944
156-2-000031,148,40.06898648648649,32.795,167.2027027027027
152-2-000045,148,39.57506756756757,34.33,40.486486486486484
156-2-000029,148,38.86405405405405,28.57,34.236486486486484
151-2-000008,148,38.671216216216216,35.0,36.7972972972973
156-2-000086,148,36.74317567567567,32.39,44.91216216216216
154-2-000035,148,36.55905405405405,35.84,253.1283783783784
156-2-000080,148,34.295810810810806,28.765,218.13513513513513
154-1-000153,148,34.25675675675676,20.0,13.14864864864865
154-2-000055,148,34.093851351351354,17.31,34.270270270270274
155-2-000053,148,32.57527027027027,32.28,85.62837837837837
153-2-000009,148,31.79608108108108,33.095,48.42567567567568
155-3-000005,148,31.158783783783782,22.64,36.486486486486484
150-2-000017,148,30.865945945945946,2.5949999999999998,359.5
155-4-000030,148,30.61993243243243,21.375,277.52027027027026
152-2-000047,148,29.01662162162162,27.08,68.14189189189189
155-2-000046,148,27.662837837837838,17.91,48.46621621621622
154-1-000117,148,27.385067567567567,23.53,24.68918918918919
156-2-000081,148,26.466148648648648,19.845,142.65540540540542
151-2-000007,148,24.497635135135134,10.64,35.486486486486484
156-1-000106,148,24.245135135135133,23.87,317.4189189189189
151-2-000045,148,24.090337837837836,11.29,94.12837837837837
154-2-000039,148,23.16364864864865,18.75,73.76351351351352
154-1-000091,148,22.63783783783784,16.67,9.283783783783784
154-1-000104,148,22.209594594594595,19.35,24.114864864864863
151-2-000003,148,21.21641891891892,19.48,121.32432432432432
155-2-000016,148,21.010675675675675,15.33,163.64864864864865
156-3-000002,148,20.61527027027027,20.53,119.87162162162163
154-1-000303,148,20.56594594594595,17.02,74.66891891891892
154-2-000034,148,20.41527027027027,12.77,37.4054054054054
154-1-000007,148,19.71918918918919,11.11,21.675675675675677
