hour,ticks,days,pct_smooth_mean,pct_slow_mean,pct_jam_mean,pct_congested_mean,speed_mean,speed_median_of_means
0,51,13,87.47,12.04,0.49,12.53,40.08,40.08
1,51,13,89.13,10.55,0.32,10.87,40.81,40.85
2,52,13,90.17,9.36,0.46,9.83,41.4,41.42
3,52,13,91.61,8.2,0.18,8.39,42.01,42.0
4,51,13,92.01,7.75,0.24,7.99,42.25,42.25
5,52,13,91.53,8.2,0.27,8.47,41.87,41.85
6,51,13,88.86,10.54,0.59,11.14,40.63,40.52
7,52,14,82.03,16.46,1.51,17.97,38.33,38.49
8,56,14,67.66,28.41,3.93,32.34,34.17,33.61
9,55,14,65.85,29.9,4.25,34.15,33.57,32.93
10,55,14,62.72,32.79,4.49,37.28,32.77,32.38
11,56,14,60.82,33.86,5.32,39.18,32.46,32.15
12,56,14,61.65,33.24,5.12,38.35,32.68,32.52
13,56,14,61.05,34.23,4.72,38.95,32.47,32.44
14,54,14,59.14,35.62,5.24,40.86,31.9,31.78
15,55,14,58.31,35.89,5.8,41.69,31.61,31.34
16,56,15,55.8,36.78,7.43,44.2,30.96,30.6
17,60,15,52.49,37.85,9.66,47.51,30.14,29.66
18,55,14,50.52,35.22,14.25,49.48,29.35,28.32
19,56,14,63.96,29.79,6.25,36.04,33.14,33.87
20,62,15,72.79,24.99,2.22,27.21,35.24,35.28
21,57,14,76.57,21.49,1.94,23.43,36.22,36.2
22,56,14,79.92,18.87,1.21,20.08,37.24,37.2
23,52,13,85.24,13.81,0.95,14.76,39.09,38.88
