station_id_daegu,station_name_daegu,lat,lng,statId,statNm,distance_m,radius_m,matched,map_verified,external_address_match,review_note
DGUC0001,(RS)대구시_유천동 행정복지센터,35.817079,128.513943,CV001048,대구시_유천동 행정복지센터,0.0,80.0,True,,,
DBJM0001,(RS)대구시_대봉2동 주민센터,35.858762,128.599367,CV000616,대구시_대봉2동 주민센터,0.0,80.0,True,,,
DGBM0001,(RS)대구시_범물1동,35.817729,128.645963,CV000817,대구시_범물1동,0.0,80.0,True,,,
DAGU0084,(RS)대구시_평리1동행정복지센터,35.87561,128.563275,CV003447,대구시_평리1동행정복지센터,0.0,80.0,True,,,
DAGU0015,(RS)대구시_이천동행정복지센터,35.853696,128.599411,CV003086,대구시_이천동행정복지센터,0.0,80.0,True,,,
DGSA0001,(RS)대구시_신암2동 행정복지센터,35.87998,128.612701,CV000555,대구시_신암2동 행정복지센터,0.0,80.0,True,,,
JGGY0001,(RS)대구시_장기공영주차장,35.843349,128.529975,PI530332,대구시 달서구 케이티장기빌딩,0.1,80.0,True,,,
DAGU0076,(RS)대구시_복현2동행정복지센터,35.895355,128.625463,CV003460,대구시_복현2동행정복지센터,2.6,80.0,True,,,
HBMD0001,(RS)대구시_하빈무등리공영주차장,35.9188237,128.4637087,CV002913,대구시_하빈무등리공영주차장,0.0,80.0,True,,,
YULA0002,(RS)대구시_율하체육공원3주차장,35.85959806,128.6996361,CV003479,대구시_율하체육공원3주차장,9.8,80.0,True,,,
DGMS0001,(RS)대구시_명성푸르지오,35.888987,128.589744,CV000560,대구시_명성푸르지오,0.0,80.0,True,,,
DAGU0072,(RS)대구시_검단동행정복지센터,35.913503,128.627086,CV003428,대구시_검단동행정복지센터,12.2,80.0,True,,,
NTSG0002,(RS)대구시_대구국가산업단지1공영주차장,35.6496956,128.4245628,CV002689,대구시_대구국가산업단지2공영주차장,0.0,80.0,True,,,
DAGU0071,(RS)대구시_동림플라자,35.8953811,128.517276,CV003466,대구시_동림플라자,27.1,80.0,True,,,
DGYT0001,(RS)대구시_대구유통단지 전자관,35.90816324,128.606681,CV000510,대구시_대구유통단지 전자관,0.0,80.0,True,,,
DAGU0037,(RS)대구시_다사읍 행정복지센터 서재출장소,35.872221,128.494253,CV003143,대구시_다사읍 행정복지센터 서재출장소,0.0,80.0,True,,,
DAGU0062,(RS)대구시_대구명복공원,35.8575333,128.6585246,CV003072,대구시_대구명복공원,0.0,80.0,True,,,
DAGU0085,(RS)대구시_평리3동행정복지센터,35.87585073,128.5613734,CV003446,대구시_평리3동행정복지센터,12.1,80.0,True,,,
DGND0001,(RS)대구시_내당4동,35.859002,128.551832,CV000808,대구시_내당4동,0.0,80.0,True,,,
DJMT0001,(RS)대구시_시지근린공원,35.841365,128.706041,CV003451,대구시_시지근린공원,0.0,80.0,True,,,
