statId,statNm,lat,lng,origin_id,origin_label,origin_lat,origin_lng,haversine_km,haversine_eta_min_proxy,tmap_eta_min,tmap_eta_minutes_int,tmap_road_km,tmap_http,tmap_error,fetched_at_kst,eta_source,eta_is_proxy,calibration_ratio
ME178137,군위영천휴게소(하행),36.070161,128.7097063,dongdaegu,동대구역 인근,35.8797,128.6284,22.407,44.8,54.3,54,37.07,200.0,,2026-08-06T14:41:40+09:00,tmap_routes_trafficInfo_Y,False,
ME181302,대구지방합동청사,35.8041984,128.5166757,dongdaegu,동대구역 인근,35.8797,128.6284,13.111,26.2,38.2,38,17.035,200.0,,2026-08-06T14:41:40+09:00,tmap_routes_trafficInfo_Y,False,
ME181303,㈜정방,35.767460831,128.6487953,dongdaegu,동대구역 인근,35.8797,128.6284,12.615,25.2,28.9,29,15.988,200.0,,2026-08-06T14:41:41+09:00,tmap_routes_trafficInfo_Y,False,
ME183050,대구보건환경연구원,35.8296797,128.6320054,dongdaegu,동대구역 인근,35.8797,128.6284,5.571,11.1,17.8,18,9.487,200.0,,2026-08-06T14:41:41+09:00,tmap_routes_trafficInfo_Y,False,
ME183053,달서구 청소년수련관공영주차장,35.80795,128.5587594,dongdaegu,동대구역 인근,35.8797,128.6284,10.152,20.3,27.6,28,14.649,200.0,,2026-08-06T14:41:41+09:00,tmap_routes_trafficInfo_Y,False,
ME183054,구지면사무소,35.658658456,128.4134391,dongdaegu,동대구역 인근,35.8797,128.6284,31.309,62.6,49.6,50,45.584,200.0,,2026-08-06T14:41:42+09:00,tmap_routes_trafficInfo_Y,False,
ME183055,수태골 공영주차장,35.9923765,128.6810109,dongdaegu,동대구역 인근,35.8797,128.6284,13.395,26.8,36.7,37,20.486,200.0,,2026-08-06T14:41:42+09:00,tmap_routes_trafficInfo_Y,False,
ME183056,낙동강승전기념관,35.827560977,128.58872119,dongdaegu,동대구역 인근,35.8797,128.6284,6.812,13.6,23.1,23,9.076,200.0,,2026-08-06T14:41:43+09:00,tmap_routes_trafficInfo_Y,False,
ME183057,이곡2동주민센터,35.855634776,128.50107098,dongdaegu,동대구역 인근,35.8797,128.6284,11.781,23.6,29.7,30,17.947,200.0,,2026-08-06T14:41:43+09:00,tmap_routes_trafficInfo_Y,False,
ME183058,신암5동주민센터,35.8897037,128.6326875,dongdaegu,동대구역 인근,35.8797,128.6284,1.178,2.4,6.9,7,2.133,200.0,,2026-08-06T14:41:44+09:00,tmap_routes_trafficInfo_Y,False,
ME183059,복현2동주민센터,35.895183356,128.62554729,dongdaegu,동대구역 인근,35.8797,128.6284,1.741,3.5,11.6,12,2.697,200.0,,2026-08-06T14:41:44+09:00,tmap_routes_trafficInfo_Y,False,
ME183060,대구환경공단 신천사업소,35.910053,128.5980954,dongdaegu,동대구역 인근,35.8797,128.6284,4.341,8.7,18.4,18,6.214,200.0,,2026-08-06T14:41:44+09:00,tmap_routes_trafficInfo_Y,False,
ME183061,만촌1동주민센터,35.8662711,128.6395689,dongdaegu,동대구역 인근,35.8797,128.6284,1.801,3.6,8.6,9,4.476,200.0,,2026-08-06T14:41:45+09:00,tmap_routes_trafficInfo_Y,False,
ME183062,호산공영주차장,35.842778498,128.49013162,dongdaegu,동대구역 인근,35.8797,128.6284,13.119,26.2,35.0,35,20.335,200.0,,2026-08-06T14:41:45+09:00,tmap_routes_trafficInfo_Y,False,
