statId,statNm,lat,lng,origin_id,origin_label,origin_lat,origin_lng,haversine_km,haversine_eta_min_proxy,tmap_eta_min,tmap_eta_minutes_int,tmap_road_km,tmap_http,tmap_error,fetched_at_kst,eta_source
ME178137,군위영천휴게소(하행),36.070161,128.7097063,dongdaegu,동대구역 인근,35.8797,128.6284,22.407,44.8,57.0,57.0,36.71,200,,2026-08-07T16:21:29+09:00,tmap_routes_trafficInfo_Y
ME181302,대구지방합동청사,35.8041984,128.5166757,dongdaegu,동대구역 인근,35.8797,128.6284,13.111,26.2,47.9,48.0,17.094,200,,2026-08-07T16:21:30+09:00,tmap_routes_trafficInfo_Y
ME181303,㈜정방,35.767460831,128.6487953,dongdaegu,동대구역 인근,35.8797,128.6284,12.615,25.2,37.1,37.0,15.988,200,,2026-08-07T16:21:30+09:00,tmap_routes_trafficInfo_Y
ME183050,대구보건환경연구원,35.8296797,128.6320054,dongdaegu,동대구역 인근,35.8797,128.6284,5.571,11.1,22.1,22.0,9.487,200,,2026-08-07T16:21:31+09:00,tmap_routes_trafficInfo_Y
ME183053,달서구 청소년수련관공영주차장,35.80795,128.5587594,dongdaegu,동대구역 인근,35.8797,128.6284,10.152,20.3,36.9,37.0,14.649,200,,2026-08-07T16:21:31+09:00,tmap_routes_trafficInfo_Y
ME183054,구지면사무소,35.658658456,128.4134391,dongdaegu,동대구역 인근,35.8797,128.6284,31.309,62.6,53.0,53.0,44.616,200,,2026-08-07T16:21:32+09:00,tmap_routes_trafficInfo_Y
ME183055,수태골 공영주차장,35.9923765,128.6810109,dongdaegu,동대구역 인근,35.8797,128.6284,13.395,26.8,40.0,40.0,20.486,200,,2026-08-07T16:21:32+09:00,tmap_routes_trafficInfo_Y
ME183056,낙동강승전기념관,35.827560977,128.58872119,dongdaegu,동대구역 인근,35.8797,128.6284,6.812,13.6,32.0,32.0,9.076,200,,2026-08-07T16:21:33+09:00,tmap_routes_trafficInfo_Y
ME183057,이곡2동주민센터,35.855634776,128.50107098,dongdaegu,동대구역 인근,35.8797,128.6284,11.781,23.6,36.6,37.0,17.634,200,,2026-08-07T16:21:34+09:00,tmap_routes_trafficInfo_Y
ME183058,신암5동주민센터,35.8897037,128.6326875,dongdaegu,동대구역 인근,35.8797,128.6284,1.178,2.4,8.1,8.0,2.133,200,,2026-08-07T16:21:34+09:00,tmap_routes_trafficInfo_Y
ME183059,복현2동주민센터,35.895183356,128.62554729,dongdaegu,동대구역 인근,35.8797,128.6284,1.741,3.5,11.2,11.0,2.697,200,,2026-08-07T16:21:35+09:00,tmap_routes_trafficInfo_Y
ME183060,대구환경공단 신천사업소,35.910053,128.5980954,dongdaegu,동대구역 인근,35.8797,128.6284,4.341,8.7,21.4,21.0,6.041,200,,2026-08-07T16:21:35+09:00,tmap_routes_trafficInfo_Y
ME183061,만촌1동주민센터,35.8662711,128.6395689,dongdaegu,동대구역 인근,35.8797,128.6284,1.801,3.6,15.5,16.0,3.713,200,,2026-08-07T16:21:36+09:00,tmap_routes_trafficInfo_Y
ME183062,호산공영주차장,35.842778498,128.49013162,dongdaegu,동대구역 인근,35.8797,128.6284,13.119,26.2,38.3,38.0,19.367,200,,2026-08-07T16:21:36+09:00,tmap_routes_trafficInfo_Y
ME183063,용산역환승주차장,35.848530792,128.52951891,dongdaegu,동대구역 인근,35.8797,128.6284,9.561,19.1,32.5,32.0,17.296,200,,2026-08-07T16:21:37+09:00,tmap_routes_trafficInfo_Y
ME183064,서촌공영주차장,35.862405614,128.52212472,dongdaegu,동대구역 인근,35.8797,128.6284,9.767,19.5,29.2,29.0,14.446,200,,2026-08-07T16:21:37+09:00,tmap_routes_trafficInfo_Y
ME183065,웃는얼굴 아트센터,35.843759305,128.52223591,dongdaegu,동대구역 인근,35.8797,128.6284,10.368,20.7,34.4,34.0,17.32,200,,2026-08-07T16:21:38+09:00,tmap_routes_trafficInfo_Y
ME183066,서변2공영주차장,35.9210768,128.5983464,dongdaegu,동대구역 인근,35.8797,128.6284,5.338,10.7,21.6,22.0,6.769,200,,2026-08-07T16:21:39+09:00,tmap_routes_trafficInfo_Y
ME183067,팔달신시장공영주차장,35.8918583,128.5662294,dongdaegu,동대구역 인근,35.8797,128.6284,5.762,11.5,24.9,25.0,7.492,200,,2026-08-07T16:21:39+09:00,tmap_routes_trafficInfo_Y
ME183068,범물공영주차장,35.8177986,128.6426182,dongdaegu,동대구역 인근,35.8797,128.6284,7.001,14.0,23.9,24.0,10.123,200,,2026-08-07T16:21:40+09:00,tmap_routes_trafficInfo_Y
ME183069,황금2동주민센터 앞 공영주차장,35.841675784,128.6253953,dongdaegu,동대구역 인근,35.8797,128.6284,4.237,8.5,23.8,24.0,6.094,200,,2026-08-07T16:21:40+09:00,tmap_routes_trafficInfo_Y
ME183070,블루핸즈 현풍현대서비스,35.6654537,128.4301409,dongdaegu,동대구역 인근,35.8797,128.6284,29.79,59.6,49.1,49.0,42.751,200,,2026-08-07T16:21:42+09:00,tmap_routes_trafficInfo_Y
ME183071,계명문화대학교,35.8599026,128.4911241,dongdaegu,동대구역 인근,35.8797,128.6284,12.564,25.1,37.8,38.0,19.028,200,,2026-08-07T16:21:43+09:00,tmap_routes_trafficInfo_Y
ME183072,SW융합기술지원센터,35.8355921,128.6818292,dongdaegu,동대구역 인근,35.8797,128.6284,6.873,13.7,22.5,22.0,9.503,200,,2026-08-07T16:21:43+09:00,tmap_routes_trafficInfo_Y
