hour,ticks,days,pct_smooth_mean,pct_slow_mean,pct_jam_mean,pct_congested_mean,speed_mean,speed_median_of_means
0,8,2,87.76,11.61,0.63,12.24,40.2,40.1
1,8,2,88.73,10.84,0.42,11.27,40.73,40.76
2,8,2,90.55,9.02,0.43,9.45,41.48,41.35
3,8,2,91.5,8.29,0.21,8.5,42.02,41.97
4,8,2,91.86,7.88,0.26,8.14,42.2,42.15
5,8,2,91.7,8.01,0.29,8.3,41.92,41.9
6,8,2,88.79,10.51,0.7,11.21,40.45,40.31
7,9,3,78.88,18.84,2.27,21.12,37.34,37.3
8,12,3,63.61,31.74,4.65,36.39,33.17,32.02
9,8,2,57.44,36.17,6.39,42.56,31.33,31.4
10,8,2,59.69,35.43,4.88,40.31,31.9,31.97
11,8,2,60.24,34.87,4.89,39.76,32.36,32.42
12,8,2,62.37,33.67,3.96,37.63,32.85,32.86
13,8,2,60.93,34.79,4.28,39.07,32.37,32.44
14,8,2,57.47,37.1,5.44,42.53,31.31,31.24
15,8,2,53.32,40.48,6.19,46.68,30.49,30.44
16,9,3,50.81,39.08,10.11,49.19,29.6,29.95
17,12,3,46.48,40.19,13.33,53.52,28.42,28.68
18,7,2,39.89,36.63,23.49,60.11,26.26,25.94
19,8,2,54.67,33.87,11.46,45.33,30.57,30.26
20,16,3,71.78,25.94,2.28,28.22,35.0,35.04
21,13,3,75.37,22.57,2.05,24.63,35.88,35.79
22,12,3,78.77,19.82,1.41,21.22,36.82,36.72
23,8,2,85.76,13.4,0.85,14.24,39.86,38.92
