feature,rows,null_rate,distinct_values,positive_rate,point_biserial,p_value,spearman,directional_auc,blocked_auc,auc_ci_low,auc_ci_high,mutual_information,horizon_minutes
lat,228393,0.0,1490,0.9149492322444208,-0.020809312486589914,2.628067861466159e-23,-0.01929146913922966,0.5199634034106297,0.5104587987607877,0.5054415625279454,0.5240583332769673,0.09776600225350651,5
lng,228393,0.0,1491,0.9149492322444208,0.022603915641804813,3.3009946059588956e-27,0.020763377265831738,0.5214865756665458,0.5311731984463799,0.5155194649743837,0.5497250056597786,0.09881943983073538,5
dist_from_daegu_center_km,228393,0.0,1497,0.9149492322444208,0.028817255711120687,3.6193357303158585e-43,0.05324707509088804,0.555101705176932,0.5514825410491755,0.5315673048893377,0.5597024184540993,0.09944827893783303,5
lat,223750,0.0,1490,0.9169296089385475,-0.02318146232896831,5.5216527302481035e-28,-0.020521616402553892,0.5214648186961587,0.5257158518017255,0.5087723925626714,0.5451717693865722,0.09025829662551477,10
lng,223750,0.0,1491,0.9169296089385475,0.022131927539355098,1.1849665965153646e-25,0.020524702170533895,0.521468042751823,0.5106315682625614,0.5002061708325519,0.5374916881196274,0.08991913583910938,10
dist_from_daegu_center_km,223750,0.0,1497,0.9169296089385475,0.026678628727971665,1.6020151928932618e-36,0.05132545397009782,0.5536844440868729,0.5697998984943327,0.5521830324064082,0.5855175154809444,0.09188704706693396,10
lat,205253,0.0,1490,0.9281228532591485,-0.03143813602794125,4.717449351829558e-46,-0.02355258413799389,0.5263236749036141,0.5342829088492099,0.5171365118993245,0.5406343771986503,0.07758890652377048,15
lng,205253,0.0,1491,0.9281228532591485,0.02750782857693747,1.1636008117830454e-35,0.025965424955854587,0.5290203937345899,0.5343777757636183,0.5114959996764947,0.5686974838687546,0.07709038781012079,15
dist_from_daegu_center_km,205253,0.0,1497,0.9281228532591485,0.00787997403457253,0.00035692046970331085,0.03316969926489768,0.537072296519432,0.5171116952173782,0.5016927105468278,0.5487385749349405,0.07836855250089281,15
lat,179255,0.0,1247,0.943560849069761,-0.04746045199950284,6.6397898662049705e-90,-0.030818774241568137,0.5385518180094628,0.5389539319914387,0.5142661683176388,0.5589699049644613,0.05722686842993285,30
lng,179255,0.0,1247,0.943560849069761,0.03675032685427797,1.2647703152522243e-54,0.03612585165769308,0.5451905337241278,0.5495251220043492,0.5287329717445451,0.5732262262615676,0.05607810600374119,30
dist_from_daegu_center_km,179255,0.0,1252,0.943560849069761,-0.02604321532043214,2.7969789372190157e-28,-0.001083224713640415,0.5013550273539118,0.5013159836016999,0.501014995367343,0.5385456645891818,0.05603082994624198,30
