origin_id,origin_label,origin_lat,origin_lng,rank_by_haversine,statId,statNm,lat,lng,haversine_km,haversine_eta_min_proxy,tmap_eta_min,tmap_road_km,eta_ratio_tmap_over_haversine,da_arrival_gate,is_operating_at_arrival,tmap_http,tmap_error,as_of_kst
dongdaegu,동대구역 인근,35.8797,128.6284,1,ST600336,코레일 동대구역(제2주차장),35.8794361,128.6287755,0.045,0.1,4.8,1.521,48.0,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
dongdaegu,동대구역 인근,35.8797,128.6284,2,CV003098,대구시_신암공원,35.88797,128.622964,1.042,2.1,9.1,1.902,4.333,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
dongdaegu,동대구역 인근,35.8797,128.6284,3,EZ001799,대구광역시교육연수원 글로벌교육센터,35.8939855,128.6262583,1.6,3.2,8.9,2.598,2.781,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
dongdaegu,동대구역 인근,35.8797,128.6284,4,PW000306,동대구써비스,35.891299,128.6453191,1.997,4.0,9.2,3.052,2.3,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
dongdaegu,동대구역 인근,35.8797,128.6284,5,PI740242,복현명문세가1단지105동,35.897349065,128.62366172,2.008,4.0,12.7,2.821,3.175,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
dongdaegu,동대구역 인근,35.8797,128.6284,6,PIS00580,대구 북구 오페라코오롱하늘채,35.881,128.597,2.833,5.7,16.2,4.298,2.842,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
dongdaegu,동대구역 인근,35.8797,128.6284,7,LU100907,하이프라자 북대구본점,35.8876897,128.5909947,3.485,7.0,16.3,4.138,2.329,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
dongdaegu,동대구역 인근,35.8797,128.6284,8,SF003065,경북고등학교 (완속충전기),35.845014828,128.63943213,3.983,8.0,14.3,6.542,1.788,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
dongdaegu,동대구역 인근,35.8797,128.6284,9,SF000279,오페라 트루엘 시민의 숲,35.882859465,128.58408946,4.008,8.0,17.1,5.778,2.138,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
dongdaegu,동대구역 인근,35.8797,128.6284,10,PI740574,봉덕화성파크드림103동,35.842362269,128.60567309,4.629,9.3,17.5,6.565,1.882,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
dongdaegu,동대구역 인근,35.8797,128.6284,11,CV000537,대구시_대명3동 행정복지센터,35.85225707,128.57937874,5.369,10.7,25.0,7.834,2.336,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
dongdaegu,동대구역 인근,35.8797,128.6284,12,HE230028,KT공중전화부스 원평치안센터앞,35.8793917,128.5618302,5.998,12.0,20.4,7.15,1.7,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
dongdaegu,동대구역 인근,35.8797,128.6284,13,EZ200002,리버사이드모텔,35.8281099,128.6087667,6.003,12.0,22.3,8.937,1.858,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
dongdaegu,동대구역 인근,35.8797,128.6284,14,PI306150,범물보성타운2,35.821308084,128.643585,6.636,13.3,19.6,9.223,1.474,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
dongdaegu,동대구역 인근,35.8797,128.6284,15,CV000982,대구시_고산2동 행정복지센터,35.843449,128.695181,7.243,14.5,19.4,9.782,1.338,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
dongdaegu,동대구역 인근,35.8797,128.6284,16,PI070275,삼성전자디지털센터대구신송현,35.8377907,128.5563179,7.995,16.0,29.1,10.766,1.819,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
banwoldang,반월당 인근,35.8655,128.5936,1,PC001339,메디스퀘어(대구),35.8653027,128.5926793,0.086,0.2,3.5,0.733,17.5,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
banwoldang,반월당 인근,35.8655,128.5936,2,TS271102,천주교 대구대교구청,35.860751,128.587184,0.783,1.6,4.2,1.456,2.625,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
banwoldang,반월당 인근,35.8655,128.5936,3,CV001592,칠성공영주차장,35.87611,128.60166099,1.385,2.8,11.2,3.164,4.0,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
banwoldang,반월당 인근,35.8655,128.5936,4,CV000618,한국농어촌공사 달성지사,35.856447,128.5744999,1.994,4.0,9.7,3.233,2.425,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
banwoldang,반월당 인근,35.8655,128.5936,5,CV001490,대구오페라하우스,35.88347,128.592245,2.002,4.0,12.9,3.063,3.225,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
banwoldang,반월당 인근,35.8655,128.5936,6,CV001974,대구 북구청 노원공영주차장,35.8880346,128.5804379,2.772,5.5,13.5,3.806,2.455,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
banwoldang,반월당 인근,35.8655,128.5936,7,PI740419,래미안웰리스트2단지B2,35.836728976,128.60474613,3.353,6.7,12.1,5.172,1.806,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
banwoldang,반월당 인근,35.8655,128.5936,8,CV003786,홈플러스 대구수성점,35.8390165,128.6235215,3.993,8.0,15.4,5.7,1.925,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
banwoldang,반월당 인근,35.8655,128.5936,9,ME23B115,남구시니어행복센터,35.8409928,128.5610222,4.006,8.0,15.1,5.572,1.887,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
banwoldang,반월당 인근,35.8655,128.5936,10,CV001894,종합유통단지 전자상가 공영주차장,35.906135,128.605965,4.654,9.3,21.6,6.262,2.323,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
banwoldang,반월당 인근,35.8655,128.5936,11,BNBN0594,대구 소선여자중학교,35.8528145,128.6498054,5.258,10.5,20.5,7.131,1.952,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
banwoldang,반월당 인근,35.8655,128.5936,12,HY000978,호텔인터불고 대구,35.8742105,128.6592368,5.993,12.0,22.8,8.099,1.9,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
banwoldang,반월당 인근,35.8655,128.5936,13,CV003129,대구시_대덕승마장,35.821699,128.554387,6.018,12.0,21.2,8.023,1.767,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
banwoldang,반월당 인근,35.8655,128.5936,14,CV003118,대구시_매천경로당,35.906023,128.540166,6.594,13.2,24.8,8.289,1.879,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
banwoldang,반월당 인근,35.8655,128.5936,15,EV007630,대구달성 국태모닝포유아파트,35.803914043,128.62413316,7.381,14.8,17.9,8.901,1.209,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
banwoldang,반월당 인근,35.8655,128.5936,16,CU530001,모텔 뷰(박병선),35.854297,128.505911,8.0,16.0,24.9,8.734,1.556,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
suseong,수성못 인근,35.828,128.618,1,EZ100687,1997빠리바닷가재,35.8258479,128.6188619,0.252,0.5,2.9,1.169,5.8,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
suseong,수성못 인근,35.828,128.618,2,UN000167,대구 해오름요양원(11kW),35.8221927,128.6089726,1.039,2.1,6.6,2.489,3.143,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
suseong,수성못 인근,35.828,128.618,3,ST272607,삼성스토어 동대구,35.8402438,128.6247861,1.493,3.0,6.6,2.547,2.2,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
suseong,수성못 인근,35.828,128.618,4,PI740222,범물태성한라창신101동102동,35.820236133,128.63794493,1.995,4.0,5.0,2.549,1.25,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
suseong,수성못 인근,35.828,128.618,5,PI740572,봉덕화성파크드림101동,35.842862458,128.60550055,2.0,4.0,9.1,3.625,2.275,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
suseong,수성못 인근,35.828,128.618,6,CV000559,대구시_남구청,35.846016,128.597695,2.714,5.4,13.3,4.358,2.463,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
suseong,수성못 인근,35.828,128.618,7,PI530294,대구시 수성구 수성그린타운,35.859339514,128.61359119,3.507,7.0,13.2,4.526,1.886,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
suseong,수성못 인근,35.828,128.618,8,EV006286,대구수성 월드메르디앙이스턴카운티3,35.86377395,128.62240079,3.998,8.0,15.6,5.873,1.95,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
suseong,수성못 인근,35.828,128.618,9,EV006285,대구수성 월드메르디앙이스턴카운티2,35.8638748,128.62160577,4.002,8.0,13.6,5.146,1.7,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
suseong,수성못 인근,35.828,128.618,10,CU530005,만촌태왕리더스,35.8631795,128.647862,4.748,9.5,13.8,7.326,1.453,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
suseong,수성못 인근,35.828,128.618,11,ME20C182,두류1·2동1공영주차장,35.855857,128.569531,5.356,10.7,26.6,8.772,2.486,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
suseong,수성못 인근,35.828,128.618,12,ME19Y406,롯데렌탈 대구지점,35.881162,128.629337,5.999,12.0,22.9,7.779,1.908,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
suseong,수성못 인근,35.828,128.618,13,CV001323,롯데렌탈 동대구점,35.881222,128.629075,6.002,12.0,22.9,7.797,1.908,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
suseong,수성못 인근,35.828,128.618,14,IN053025,이마트칠성점,35.8851,128.5899,6.836,13.7,19.7,11.196,1.438,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
suseong,수성못 인근,35.828,128.618,15,CV003446,대구시_평리3동행정복지센터,35.875943,128.561303,7.385,14.8,32.1,10.442,2.169,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
suseong,수성못 인근,35.828,128.618,16,PI202109,복현건영111동주차장,35.89992569,128.61619405,7.999,16.0,22.6,11.237,1.413,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
seongseo,성서 인근,35.8515,128.5085,1,CV003087,대구시_이곡1동행정복지센터,35.85164,128.510669,0.196,0.4,3.0,1.076,7.5,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
seongseo,성서 인근,35.8515,128.5085,2,ME24B142,성서운동장,35.860444,128.506337,1.013,2.0,8.7,2.681,4.35,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
seongseo,성서 인근,35.8515,128.5085,3,KP004852,계명대학교 성서캠퍼스(공학관),35.857331,128.4906876,1.731,3.5,10.1,4.1,2.886,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
seongseo,성서 인근,35.8515,128.5085,4,EV005709,대구달서 장기초록나라(교체)1,35.846382273,128.52963814,1.988,4.0,5.8,2.62,1.45,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
seongseo,성서 인근,35.8515,128.5085,5,CV001631,용산2공영주차장,35.857745534,128.52969531,2.033,4.1,7.3,3.423,1.78,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
seongseo,성서 인근,35.8515,128.5085,6,PIS00599,대구 달성군 에코폴리스동화아이위시3차,35.87,128.4897,2.665,5.3,13.1,5.167,2.472,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
seongseo,성서 인근,35.8515,128.5085,7,SF003044,대구성서산업단지관리공단 환경관리본부 (완속충전기),35.821971782,128.4940768,3.531,7.1,12.7,6.196,1.789,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
seongseo,성서 인근,35.8515,128.5085,8,EV005961,대구달성 죽곡한신휴플러스1,35.85099876,128.46415986,3.997,8.0,16.7,5.587,2.087,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
seongseo,성서 인근,35.8515,128.5085,9,EV005962,대구달성 죽곡한신휴플러스2,35.851817664,128.46406976,4.005,8.0,16.6,5.494,2.075,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
seongseo,성서 인근,35.8515,128.5085,10,CV004614,월배노인종합복지관,35.811617,128.52364,4.64,9.3,18.9,5.744,2.032,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
seongseo,성서 인근,35.8515,128.5085,11,CV001906,한국도로교통공단 대구지부,35.829921,128.560665,5.279,10.6,14.6,6.855,1.377,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
seongseo,성서 인근,35.8515,128.5085,12,CV000618,한국농어촌공사 달성지사,35.856447,128.5744999,5.974,11.9,17.9,7.084,1.504,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
seongseo,성서 인근,35.8515,128.5085,13,L3004610,기아오토큐 서대구점 (급),35.8905041,128.5546093,6.006,12.0,9.9,8.131,0.825,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
seongseo,성서 인근,35.8515,128.5085,14,ME25C277,수밭근린공원 주차장,35.7995228,128.5493043,6.851,13.7,18.9,8.258,1.38,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
seongseo,성서 인근,35.8515,128.5085,15,KE001402,경찰대구중앙파출소,35.8696324,128.5887755,7.51,15.0,23.4,8.063,1.56,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
seongseo,성서 인근,35.8515,128.5085,16,KE000354,대구침산태왕리더스102동,35.8892394,128.5840687,7.998,16.0,18.1,11.002,1.131,REVIEW,UNKNOWN,200,,2026-08-06T14:36:57+09:00
