feature,null_rate,distinct,directional_auc,pr_auc_univ
available_count,0.0,36,0.7041066316565477,0.9267151860121903
total_chargers,0.0,37,0.6965110252148294,0.9282111728139057
known_charger_count,0.0,41,0.6753966115107892,0.9227765713322845
observation_coverage,0.0,355,0.5653270499673163,0.8863359064734722
avail_ratio_t0,0.0,350,0.5511807141045971,0.8804996345116548
single_charger,0.0,2,0.6541634716249767,0.9092849090367116
hour,0.0,24,0.5599244304882856,0.9006485643434526
weekday,0.0,7,0.5160674966731791,0.8805206159234267
is_weekend,0.0,2,0.5204772971289272,0.8778355937590419
avail_rate_lag_15m,0.01456515479243814,309,0.5063100740698607,0.8772441127618464
avail_rate_lag_60m,0.030416061180346787,314,0.5159632416232125,0.8781463975908039
horizon_minutes,0.0,66,0.5477807631461277,0.8945960507501826
tmap_eta_min,0.0,487,0.5486856360581278,0.8956299556841913
haversine_km,0.0,1459,0.5288191031069117,0.8899863301748139
