feature,rows,null_rate,distinct_values,positive_rate,point_biserial,p_value,spearman,directional_auc,blocked_auc,auc_ci_low,auc_ci_high,mutual_information,q_value
horizon_minutes,964024,0.0,4,0.9245278125855788,0.040827409542929995,0.0,0.03900548121193802,0.5412396350421111,0.5452532474211806,0.5341201609346453,0.5562481163920278,0.0014803827062923602,0.0
available_count,964024,0.0,21,0.9245278125855788,0.24027751761731533,0.0,0.32483480964886763,0.8194365997898286,0.8163907228254059,0.7971380071071507,0.833563579080656,0.06716481696558252,0.0
usable_count,964024,0.0,19,0.9245278125855788,0.14684419262411783,0.0,0.18324178135436545,0.6729782770953597,0.6772482239153058,0.6650134918782189,0.688808319481532,0.024201962249873477,0.0
known_charger_count,964024,0.0,20,0.9245278125855788,0.11091290504285026,0.0,0.12813166278221305,0.6204986706974218,0.6262173032836289,0.612919078935214,0.6382396350175207,0.011919422694473214,0.0
direct_observed_count,964024,0.0,21,0.9245278125855788,0.11757854820310902,0.0,0.13091278546909316,0.6320026603263598,0.6524036563828512,0.6190312590150385,0.6823990143584465,0.012465276314683083,0.0
total_chargers,964024,0.0,34,0.9245278125855788,0.1168579381547606,0.0,0.21427140536586156,0.7211989169414167,0.7169794636019188,0.7055808838274721,0.7284413755196789,0.0295468644088257,0.0
observation_coverage,964024,0.0,133,0.9245278125855788,-0.14441213351164434,0.0,-0.14798924832263707,0.625004993277285,0.6139435277116405,0.6025946013679453,0.62465367737287,0.022663836388744363,0.0
direct_observation_coverage,964024,0.0,105,0.9245278125855788,0.025593373675320826,2.1755436879108304e-139,0.029747175574632086,0.5282845171620013,0.5476530894400766,0.5081453835575537,0.5820081506165828,0.015321581271175777,2.6106524254929966e-139
observation_age_minutes,964024,0.0,556,0.9245278125855788,-0.07495057196764511,0.0,-0.08453126683119744,0.5672141537663524,0.5832595469635257,0.549192937246846,0.6153076593809625,0.003818031394576815,0.0
available_count_delta_1tick,879079,0.0881150261819208,23,0.9340514333751574,0.10138112667090342,0.0,0.10789695165890151,0.5707401840978056,0.5617875677217695,0.5441560960902763,0.5791914117332797,0.009548006789656949,0.0
minutes_since_last_change,964024,0.0,23220,0.9245278125855788,0.1068099117518416,0.0,0.19789916172151556,0.7154039515391962,0.7202434366021783,0.7035662995609305,0.7360870821354063,0.02914461111865596,0.0
hour,964024,0.0,24,0.9245278125855788,-0.043007506073658164,0.0,-0.046703015400589826,0.5509873017430182,0.5364150339547119,0.5025637904336546,0.5809662945935954,0.004728100814464398,0.0
weekday,964024,0.0,7,0.9245278125855788,0.005471868977347961,7.762112019927067e-08,0.0052527859865994725,0.5056784562170367,0.500916363713005,0.5006304962471886,0.5196290079893894,0.0026137334394071843,8.732376022417951e-08
is_weekend,964024,0.0,2,0.9245278125855788,0.0012260104922484252,0.22868470954687398,0.0012260104922472085,0.5010091369348121,0.5089345462017983,0.5018756679681995,0.517733975594517,0.0005958732992965565,0.22868470954687398
sessions_per_charger,71352,0.9259852451806179,192,0.7313740329633367,-0.10370934380483421,8.210571730732205e-170,-0.13425691850555443,0.5874240046584491,0.5872030227355365,0.5704527045253878,0.5981111132398524,0.12590827014511352,1.0556449368084264e-169
usage_daytype_avg,71352,0.9259852451806179,361,0.7313740329633367,0.014115938994022477,0.0001627625526818221,-0.024005840378862397,0.5156333454720428,0.5080943190828013,0.5005356401454245,0.5205817563740399,0.12718453189052692,0.00017233682048663516
history_observed,964024,0.0,2,0.9245278125855788,-0.20673160242301106,0.0,-0.2067316024230318,0.6024435458223747,0.603175223174655,0.5920694875914984,0.6144999176255277,0.013550197700998856,0.0
unobserved_rate,964024,0.0,133,0.9245278125855788,0.14441213351164434,0.0,0.14798924832263707,0.625004993277285,0.6139435277116406,0.6025946013679452,0.62465367737287,0.017112444790872816,0.0
