statId,historical_incident_exposure_1km
ME178137,0
ME181302,6
ME181303,0
ME183050,8
ME183053,7
ME183054,0
ME183055,0
ME183056,4
ME183057,13
ME183058,12
ME183059,11
ME183060,18
ME183061,44
ME183062,0
ME183063,22
ME183064,13
ME183065,25
ME183066,2
ME183067,7
ME183068,2
ME183069,6
ME183070,12
ME183071,6
ME183072,7
ME183077,0
ME183144,3
ME184067,35
ME184068,16
ME184069,14
ME184070,9
ME18C147,0
ME18C170,9
ME18C171,4
ME18C172,21
ME18C173,18
ME18C174,18
ME18C175,18
ME18C176,17
ME18C177,0
ME18C178,16
ME18C229,0
ME18C230,0
ME18C251,0
ME18C254,19
ME18C255,6
ME18C257,5
ME18C258,18
ME18C259,16
ME18C260,17
ME18C261,0
ME18C262,0
ME18C263,0
ME18C264,16
ME18C265,0
ME18C405,18
ME19C130,0
ME19C143,0
ME19C227,8
ME19C289,0
ME19C403,10
ME19C404,5
ME19D114,0
ME19D216,5
ME19E138,0
ME19E139,0
ME19E161,23
ME19E215,17
ME19E216,6
ME19E217,5
ME19F260,0
ME19F410,0
ME19F412,2
ME19W401,2
ME19X404,3
ME19X405,5
ME19X413,4
ME19X430,13
ME19Y406,18
ME19Z223,15
ME20C182,14
ME20C183,10
ME20C184,6
ME20C185,0
ME20C186,6
ME20C187,0
ME20C188,21
ME20C189,9
ME20C285,0
ME20C286,6
ME20C287,20
ME20C288,10
ME20C304,6
ME20C414,0
ME20D206,10
ME21A140,0
ME21A903,5
ME21A910,5
ME21B130,10
ME21B198,25
ME21B1D2,0
ME21B262,0
ME21B301,0
ME21C219,7
ME21C228,15
ME21E401,0
ME22C189,0
ME22C193,0
ME22C1A1,21
ME22C1A2,1
ME22C1A3,13
ME22C1A4,3
ME22C250,5
ME22C251,29
ME22C252,42
ME22C253,0
ME22D191,9
ME22D192,1
ME22D1C0,10
ME22D245,0
ME22D254,23
ME23A218,3
ME23B113,0
ME23B114,7
ME23B115,18
ME23B186,4
ME24A243,0
ME24A244,0
ME24A248,0
ME24B142,12
ME24B143,25
ME24B144,0
ME24B207,21
ME24B208,0
ME25C165,0
ME25C166,0
ME25C167,5
ME25C168,7
ME25C169,0
ME25C170,23
ME25C171,4
ME25C172,12
ME25C173,17
ME25C276,0
ME25C277,3
ME25C278,0
ME25C425,4
ME25C426,23
ME25C427,4
ME25C428,0
AH000019,10
AH000052,15
AH000082,0
ALAL0013,25
AM900026,8
AM900047,18
AM900048,18
AZ100007,5
AZ100013,43
AZ100014,22
AZ100017,12
AZ100019,7
AZ100020,18
