metric,metric_label,statId,statNm,total_chargers,available_count,observed_count,status_age_minutes,observation_age_minutes,nearest_parking_m,parking_remaining_spaces,parking_remaining_delta_1h,link_speed_kph,sessions_per_charger
total_chargers,충전기 수,PWE02546,월드마크웨스트엔드아파트,99.0,,,,,,,,,
total_chargers,충전기 수,PWE01301,이시아폴리스더샵3차아파트,99.0,,,,,,,,,
total_chargers,충전기 수,LU101543,대구더샵디어엘로,80.0,,,,,,,,,
total_chargers,충전기 수,PWE06835,이안센트럴D아파트,79.0,,,,,,,,,
total_chargers,충전기 수,PWE02568,동대구반도유보라,77.0,,,,,,,,,
total_chargers,충전기 수,SF000128,범어센트럴푸르지오,75.0,,,,,,,,,
total_chargers,충전기 수,SF000234,국가산단서한이다음 아파트,74.0,,,,,,,,,
total_chargers,충전기 수,PWE02391,두산위브더제니스,71.0,,,,,,,,,
total_chargers,충전기 수,SF000280,수목원제일풍경채,67.0,,,,,,,,,
total_chargers,충전기 수,SF000611,센트럴파크 대현,67.0,,,,,,,,,
total_chargers,충전기 수,LU101678,캐슬골드파크B,66.0,,,,,,,,,
total_chargers,충전기 수,LU004175,캐슬골드파크,65.0,,,,,,,,,
total_chargers,충전기 수,HM000209,옥포미진이지비아,60.0,,,,,,,,,
total_chargers,충전기 수,ST600372,서대구영무예다음,55.0,,,,,,,,,
total_chargers,충전기 수,PWE01193,성서삼성명가타운,54.0,,,,,,,,,
available_count,가용 충전기 수,SF000128,범어센트럴푸르지오,,54.0,,,,,,,,
available_count,가용 충전기 수,LU101543,대구더샵디어엘로,,54.0,,,,,,,,
available_count,가용 충전기 수,SF000234,국가산단서한이다음 아파트,,54.0,,,,,,,,
available_count,가용 충전기 수,SF000280,수목원제일풍경채,,54.0,,,,,,,,
available_count,가용 충전기 수,HM000209,옥포미진이지비아,,49.0,,,,,,,,
available_count,가용 충전기 수,SF000611,센트럴파크 대현,,48.0,,,,,,,,
available_count,가용 충전기 수,PIS00550,대구 동구 신세계백화점대구점,,41.0,,,,,,,,
available_count,가용 충전기 수,ST600372,서대구영무예다음,,39.0,,,,,,,,
available_count,가용 충전기 수,SF002646,대구혁신도시 서한 이다음,,38.0,,,,,,,,
available_count,가용 충전기 수,SF003193,테크노폴리스 중흥S클래스포디움 (완속충전기),,36.0,,,,,,,,
available_count,가용 충전기 수,HM000587,진천역AK그랑폴리스,,36.0,,,,,,,,
available_count,가용 충전기 수,IN053013,칠곡그린빌3단지,,35.0,,,,,,,,
available_count,가용 충전기 수,HM000632,성서푸른마을,,34.0,,,,,,,,
available_count,가용 충전기 수,CV002431,침산화성파크드림,,32.0,,,,,,,,
available_count,가용 충전기 수,HM000688,옥포대성베르힐4단지,,32.0,,,,,,,,
observed_count,관측 충전기 수,LU101543,대구더샵디어엘로,,,76.0,,,,,,,
observed_count,관측 충전기 수,LU101678,캐슬골드파크B,,,66.0,,,,,,,
observed_count,관측 충전기 수,LU004175,캐슬골드파크,,,65.0,,,,,,,
observed_count,관측 충전기 수,HM000209,옥포미진이지비아,,,57.0,,,,,,,
observed_count,관측 충전기 수,SF000280,수목원제일풍경채,,,55.0,,,,,,,
observed_count,관측 충전기 수,SF000128,범어센트럴푸르지오,,,54.0,,,,,,,
observed_count,관측 충전기 수,SF000234,국가산단서한이다음 아파트,,,54.0,,,,,,,
observed_count,관측 충전기 수,PC001346,용산롯데캐슬그랜드(대구),,,49.0,,,,,,,
observed_count,관측 충전기 수,ST600372,서대구영무예다음,,,49.0,,,,,,,
observed_count,관측 충전기 수,SF000611,센트럴파크 대현,,,48.0,,,,,,,
observed_count,관측 충전기 수,LU100945,중리롯데캐슬아파트,,,47.0,,,,,,,
observed_count,관측 충전기 수,PIS00550,대구 동구 신세계백화점대구점,,,47.0,,,,,,,
observed_count,관측 충전기 수,LU101331,대구월배2차아이파크,,,47.0,,,,,,,
observed_count,관측 충전기 수,PL007870,우방드림시티,,,46.0,,,,,,,
observed_count,관측 충전기 수,PL031141,대구수성동일하이빌레이크,,,45.0,,,,,,,
status_age_minutes,status age(분),ST272918,용산2차서한화성타운-2(입주민 전용),,,,32675.816666666666,,,,,,
status_age_minutes,status age(분),PI740300,신서그린빌아파트,,,,32317.483333333334,,,,,,
status_age_minutes,status age(분),PW011718,청포도마을,,,,32267.166666666668,,,,,,
status_age_minutes,status age(분),PWE00804,본리롯데캐슬2차아파트,,,,31490.2,,,,,,
status_age_minutes,status age(분),PW011724,가창중학교,,,,31270.033333333333,,,,,,
status_age_minutes,status age(분),IN053041,신천청아람아파트,,,,31122.016666666663,,,,,,
status_age_minutes,status age(분),EV015277,대구달성 주안교회,,,,30154.733333333334,,,,,,
status_age_minutes,status age(분),PI740174,동촌화성타운103동,,,,30008.18333333333,,,,,,
status_age_minutes,status age(분),PW001244,산격대우-122동,,,,28740.166666666668,,,,,,
status_age_minutes,status age(분),PW011617,테크노폴리스진아리채입주자대표회의-1,,,,28589.13333333333,,,,,,
status_age_minutes,status age(분),HW000643,대구 성화여자고등학교,,,,28532.283333333333,,,,,,
status_age_minutes,status age(분),PI740301,칠곡그린빌2단지1동,,,,28498.18333333333,,,,,,
status_age_minutes,status age(분),PWE06593,동대구우방아이유쉘아파트,,,,28011.1,,,,,,
status_age_minutes,status age(분),AZ100013,대청초등학교,,,,27980.33333333333,,,,,,
status_age_minutes,status age(분),IN053040,대실역청아람1단지아파트,,,,27241.966666666667,,,,,,
observation_age_minutes,observation age(분),ST272918,용산2차서한화성타운-2(입주민 전용),,,,,32668.83333333333,,,,,
observation_age_minutes,observation age(분),PI740300,신서그린빌아파트,,,,,32308.4,,,,,
observation_age_minutes,observation age(분),PW011718,청포도마을,,,,,32263.35,,,,,
observation_age_minutes,observation age(분),PWE00804,본리롯데캐슬2차아파트,,,,,31487.93333333333,,,,,
observation_age_minutes,observation age(분),PW011724,가창중학교,,,,,31262.666666666668,,,,,
observation_age_minutes,observation age(분),IN053041,신천청아람아파트,,,,,31112.533333333333,,,,,
observation_age_minutes,observation age(분),EV015277,대구달성 주안교회,,,,,30153.866666666665,,,,,
observation_age_minutes,observation age(분),PI740174,동촌화성타운103동,,,,,30007.716666666667,,,,,
observation_age_minutes,observation age(분),PW001244,산격대우-122동,,,,,28733.7,,,,,
observation_age_minutes,observation age(분),PW011617,테크노폴리스진아리채입주자대표회의-1,,,,,28583.466666666667,,,,,
observation_age_minutes,observation age(분),HW000643,대구 성화여자고등학교,,,,,28523.43333333333,,,,,
observation_age_minutes,observation age(분),PI740301,칠곡그린빌2단지1동,,,,,28493.35,,,,,
observation_age_minutes,observation age(분),PWE06593,동대구우방아이유쉘아파트,,,,,28002.266666666663,,,,,
observation_age_minutes,observation age(분),AZ100013,대청초등학교,,,,,27972.233333333334,,,,,
observation_age_minutes,observation age(분),IN053040,대실역청아람1단지아파트,,,,,27232.366666666665,,,,,
nearest_parking_m,최근접 주차(m),SF000281,이시아 폴리스 더샵 1차 아파트,,,,,,996.8,,,,
parking_remaining_spaces,주차 잔여면,JA270007,롯데백화점 대구점 지상 3층,,,,,,,816.0,,,
parking_remaining_spaces,주차 잔여면,JA270006,롯데백화점 대구점 지상 4층,,,,,,,816.0,,,
parking_remaining_spaces,주차 잔여면,EV008877,대구중구 라이프아파트,,,,,,,816.0,,,
parking_remaining_spaces,주차 잔여면,KP000230,롯데역사(주) 대구점,,,,,,,816.0,,,
parking_remaining_spaces,주차 잔여면,JA270004,롯데백화점 상인점,,,,,,,543.0,,,
parking_remaining_spaces,주차 잔여면,PL031717,대구 상인이편한세상2단지,,,,,,,543.0,,,
parking_remaining_spaces,주차 잔여면,PI306072,롯데백화점상인점,,,,,,,543.0,,,
parking_remaining_spaces,주차 잔여면,PI530299,대구시 달서구 상인화성하이츠,,,,,,,543.0,,,
parking_remaining_spaces,주차 잔여면,PC000331,상인요양병원(대구),,,,,,,543.0,,,
parking_remaining_spaces,주차 잔여면,LU101019,상인역이편한세상2단지,,,,,,,543.0,,,
parking_remaining_spaces,주차 잔여면,KP000659,상인역e편한세상2단지 아파트,,,,,,,543.0,,,
parking_remaining_spaces,주차 잔여면,BNMI4438,대구 경북기계공업고등학교,,,,,,,543.0,,,
parking_remaining_spaces,주차 잔여면,PW010494,하나교회19,,,,,,,543.0,,,
parking_remaining_spaces,주차 잔여면,PL031807,대구 상인중석타운아파트,,,,,,,543.0,,,
parking_remaining_spaces,주차 잔여면,PIH00153,상인케이씨씨스위첸아파트,,,,,,,543.0,,,
parking_remaining_delta_1h,주차 잔여 Δ1h,EZ300474,대구 동성로 스파크,,,,,,,,-85.0,,
parking_remaining_delta_1h,주차 잔여 Δ1h,EZ250001,EVZ 동성로 스파크,,,,,,,,-85.0,,
parking_remaining_delta_1h,주차 잔여 Δ1h,PI752996,대구시 흥구삼덕빌딩,,,,,,,,-85.0,,
parking_remaining_delta_1h,주차 잔여 Δ1h,PI807412,대구 중구 동성로 중앙주차장,,,,,,,,-85.0,,
parking_remaining_delta_1h,주차 잔여 Δ1h,CV003573,대구시_국채보상운동기념공원주차장,,,,,,,,-85.0,,
parking_remaining_delta_1h,주차 잔여 Δ1h,ME184067,대구시청,,,,,,,,-62.0,,
parking_remaining_delta_1h,주차 잔여 Δ1h,ST271102,히로텔모텔(투숙객 전용),,,,,,,,-62.0,,
parking_remaining_delta_1h,주차 잔여 Δ1h,PI202801,케이티대구타워,,,,,,,,-62.0,,
parking_remaining_delta_1h,주차 잔여 Δ1h,PI202733,케이티대구타워,,,,,,,,-62.0,,
parking_remaining_delta_1h,주차 잔여 Δ1h,CV003571,대구시_대구시청 지상1층,,,,,,,,-62.0,,
parking_remaining_delta_1h,주차 잔여 Δ1h,SF002258,신용보증기금 (대구지점),,,,,,,,-62.0,,
parking_remaining_delta_1h,주차 잔여 Δ1h,CV001171,대구시_서대구역(남측) 주차장,,,,,,,,-30.0,,
parking_remaining_delta_1h,주차 잔여 Δ1h,CV001605,대구시_염색공단제2공영주차장,,,,,,,,-27.0,,
parking_remaining_delta_1h,주차 잔여 Δ1h,ME184070,시지근린공원 공영주차장,,,,,,,,-26.0,,
parking_remaining_delta_1h,주차 잔여 Δ1h,CV002372,시지공영주차장,,,,,,,,-26.0,,
link_speed_kph,링크속도(kph),CV001462,아이빌,,,,,,,,,73.0,
link_speed_kph,링크속도(kph),CV003067,대구시_아이빌,,,,,,,,,73.0,
link_speed_kph,링크속도(kph),CV004714,대구시_제3산단 혁신지원센터 및 복합문화센터,,,,,,,,,73.0,
link_speed_kph,링크속도(kph),CI0F0003,사라골프,,,,,,,,,72.0,
link_speed_kph,링크속도(kph),CCP00001,송해공원골프클럽,,,,,,,,,72.0,
link_speed_kph,링크속도(kph),CV000985,행정안전부 정부청사관리본부 대구청사관리소,,,,,,,,,72.0,
link_speed_kph,링크속도(kph),CV000564,대구시_진천삼성래미안,,,,,,,,,72.0,
link_speed_kph,링크속도(kph),CV002238,대구수목원관리사무소 3주차장,,,,,,,,,72.0,
link_speed_kph,링크속도(kph),EZ001766,대진중학교,,,,,,,,,72.0,
link_speed_kph,링크속도(kph),EV019285,대구달서 진천대동맨션 1,,,,,,,,,72.0,
link_speed_kph,링크속도(kph),ME181302,대구지방합동청사,,,,,,,,,72.0,
link_speed_kph,링크속도(kph),PW000307,신현대1급정비공장,,,,,,,,,72.0,
link_speed_kph,링크속도(kph),PW013165,진천대동맨션 입주자대표회의,,,,,,,,,72.0,
link_speed_kph,링크속도(kph),SF000324,대곡 수목원 풍경 그린 아파트,,,,,,,,,72.0,
link_speed_kph,링크속도(kph),HM000722,정부대구지방합동청사,,,,,,,,,72.0,
sessions_per_charger,sessions/충전기,CV000551,대구시_본리동 행정복지센터,,,,,,,,,,8.170498084291188
