family,column,missing_pct,missing,rows
identity,statId,0.0,0,4210
identity,statNm,0.0,0,4210
identity,addr,0.0,0,4210
identity,lat,0.0,0,4210
identity,lng,0.0,0,4210
identity,coord_ok,0.0,0,4210
status_asof,available_count,0.0,0,4210
status_asof,observed_count,0.0,0,4210
status_asof,availability_ratio_observed,14.99,631,4210
status_asof,has_confirmed_available,0.0,0,4210
status_asof,status_age_minutes,14.99,631,4210
status_asof,observation_state,0.0,0,4210
status_asof,reliability_grade_effective,0.0,0,4210
access,limitYn,0.0,0,4210
access,access_restricted,0.0,0,4210
access,recommend_public_default,0.0,0,4210
access,is_operating_now,0.0,0,4210
usage_history,usage_level,95.25,4010,4210
usage_history,sessions_per_charger,95.25,4010,4210
usage_history,history_observed,0.0,0,4210
parking,nearest_parking_m,6.84,288,4210
parking,parking_remaining_spaces,89.83,3782,4210
parking,parking_total_spaces,89.83,3782,4210
parking,parking_occupancy_rate,90.1,3793,4210
parking,parking_has_realtime,1.64,69,4210
incident,nearest_incident_m,93.18,3923,4210
linkspeed,nearest_link_id,35.49,1494,4210
linkspeed,nearest_link_m,35.49,1494,4210
linkspeed,link_speed_kph,35.49,1494,4210
linkspeed,link_cong_grade,35.49,1494,4210
linkspeed,link_cong_grade_nm,35.49,1494,4210
eta,eta_minutes,100.0,4210,4210
poi,poi_count_1km,0.0,0,4210
parking_1h,parking_remaining_std_1h,89.83,3782,4210
parking_1h,parking_remaining_delta_1h,89.83,3782,4210
parking_1h,parking_realtime_ticks_1h,89.83,3782,4210
