dataset,column,rows,missing,missing_pct,non_missing,non_missing_pct
fee_station_operator_hint,nonmember_won_sample,4210,1013,24.06,3197,75.94
fee_station_operator_hint,member_won_sample,4210,124,2.95,4086,97.05
fee_station_operator_hint,fee_type_sample,4210,123,2.92,4087,97.08
fee_station_operator_hint,fee_operator_nm,4210,123,2.92,4087,97.08
fee_station_operator_hint,capacity_class_sample,4210,123,2.92,4087,97.08
fee_station_operator_hint,fee_updated_at_sample,4210,123,2.92,4087,97.08
fee_station_operator_hint,busiId,4210,0,0.0,4210,100.0
fee_station_operator_hint,statId,4210,0,0.0,4210,100.0
fee_station_operator_hint,bnm,4210,0,0.0,4210,100.0
fee_station_operator_hint,busiNm,4210,0,0.0,4210,100.0
fee_station_operator_hint,fee_match_level,4210,0,0.0,4210,100.0
fee_station_operator_hint,match_name,4210,0,0.0,4210,100.0
