complex_id,complex_name,gu,dong,move_in_ym,households,notes,source
APT2025-01,두류역서한포레스트,달서구,두류동,2025-01,480,주상복합·TypeA 사례,blog_2025_daegu_movein
APT2025-02,수성포레스트스위첸,수성구,파동,2025-01,755,,blog_2025_daegu_movein
APT2025-03,더센트럴화성파크드림,동구,신천동,2025-01,257,,blog_2025_daegu_movein
APT2025-04,이안엑소디움에이펙스,달서구,감삼동,2025-02,117,,blog_2025_daegu_movein
APT2025-05,화성파크드림구수산공원,북구,읍내동,2025-02,520,,blog_2025_daegu_movein
APT2025-06,빌리브루센트,북구,칠성동,2025-03,258,주상복합,blog_2025_daegu_movein
APT2025-07,대구역자이더스타,북구,칠성동,2025-04,424,주상복합,blog_2025_daegu_movein
APT2025-08,힐스테이트대구역퍼스트,중구,태평로,2025-05,216,1차,blog_2025_daegu_movein
APT2025-09,힐스테이트대구역퍼스트2차,중구,태평로,2025-05,174,,blog_2025_daegu_movein
APT2025-10,힐스테이트동인,중구,동인동,2025-05,941,,blog_2025_daegu_movein
APT2025-11,빌리브라디체,달서구,본동,2025-06,520,,blog_2025_daegu_movein
APT2025-12,해링턴플레이스감삼3차,달서구,감삼동,2025-07,363,감삼Ⅲ,blog_2025_daegu_movein
APT2025-13,태왕디아너스오페라,북구,고성동,2025-07,532,,blog_2025_daegu_movein
APT2025-14,힐스테이트서대구역센트럴,서구,비산동,2025-07,762,주상복합,blog_2025_daegu_movein
APT2025-15,두류스타힐스,서구,내당동,2025-07,840,,blog_2025_daegu_movein
APT2025-16,두류역자이,서구,내당동,2025-08,1300,주상복합,blog_2025_daegu_movein
APT2025-17,더팰리스트데시앙,동구,신천동,2025-10,418,,blog_2025_daegu_movein
APT2025-18,e편한세상동대구역센텀스퀘어,동구,신천동,2025-11,322,,blog_2025_daegu_movein
APT2025-19,더샵동성로센트리엘,중구,공평동,2025-11,392,주상복합,blog_2025_daegu_movein
APT2025-20,달서롯데캐슬센트럴스카이,달서구,본동,2025-12,481,,blog_2025_daegu_movein
