statId,statNm,addr,lat,lng,chargers,parkingFree_Y,parkingFree_N,parkingFree_mode
AH000019,대구 KC타운,대구광역시 수성구 알파시티1로 232,35.838835032,128.6838783,1,1,0,Y
AH000052,대구 산격보성아파트 (대성),대구광역시 북구 동북로37길 13-10,35.9002074,128.6127503,2,2,0,Y
AH000082,대구 CTR모빌리티,대구광역시 달성군 구지면 국가산단대로39길 100,35.6507195,128.4088781,4,4,0,Y
ALAL0013,대영빌딩,대구광역시 동구 효신로 74,35.878151,128.631592,9,0,9,N
AM900026,대구 동천동 세븐밸리 충전소,대구광역시 북구 동암로 90,35.94413786,128.5603226,7,0,7,N
AM900047,대구 와이즈빌딩,대구광역시 중구 달구벌대로 2068,35.86570133,128.5899312,1,0,1,N
AM900048,대구 와이즈빌딩 급속충전소,대구광역시 중구 달구벌대로 2068,35.86570133,128.5899312,1,0,1,N
AMAM0035,엔플레이스 빌딩,대구광역시 수성구 청수로26길 46,35.837808,128.622098,1,0,1,N
AZ100007,이고,대구광역시 북구 팔달로35길 20,35.8894247,128.5701017,1,0,1,N
AZ100013,대청초등학교,대구광역시 수성구 교학로12길 42,35.8511286,128.6505789,1,1,0,Y
AZ100014,밴앤포스,대구광역시 동구 국채보상로163길 15,35.8685037,128.6175043,1,1,0,Y
AZ100017,대구세강병원,대구광역시 달서구 구마로 220,35.8367639,128.551692,8,8,0,Y
AZ100019,지피에스,대구광역시 서구 염색공단로 20,35.8886601,128.5536739,3,3,0,Y
AZ100020,올인워크,대구광역시 동구 동부로30길 102-3,35.867861,128.6295635,4,4,0,Y
AZ100021,KB차차차 동대구,대구광역시 동구 안심로59길 36,35.8694393,128.7188097,2,2,0,Y
AZ100022,모빌리티기술혁신센터,대구광역시 달성군 유가읍 테크노순환로 356,35.6947229,128.4708567,2,2,0,Y
AZ100023,비에스타워,대구광역시 북구 팔달로35길 20,35.8894247,128.5701017,1,1,0,Y
BE241230,워터 군위휴게소 부산방향,대구광역시 군위군 군위읍 경북대로 4084,36.2661344,128.5749656,2,2,0,Y
BE241250,워터 현풍휴게소 대구방향,대구광역시 달성군 현풍읍 비슬로 741,35.702207,128.437991,2,2,0,Y
BE241251,워터 현풍휴게소 창원방향,대구광역시 달성군 현풍읍 성하길 48,35.70169,128.435728,2,2,0,Y
BE482306,워터 대구 반월당,대구광역시 중구 달구벌대로 2095,35.866269,128.592819,10,0,10,N
BNBN0053,대구 달성군 한국기계연구원,"대구 달성군 유가읍 테크노순환로 330 (용리, 한국기계연구원 대구융합기술센터)",35.6915232,128.4724887,3,0,3,N
BNBN0494,달성군 테크노스포츠센터,대구광역시 달성군 유가읍 테크노순환로7길 38,35.684819,128.463713,3,0,3,N
BNBN0583,대구 군위고등학교,"대구 군위군 군위읍 군청로 254-6 (정리, 군위고등학교)",36.2457615,128.5710997,2,0,2,N
BNBN0584,대구 경일여자고등학교,"대구 남구 효성로 37 (봉덕동, 경일여자중고등학교, 우봉아트홀)",35.8367177,128.5970294,4,0,4,N
BNBN0585,대구 새본리중학교,"대구 달서구 대명천로 167 (본리동, 새본리중학교)",35.8392164,128.5409790,1,0,1,N
BNBN0586,대구 상원고등학교,대구광역시 달서구 월배로 241,35.822462,128.538382,2,2,0,Y
BNBN0588,대구 외국어고등학교,대구광역시 달서구 선원로11길 21,35.860672,128.497998,1,1,0,Y
BNBN0590,대구 현풍고등학교,"대구 달성군 현풍읍 비슬로 675 (성하리, 현풍중.고등학교)",35.6971210,128.4391070,1,0,1,N
BNBN0591,대구 선명학교,대구 동구 팔공산로 225 (덕곡동),35.9923253,128.6129288,1,0,1,N
BNBN0594,대구 소선여자중학교,"대구 수성구 교학로8길 37 (만촌동, 소선여자중학교)",35.8528145,128.6498054,1,0,1,N
BNBN0721,대구 서대구중학교,"대구 서구 북비산로45길 7 (평리동, 서대구중학교)",35.8801040,128.5567360,1,0,1,N
BNBN1092,대구 달성 대구달성경찰서,"대구 달성군 현풍읍 현풍중앙로 16 (중리, 달성경찰서)",35.6912060,128.4470250,9,0,9,N
BNBN1180,대구 달서 일신테크노밸리,"대구광역시 달서구 달서대로 555 (신당동, 일신테크노밸리)",35.8487612,128.4912785,6,0,6,N
BNMI4428,대구공업고등학교,대구광역시 동구 대현로 135,35.883103,128.613925,2,2,0,Y
BNMI4433,대구 평리중학교,대구광역시 서구 국채보상로55길 21,35.873465,128.561089,1,1,0,Y
BNMI4438,대구 경북기계공업고등학교,대구광역시 달서구 월배로 275,35.822959,128.541597,3,3,0,Y
CCP00001,송해공원골프클럽,대구광역시 달성군 옥포읍 옥포로 607,35.746194992,128.48771228,3,3,0,Y
CG000066,대구 태원모터스,대구광역시 달성군 논공읍 논공중앙로34길 10,35.728482194,128.45386358,2,2,0,Y
CGP00005,르노코리아서비스코너현풍점,대구광역시 달성군 현풍읍 논공로 20,35.7088936,128.4392295,2,2,0,Y
CGP00009,대구 태전미진타운아파트_B1,대구광역시 북구 칠곡중앙대로52길 46,35.922580023,128.54927410,6,6,0,Y
