pkltId,pkltNm,lat,lng,roadNmAddr,유료무료
150-1-000104,달성공원로4길 노상무료,35.871525,128.580866,,무료
150-1-000105,명덕로35길 노상무료1,35.858985,128.588957,,무료
150-1-000106,자동차부속골목(명덕로35길) 노상무료2,35.85976,128.589237,,무료
150-1-000107,남산종합사회복지관(보성황실타운 부근) 노상무료,35.859684,128.579456,,무료
150-1-000108,남산4동행정복지센터 부근 노상유료,35.8583,128.57991,,유료
150-1-000109,남산로1길 노상무료,35.859107,128.578115,,무료
150-1-000110,대신센트럴자이 부근(큰장로26안길) 노상무료,35.866134,128.576824,,무료
150-1-000111,재마루1길 노상무료,35.86398,128.587846,,무료
150-1-000112,남산지구대 민원노상무료,35.866019,128.58751,,무료
150-1-000113,남산로4길 노상무료,35.857872,128.584831,,무료
150-1-000114,자동차부속골목뒷편(2.28길) 노상무료,35.859268,128.588651,,무료
150-1-000116,남산1동행정복지센터 주변 노상무료,35.8590772,128.5900197,,무료
150-1-000117,문우관길 노상무료,35.864368,128.590367,,무료
150-1-000118,달구벌대로414길 노상무료,35.86556247,128.58973411,,무료
150-1-000119,자동차부속골목뒷편(남산로8길) 노상무료,35.858253,128.587868,,무료
150-1-000120,반월당서한포레스트 남편(중앙대로65길) 노상무료,35.862407,128.590833,,무료
150-1-000122,경북여자고등학교 남편(중앙대로58길) 노상무료,35.857196,128.592892,,무료
150-1-000123,경북여자고등학교 동편 (명륜로22길 인근) 노상무료,35.859633,128.594129,,무료
150-1-000124,명륜로28길 노상무료,35.858496,128.597718,,무료
150-1-000125,명륜로26길 노상무료,35.858671,128.597169,,무료
150-1-000126,중앙대로68길 노상무료,35.862878,128.594005,,무료
150-1-000128,명륜로23길 노상무료,35.86087,128.596027,,무료
150-1-000129,대백프라자 주변 노상유료,35.855877,128.605813,,유료
150-1-000130,청운맨션 주변 노상무료,35.858665,128.602921,,무료
150-1-000131,봉산새마을금고 부근 노상무료,35.86141,128.598655,,무료
150-1-000132,서성로20길 노상무료,35.874802,128.589443,,무료
150-1-000133,서문로교회 동편 노상무료,35.873535,128.588812,,무료
150-1-000134,오토바이골목 부근(서성로13길인근) 노상무료,35.87202,128.584851,,무료
150-1-000135,오토바이골목(국채보상로99길) 노상무료,35.872233,128.582829,,무료
150-1-000137,오토바이골목 부근(서성로15길인근) 노상무료2,35.873003,128.586956,,무료
150-1-000138,오토바이골목 부근(서성로15길인근) 노상무료1,35.87319,128.585195,,무료
150-1-000139,오토바이골목 부근 (국채보상로101길인근) 노상무료,35.871154,128.58457,,무료
150-1-000140,대구콘서트하우스 서편 노상유료,35.876328,128.592735,,유료
150-1-000142,신명고주변 노상유료,35.86898,128.586139,,유료
150-1-000143,달성공원주변 노상유료,35.874082,128.579204,,유료
150-1-000144,경대병원 노상유료1,35.866206,128.605989,,유료
150-1-000145,경북의과대학 주변 노상유료,35.867842,128.60632,,유료
150-1-000146,경대병원 노상유료2,35.864746,128.603713,,유료
150-1-000147,대봉1동행정복지센터 주변 노상유료,35.861748,128.604141,,유료
150-1-000148,대봉로 노상유료5,35.862644,128.599985,,유료
150-1-000149,동덕로14길 노상무료,35.860894,128.605097,,무료
150-1-000150,삼덕네거리 남편 노상유료,35.859478,128.604497,대구광역시 중구 동덕로 80,유료
150-1-000151,공평로10길 노상무료,35.867165,128.602569,,무료
150-1-000153,대봉로 노상유료1,35.856132,128.602185,,유료
150-1-000154,대봉로 노상유료3,35.859833,128.600902,,유료
150-1-000155,대봉로 노상유료2,35.858136,128.601519,,유료
150-1-000156,명륜로 노상유료,35.86069,128.602236,,유료
150-1-000157,대봉로 노상유료4,35.862555,128.599874,,유료
150-1-000158,태평로51길 노상무료1,35.873727,128.608791,,무료
150-1-000159,삼덕동행정복지센터 앞 노상무료,35.865443,128.608852,,무료
150-1-000160,태평로51길 노상무료2,35.872989,128.607775,,무료
150-1-000161,태평로51길 노상무료3,35.873368,128.606244,,무료
150-1-000162,태평로51길 노상무료4,35.87273,128.605282,,무료
150-1-000163,태평로51길 노상유료,35.873565,128.60649,,유료
150-1-000165,남산그린타운 부근(남산로17길) 노상무료,35.861612,128.578192,,무료
150-1-000166,큰장로12길(달구벌대로387길) 노상무료2,35.865294,128.5747,,무료
150-1-000167,큰장로12길 노상무료1,35.865762,128.575558,,무료
150-1-000168,달구벌대로393길 노상무료,35.865809,128.578463,,무료
150-1-000170,산격동 1186-116 소규모 임시 공영주차장,35.89691879,128.60151923,,무료
