shadow_display_rank,shadow_tier,statId,statNm,addr,distance_from_test_m,available_count,total_chargers,reliability_grade_effective,is_operating_now,nearest_parking_m,parking_remaining_spaces,nearest_incident_m,usage_level,evidence
1,B: 확인 후 후보,ME184067,대구시청,대구광역시 중구 국채보상로131길 17,89.9563683169086,1,1,CHECK_REQUIRED,Y,39.8,60.0,,,공용 후보(limitYn 제한 없음) · 확정 사용 가능 1/1대 · 상태 신뢰도 CHECK_REQUIRED · 운영 여부 Y · Team5 주차장 40m · 주차 잔여 60면 · 충전기 1대: 대기·실패 위험 주의 · 상태 재확인 필요
2,B: 확인 후 후보,CV003571,대구시_대구시청 지상1층,대구광역시 중구 국채보상로131길 17,91.97539026545482,2,2,CHECK_REQUIRED,Y,49.1,60.0,,많음,공용 후보(limitYn 제한 없음) · 확정 사용 가능 2/2대 · 상태 신뢰도 CHECK_REQUIRED · 운영 여부 Y · Team5 주차장 49m · 주차 잔여 60면 · 과거 이용강도 많음 · 상태 재확인 필요
3,B: 확인 후 후보,CV003573,대구시_국채보상운동기념공원주차장,대구광역시 중구 공평로10길 25,329.92319962256215,3,3,CHECK_REQUIRED,Y,135.1,426.0,,많음,공용 후보(limitYn 제한 없음) · 확정 사용 가능 3/3대 · 상태 신뢰도 CHECK_REQUIRED · 운영 여부 Y · Team5 주차장 135m · 주차 잔여 426면 · 과거 이용강도 많음 · 상태 재확인 필요
4,B: 확인 후 후보,CV002471,국채보상운동기념공원주차장,대구광역시 중구 국채보상로 670,332.80741280526007,6,7,CHECK_REQUIRED,Y,206.1,,,,공용 후보(limitYn 제한 없음) · 확정 사용 가능 6/7대 · 상태 신뢰도 CHECK_REQUIRED · 운영 여부 Y · Team5 주차장 206m · 상태 재확인 필요
5,B: 확인 후 후보,CV004108,농협경제지주 대구태평로공판장,대구광역시 중구 태평로 195,396.7512032884207,2,2,CHECK_REQUIRED,Y,156.9,,,,공용 후보(limitYn 제한 없음) · 확정 사용 가능 2/2대 · 상태 신뢰도 CHECK_REQUIRED · 운영 여부 Y · Team5 주차장 157m · 상태 재확인 필요
6,B: 확인 후 후보,CV001941,대구 중구청 주차장,대구광역시 중구 국채보상로139길 1,423.6957369977597,1,1,CHECK_REQUIRED,Y,237.2,,,,공용 후보(limitYn 제한 없음) · 확정 사용 가능 1/1대 · 상태 신뢰도 CHECK_REQUIRED · 운영 여부 Y · Team5 주차장 237m · 충전기 1대: 대기·실패 위험 주의 · 상태 재확인 필요
7,B: 확인 후 후보,PI807412,대구 중구 동성로 중앙주차장,대구광역시 중구 동성로2길 80,450.9890601381778,4,6,CHECK_REQUIRED,Y,283.4,426.0,,,공용 후보(limitYn 제한 없음) · 확정 사용 가능 4/6대 · 상태 신뢰도 CHECK_REQUIRED · 운영 여부 Y · Team5 주차장 283m · 주차 잔여 426면 · 상태 재확인 필요
8,B: 확인 후 후보,CV000535,대구시_중구청,대구광역시 중구 국채보상로139길 1,486.8085761379412,1,1,CHECK_REQUIRED,Y,165.7,,,많음,공용 후보(limitYn 제한 없음) · 확정 사용 가능 1/1대 · 상태 신뢰도 CHECK_REQUIRED · 운영 여부 Y · Team5 주차장 166m · 과거 이용강도 많음 · 충전기 1대: 대기·실패 위험 주의 · 상태 재확인 필요
9,B: 확인 후 후보,PC000552,경북대학교 의과대학(대구),대구광역시 중구 국채보상로 680,495.08787789505953,1,2,CHECK_REQUIRED,Y,154.3,,,,공용 후보(limitYn 제한 없음) · 확정 사용 가능 1/2대 · 상태 신뢰도 CHECK_REQUIRED · 운영 여부 Y · Team5 주차장 154m · 상태 재확인 필요
10,B: 확인 후 후보,CV001592,칠성공영주차장,대구광역시 북구 칠성남로 196,524.2557784197477,3,3,CHECK_REQUIRED,Y,5.9,97.0,,,공용 후보(limitYn 제한 없음) · 확정 사용 가능 3/3대 · 상태 신뢰도 CHECK_REQUIRED · 운영 여부 Y · Team5 주차장 6m · 주차 잔여 97면 · 상태 재확인 필요
