date,HIGH,NORMAL
2026-07-17,9936,7426
2026-07-18,18081,13166
2026-07-19,14215,10970
2026-07-20,16091,13243
2026-07-21,19399,13943
2026-07-22,25325,19589
2026-07-23,50279,34332
2026-07-24,48716,36820
2026-07-25,45847,31974
2026-07-26,37476,28798
2026-07-27,41879,27053
2026-07-28,39180,28182
2026-07-29,38632,30905
2026-07-30,40763,31539
2026-07-31,39954,30192
2026-08-01,39343,29665
2026-08-02,38574,29017
2026-08-03,39246,29100
2026-08-04,37979,30453
2026-08-05,36184,31767
2026-08-06,39889,31294
2026-08-07,39087,31605
2026-08-08,40312,30126
2026-08-09,9565,5486
