id,source_raw_id,pklt_id,collected_at,pklt_se_cd,pklt_type_cd,congestion_status,floor_count,total_spaces,remaining_spaces,occupied_spaces,occupancy_rate,raw_item,hour,date
1,2,150-2-000002,2026-07-23 15:26:52,공영,노외,혼잡(점유 90%미만),1,505,61,444,87.92,"{""pkltId"": ""150-2-000002"", ""pkltSeCd"": ""공영"", ""pkltTypeCd"": ""노외"", ""prkCnfSttsCd"": ""혼잡(점유 90%미만)"", ""flrCnt"": 1, ""totPrkNocmprt"": 505, ""totRmndPrkNocmprt"": 61}",15,2026-07-23
2,2,150-2-000015,2026-07-23 15:26:52,공영,노외,만차(점유 90%초과),1,61,2,59,96.72,"{""pkltId"": ""150-2-000015"", ""pkltSeCd"": ""공영"", ""pkltTypeCd"": ""노외"", ""prkCnfSttsCd"": ""만차(점유 90%초과)"", ""flrCnt"": 1, ""totPrkNocmprt"": 61, ""totRmndPrkNocmprt"": 2}",15,2026-07-23
3,2,150-2-000017,2026-07-23 15:26:52,공영,노외,혼잡(점유 90%미만),1,520,70,450,86.54,"{""pkltId"": ""150-2-000017"", ""pkltSeCd"": ""공영"", ""pkltTypeCd"": ""노외"", ""prkCnfSttsCd"": ""혼잡(점유 90%미만)"", ""flrCnt"": 1, ""totPrkNocmprt"": 520, ""totRmndPrkNocmprt"": 70}",15,2026-07-23
4,2,150-2-000030,2026-07-23 15:26:52,공영,부설,보통(점유 70%미만),1,146,66,80,54.79,"{""pkltId"": ""150-2-000030"", ""pkltSeCd"": ""공영"", ""pkltTypeCd"": ""부설"", ""prkCnfSttsCd"": ""보통(점유 70%미만)"", ""flrCnt"": 1, ""totPrkNocmprt"": 146, ""totRmndPrkNocmprt"": 66}",15,2026-07-23
5,2,150-4-000113,2026-07-23 15:26:52,민영,노외,만차(점유 90%초과),1,500,0,500,100.0,"{""pkltId"": ""150-4-000113"", ""pkltSeCd"": ""민영"", ""pkltTypeCd"": ""노외"", ""prkCnfSttsCd"": ""만차(점유 90%초과)"", ""flrCnt"": 1, ""totPrkNocmprt"": 500, ""totRmndPrkNocmprt"": 0}",15,2026-07-23
6,2,151-2-000001,2026-07-23 15:26:52,공영,노외,여유(점유 50%미만),1,45,26,19,42.22,"{""pkltId"": ""151-2-000001"", ""pkltSeCd"": ""공영"", ""pkltTypeCd"": ""노외"", ""prkCnfSttsCd"": ""여유(점유 50%미만)"", ""flrCnt"": 1, ""totPrkNocmprt"": 45, ""totRmndPrkNocmprt"": 26}",15,2026-07-23
7,2,151-2-000002,2026-07-23 15:26:52,공영,노외,여유(점유 50%미만),1,69,58,11,15.94,"{""pkltId"": ""151-2-000002"", ""pkltSeCd"": ""공영"", ""pkltTypeCd"": ""노외"", ""prkCnfSttsCd"": ""여유(점유 50%미만)"", ""flrCnt"": 1, ""totPrkNocmprt"": 69, ""totRmndPrkNocmprt"": 58}",15,2026-07-23
8,2,151-2-000003,2026-07-23 15:26:52,공영,노외,여유(점유 50%미만),1,154,115,39,25.32,"{""pkltId"": ""151-2-000003"", ""pkltSeCd"": ""공영"", ""pkltTypeCd"": ""노외"", ""prkCnfSttsCd"": ""여유(점유 50%미만)"", ""flrCnt"": 1, ""totPrkNocmprt"": 154, ""totRmndPrkNocmprt"": 115}",15,2026-07-23
9,2,151-2-000004,2026-07-23 15:26:52,공영,노외,만차(점유 90%초과),1,230,0,230,100.0,"{""pkltId"": ""151-2-000004"", ""pkltSeCd"": ""공영"", ""pkltTypeCd"": ""노외"", ""prkCnfSttsCd"": ""만차(점유 90%초과)"", ""flrCnt"": 1, ""totPrkNocmprt"": 230, ""totRmndPrkNocmprt"": 0}",15,2026-07-23
10,2,151-2-000005,2026-07-23 15:26:52,공영,노외,보통(점유 70%미만),1,175,83,92,52.57,"{""pkltId"": ""151-2-000005"", ""pkltSeCd"": ""공영"", ""pkltTypeCd"": ""노외"", ""prkCnfSttsCd"": ""보통(점유 70%미만)"", ""flrCnt"": 1, ""totPrkNocmprt"": 175, ""totRmndPrkNocmprt"": 83}",15,2026-07-23
