hour,batches,occupancy_rate_mean,remaining_spaces_mean
0,42,31.532561686855093,92.06111111111112
1,42,30.440340960071783,92.942
2,42,29.581415432929568,93.52422222222222
3,42,29.20573575594437,93.71555555555555
4,42,29.30015029161059,93.42911111111111
5,42,29.81385598923284,92.52222222222223
6,42,31.433916554508748,90.29311111111112
7,42,33.05384028712427,87.26133333333334
8,38,38.24930769230769,80.31465093411997
9,36,47.380445492662474,69.39927310488058
10,36,52.37818658280923,59.93328141225337
11,36,54.97209381551363,53.822689511941846
12,36,55.88911687631027,51.509605399792314
13,36,55.386058700209645,50.94288681204569
14,44,56.505470158866466,49.018920068027214
15,43,55.79330703484549,51.142857142857146
16,42,53.792296994167785,55.89044444444445
17,42,51.12633019291162,62.67333333333333
18,42,46.900502467474205,70.53311111111111
19,42,46.3433624943921,73.56977777777777
20,42,44.17063032750112,78.18666666666667
21,42,40.359452669358454,83.108
22,42,36.230580978017045,87.29422222222222
23,42,33.376823687752356,89.90866666666666
