rank_by_haversine,statId,statNm,lat,lng,useTime,haversine_km,haversine_eta_min_proxy,tmap_eta_min,tmap_road_km,eta_ratio_tmap_over_haversine,as_of_kst,arrive_kst,is_operating_now,is_operating_at_arrival,da_arrival_gate,tmap_http,tmap_error
1,ST600335,코레일 동대구역(제1주차장),35.8794361,128.6287755,24시간 이용가능,0.045,0.1,4.2,1.521,42.0,2026-07-23T17:01:45+09:00,2026-07-23T17:05:58+09:00,Y,Y,KEEP,200,
2,ST600336,코레일 동대구역(제2주차장),35.8794361,128.6287755,24시간 이용가능,0.045,0.1,4.2,1.521,42.0,2026-07-23T17:01:45+09:00,2026-07-23T17:05:58+09:00,Y,Y,KEEP,200,
3,CV001323,롯데렌탈 동대구점,35.881222,128.629075,24시간 이용가능,0.18,0.4,2.3,0.451,5.75,2026-07-23T17:01:45+09:00,2026-07-23T17:04:05+09:00,Y,Y,KEEP,200,
4,ME19Y406,롯데렌탈 대구지점,35.881162,128.629337,08:30~20:00,0.183,0.4,2.3,0.433,5.75,2026-07-23T17:01:45+09:00,2026-07-23T17:04:03+09:00,Y,Y,KEEP,200,
5,PL032360,대구 동구 동대구역화성파크드림아파트,35.8818481,128.6263357,24시간 이용가능,0.303,0.6,4.1,0.639,6.83,2026-07-23T17:01:45+09:00,2026-07-23T17:05:50+09:00,Y,Y,KEEP,200,
6,CV003123,대구시_동대구복합환승센터,35.879142532,128.63201745,24시간 이용가능,0.332,0.7,9.0,2.39,12.86,2026-07-23T17:01:45+09:00,2026-07-23T17:10:46+09:00,Y,Y,KEEP,200,
7,ALAL0013,대영빌딩,35.878151,128.631592,24시간 이용가능,0.335,0.7,7.9,2.152,11.29,2026-07-23T17:01:45+09:00,2026-07-23T17:09:41+09:00,Y,Y,KEEP,200,
8,IN053020,신세계백화점대구점,35.8795,128.6327,10:30~20:00,0.388,0.8,6.4,1.971,8.0,2026-07-23T17:01:45+09:00,2026-07-23T17:08:11+09:00,Y,Y,KEEP,200,
9,PIS00550,대구 동구 신세계백화점대구점,35.8795,128.6327,10:30~20:00,0.388,0.8,6.4,1.971,8.0,2026-07-23T17:01:45+09:00,2026-07-23T17:08:11+09:00,Y,Y,KEEP,200,
10,CV000899,포르쉐 HPC 신세계백화점 대구점,35.879379,128.632743,10:00~20:00,0.393,0.8,6.4,1.972,8.0,2026-07-23T17:01:45+09:00,2026-07-23T17:08:11+09:00,Y,Y,KEEP,200,
11,LU101629,동대구역우방아이유쉘,35.8771523,128.6246836,24시간 이용가능,0.439,0.9,8.4,2.006,9.33,2026-07-23T17:01:45+09:00,2026-07-23T17:10:09+09:00,Y,Y,KEEP,200,
12,PL006988,동대구역우방아이유쉘,35.8771523,128.6246836,24시간 이용가능,0.439,0.9,8.2,2.006,9.11,2026-07-23T17:01:45+09:00,2026-07-23T17:09:56+09:00,Y,Y,KEEP,200,
13,PWE06835,이안센트럴D아파트,35.880852498,128.62355543,24시간 이용가능,0.455,0.9,4.8,1.146,5.33,2026-07-23T17:01:45+09:00,2026-07-23T17:06:36+09:00,Y,Y,KEEP,200,
14,PW014666,이안센트럴D 입주자대표회의,35.8808525,128.6235554,24시간 이용가능,0.455,0.9,4.8,1.146,5.33,2026-07-23T17:01:45+09:00,2026-07-23T17:06:36+09:00,Y,Y,KEEP,200,
15,PW014688,이안센트럴D 입주자대표회의(SP),35.8808525,128.6235554,24시간 이용가능,0.455,0.9,4.8,1.146,5.33,2026-07-23T17:01:45+09:00,2026-07-23T17:06:36+09:00,Y,Y,KEEP,200,
