contentid,title,day_type,sessions_mean,n_days,control_mean
1960611,동인동 찜갈비 골목,weekday,6.978,358,4.261
1960611,동인동 찜갈비 골목,weekend,5.721,149,3.916
1960611,동인동 찜갈비 골목,holiday,5.696,23,3.803
2746368,2·28 기념중앙공원,weekday,,0,4.261
2746368,2·28 기념중앙공원,weekend,,0,3.916
2746368,2·28 기념중앙공원,holiday,,0,3.803
2599899,대구 동성로거리,weekday,,0,4.261
2599899,대구 동성로거리,weekend,,0,3.916
2599899,대구 동성로거리,holiday,,0,3.803
126133,경상감영공원,weekday,,0,4.261
126133,경상감영공원,weekend,,0,3.916
126133,경상감영공원,holiday,,0,3.803
1389430,대구 진골목,weekday,,0,4.261
1389430,대구 진골목,weekend,,0,3.916
1389430,대구 진골목,holiday,,0,3.803
2930875,대구화교협회,weekday,,0,4.261
2930875,대구화교협회,weekend,,0,3.916
2930875,대구화교협회,holiday,,0,3.803
126802,봉산문화거리,weekday,3.96,346,4.261
126802,봉산문화거리,weekend,4.116,138,3.916
126802,봉산문화거리,holiday,3.1,20,3.803
2931432,교남YMCA 회관,weekday,,0,4.261
2931432,교남YMCA 회관,weekend,,0,3.916
2931432,교남YMCA 회관,holiday,,0,3.803
2042995,대구 근대골목(근대로의 여행),weekday,,0,4.261
2042995,대구 근대골목(근대로의 여행),weekend,,0,3.916
2042995,대구 근대골목(근대로의 여행),holiday,,0,3.803
250329,대구제일교회,weekday,,0,4.261
250329,대구제일교회,weekend,,0,3.916
250329,대구제일교회,holiday,,0,3.803
128119,대구향교,weekday,3.96,346,4.261
128119,대구향교,weekend,4.116,138,3.916
128119,대구향교,holiday,3.1,20,3.803
1613870,선교사스윗즈주택,weekday,,0,4.261
1613870,선교사스윗즈주택,weekend,,0,3.916
1613870,선교사스윗즈주택,holiday,,0,3.803
2366243,선교사블레어주택,weekday,,0,4.261
2366243,선교사블레어주택,weekend,,0,3.916
2366243,선교사블레어주택,holiday,,0,3.803
1613886,선교사챔니스주택,weekday,,0,4.261
1613886,선교사챔니스주택,weekend,,0,3.916
1613886,선교사챔니스주택,holiday,,0,3.803
1249812,대구 오토바이골목,weekday,,0,4.261
1249812,대구 오토바이골목,weekend,,0,3.916
1249812,대구 오토바이골목,holiday,,0,3.803
1935606,남산동 가톨릭타운,weekday,2.204,285,4.261
1935606,남산동 가톨릭타운,weekend,2.706,136,3.916
1935606,남산동 가톨릭타운,holiday,2.222,18,3.803
2679833,이천동 고미술거리,weekday,1.606,322,4.261
2679833,이천동 고미술거리,weekend,1.537,123,3.916
2679833,이천동 고미술거리,holiday,1.444,18,3.803
126130,달성공원,weekday,,0,4.261
126130,달성공원,weekend,,0,3.916
126130,달성공원,holiday,,0,3.803
1610102,서봉사,weekday,1.606,322,4.261
1610102,서봉사,weekend,1.537,123,3.916
1610102,서봉사,holiday,1.444,18,3.803
2993587,대구 신천물놀이장,weekday,,0,4.261
2993587,대구 신천물놀이장,weekend,,0,3.916
2993587,대구 신천물놀이장,holiday,,0,3.803
2457312,대구경북디자인진흥원,weekday,8.175,342,4.261
2457312,대구경북디자인진흥원,weekend,7.641,142,3.916
2457312,대구경북디자인진흥원,holiday,6.381,21,3.803
2366475,인동촌 아나고골목,weekday,,0,4.261
2366475,인동촌 아나고골목,weekend,,0,3.916
2366475,인동촌 아나고골목,holiday,,0,3.803
1116430,석조부도,weekday,,0,4.261
1116430,석조부도,weekend,,0,3.916
1116430,석조부도,holiday,,0,3.803
2478964,대명공연거리,weekday,3.811,357,4.261
2478964,대명공연거리,weekend,4.014,145,3.916
2478964,대명공연거리,holiday,3.739,23,3.803
2742496,동대구역광장,weekday,,0,4.261
2742496,동대구역광장,weekend,,0,3.916
2742496,동대구역광장,holiday,,0,3.803
1116719,큰장길 침구류 명물거리,weekday,5.319,354,4.261
1116719,큰장길 침구류 명물거리,weekend,5.122,148,3.916
1116719,큰장길 침구류 명물거리,holiday,5.304,23,3.803
2366462,서부 오미가미거리,weekday,,0,4.261
2366462,서부 오미가미거리,weekend,,0,3.916
2366462,서부 오미가미거리,holiday,,0,3.803
2366761,원대가구 명물거리,weekday,6.844,358,4.261
2366761,원대가구 명물거리,weekend,5.973,148,3.916
2366761,원대가구 명물거리,holiday,6.13,23,3.803
2366466,반고개 무침회 골목,weekday,,0,4.261
2366466,반고개 무침회 골목,weekend,,0,3.916
2366466,반고개 무침회 골목,holiday,,0,3.803
2770621,향사례 대구시민단,weekday,3.74,358,4.261
2770621,향사례 대구시민단,weekend,3.395,148,3.916
2770621,향사례 대구시민단,holiday,3.152,23,3.803
2544638,바운스 트램폴린파크 동대구신세계백화점센터,weekday,,0,4.261
2544638,바운스 트램폴린파크 동대구신세계백화점센터,weekend,,0,3.916
2544638,바운스 트램폴린파크 동대구신세계백화점센터,holiday,,0,3.803
2770591,오봉오감,weekday,,0,4.261
2770591,오봉오감,weekend,,0,3.916
2770591,오봉오감,holiday,,0,3.803
2744465,침산공원,weekday,,0,4.261
2744465,침산공원,weekend,,0,3.916
2744465,침산공원,holiday,,0,3.803
2687748,복현오거리 먹자골목,weekday,,0,4.261
2687748,복현오거리 먹자골목,weekend,,0,3.916
2687748,복현오거리 먹자골목,holiday,,0,3.803
2770587,연암서당골,weekday,3.492,354,4.261
2770587,연암서당골,weekend,3.233,133,3.916
2770587,연암서당골,holiday,2.783,23,3.803
2742469,대구어린이대공원,weekday,5.962,358,4.261
2742469,대구어린이대공원,weekend,6.205,149,3.916
2742469,대구어린이대공원,holiday,5.978,23,3.803
128627,이월드,weekday,1.434,249,4.261
128627,이월드,weekend,1.457,116,3.916
128627,이월드,holiday,1.357,14,3.803
1614171,들안길먹거리타운,weekday,,0,4.261
1614171,들안길먹거리타운,weekend,,0,3.916
1614171,들안길먹거리타운,holiday,,0,3.803
2366456,아양기찻길,weekday,,0,4.261
2366456,아양기찻길,weekend,,0,3.916
2366456,아양기찻길,holiday,,0,3.803
1115490,이공제비 및 군수이후범선영세불망비,weekday,,0,4.261
1115490,이공제비 및 군수이후범선영세불망비,weekend,,0,3.916
1115490,이공제비 및 군수이후범선영세불망비,holiday,,0,3.803
