contentid,title,addr1,lat,lng,link_mode,linked_stations,linked_with_usage,sessions_mean_weekday,sessions_mean_weekend,sessions_mean_holiday,holiday_vs_weekday,weekend_vs_weekday,holiday_days,weekday_days,weekend_days
1960611,동인동 찜갈비 골목,대구광역시 중구 동인동1가,35.8709867192,128.6051506807,within_500m,8,2,6.978,5.721,5.696,0.816,0.82,23,358,149
2746368,2·28 기념중앙공원,대구광역시 중구 동성로2길 80 (공평동),35.8693367591,128.5971819845,within_500m,8,0,,,,,,0,0,0
2599899,대구 동성로거리,대구광역시 중구 동성로2길 27,35.8702143803,128.5940850103,within_500m,8,0,,,,,,0,0,0
126133,경상감영공원,대구광역시 중구 경상감영길 99,35.8720530283,128.5923073375,within_500m,8,0,,,,,,0,0,0
1389430,대구 진골목,대구광역시 중구 진골목길 31 (남일동),35.8689783843,128.5927462738,within_500m,8,0,,,,,,0,0,0
2930875,대구화교협회,대구광역시 중구 종로 34 대구화교소학교,35.8688783799,128.5919046844,within_500m,8,0,,,,,,0,0,0
126802,봉산문화거리,대구광역시 중구 봉산문화길 38,35.8618042938,128.5980293412,within_500m,8,1,3.96,4.116,3.1,0.783,1.04,20,346,138
2931432,교남YMCA 회관,대구광역시 중구 남성로 22,35.8680812005,128.5893132677,within_500m,8,0,,,,,,0,0,0
2042995,대구 근대골목(근대로의 여행),대구광역시 중구 국채보상로102길 66,35.8677811868,128.5867579454,within_500m,8,0,,,,,,0,0,0
250329,대구제일교회,대구광역시 중구 국채보상로102길 50 (동산동),35.8682366852,128.5864051864,within_500m,8,0,,,,,,0,0,0
128119,대구향교,대구광역시 중구 명륜로 112,35.859751711,128.5959906893,within_500m,8,1,3.96,4.116,3.1,0.783,1.04,20,346,138
1613870,선교사스윗즈주택,대구광역시 중구 달구벌대로 2029,35.867545067,128.5848109015,within_500m,8,0,,,,,,0,0,0
2366243,선교사블레어주택,대구광역시 중구 달구벌대로 2029,35.8666257294,128.5849831341,within_500m,8,0,,,,,,0,0,0
1613886,선교사챔니스주택,대구광역시 중구 달구벌대로 2029,35.8666090647,128.5849525818,within_500m,8,0,,,,,,0,0,0
1249812,대구 오토바이골목,대구광역시 중구 인교동,35.8722695138,128.5838136357,within_500m,8,0,,,,,,0,0,0
