contentid,tour_title,statId,statNm,distance_m,n_chargers,link_mode,has_usage_days,sessions_mean_weekday,sessions_mean_weekend,sessions_mean_holiday,holiday_vs_weekday,weekend_vs_weekday
1960611,동인동 찜갈비 골목,CV001941,대구 중구청 주차장,129.5,1,within_500m,0,,,,,
1960611,동인동 찜갈비 골목,CV000535,대구시_중구청,205.8,1,within_500m,523,5.706,4.671,4.391,0.77,0.819
1960611,동인동 찜갈비 골목,PI202801,케이티대구타워,208.1,4,within_500m,0,,,,,
1960611,동인동 찜갈비 골목,PI202733,케이티대구타워,216.9,4,within_500m,0,,,,,
1960611,동인동 찜갈비 골목,ST271102,히로텔모텔(투숙객 전용),219.1,1,within_500m,0,,,,,
1960611,동인동 찜갈비 골목,CV002471,국채보상운동기념공원주차장,281.1,7,within_500m,0,,,,,
1960611,동인동 찜갈비 골목,CV003571,대구시_대구시청 지상1층,304.4,2,within_500m,529,8.246,6.73,7.0,0.849,0.816
1960611,동인동 찜갈비 골목,ME184067,대구시청,319.6,1,within_500m,0,,,,,
2746368,2·28 기념중앙공원,PI807412,대구 중구 동성로 중앙주차장,13.6,6,within_500m,0,,,,,
2746368,2·28 기념중앙공원,EZ250001,EVZ 동성로 스파크,156.9,1,within_500m,0,,,,,
2746368,2·28 기념중앙공원,EZ300474,대구 동성로 스파크,156.9,1,within_500m,0,,,,,
2746368,2·28 기념중앙공원,SF001002,씨네시티한일,207.1,4,within_500m,0,,,,,
2746368,2·28 기념중앙공원,LU003389,대구동성로주차장,209.2,17,within_500m,0,,,,,
2746368,2·28 기념중앙공원,TDP00009,교보생명 동성로사옥,254.8,2,within_500m,0,,,,,
2746368,2·28 기념중앙공원,PI752996,대구시 흥구삼덕빌딩,267.2,1,within_500m,0,,,,,
2746368,2·28 기념중앙공원,JE080003,(주)우리은행 대구지점,293.7,1,within_500m,0,,,,,
2599899,대구 동성로거리,JE080003,(주)우리은행 대구지점,6.4,1,within_500m,0,,,,,
2599899,대구 동성로거리,TDP00009,교보생명 동성로사옥,78.4,2,within_500m,0,,,,,
2599899,대구 동성로거리,PW014650,동성로하우스디어반 관리사무소,85.5,4,within_500m,0,,,,,
2599899,대구 동성로거리,PIH01712,비엘주차장,98.3,3,within_500m,0,,,,,
2599899,대구 동성로거리,SF001002,씨네시티한일,120.4,4,within_500m,0,,,,,
2599899,대구 동성로거리,EV008499,국민은행 대구지점,165.1,3,within_500m,0,,,,,
2599899,대구 동성로거리,HM710064,_메리츠화재 대구지점,201.2,2,within_500m,0,,,,,
2599899,대구 동성로거리,EC005054,대구우체국,244.2,2,within_500m,0,,,,,
126133,경상감영공원,CV001976,경상감영공영주차장,78.8,1,within_500m,0,,,,,
126133,경상감영공원,EC005054,대구우체국,83.6,2,within_500m,0,,,,,
126133,경상감영공원,HM710064,_메리츠화재 대구지점,118.5,2,within_500m,0,,,,,
126133,경상감영공원,PW014650,동성로하우스디어반 관리사무소,184.7,4,within_500m,0,,,,,
126133,경상감영공원,KL002700,(주)지원엠케이,209.7,1,within_500m,0,,,,,
126133,경상감영공원,HW000477,대구 대봉초등학교,244.6,2,within_500m,0,,,,,
126133,경상감영공원,JE080003,(주)우리은행 대구지점,258.2,1,within_500m,0,,,,,
126133,경상감영공원,PIH01712,비엘주차장,277.4,3,within_500m,0,,,,,
