contentid,tour_title,statId,statNm,distance_m,n_chargers,has_usage,sessions_sum,sessions_per_day,kwh_sum
1960611,동인동 찜갈비 골목,CV001941,대구 중구청 주차장,129.5,1,False,0.0,0.0,0.0
1960611,동인동 찜갈비 골목,CV000535,대구시_중구청,205.8,1,True,2806.0,5.365200764818356,59959.66
1960611,동인동 찜갈비 골목,PI202801,케이티대구타워,208.1,4,False,0.0,0.0,0.0
1960611,동인동 찜갈비 골목,PI202733,케이티대구타워,216.9,4,False,0.0,0.0,0.0
1960611,동인동 찜갈비 골목,ST271102,히로텔모텔(투숙객 전용),219.1,1,False,0.0,0.0,0.0
1960611,동인동 찜갈비 골목,CV002471,국채보상운동기념공원주차장,281.1,7,False,0.0,0.0,0.0
1960611,동인동 찜갈비 골목,CV003571,대구시_대구시청 지상1층,304.4,2,True,4109.0,7.767485822306238,86531.26
1960611,동인동 찜갈비 골목,ME184067,대구시청,319.6,1,False,0.0,0.0,0.0
1960611,동인동 찜갈비 골목,ST271109,동인시티타운(입주민 전용),349.6,3,False,0.0,0.0,0.0
1960611,동인동 찜갈비 골목,PC000552,경북대학교 의과대학(대구),359.2,2,False,0.0,0.0,0.0
1960611,동인동 찜갈비 골목,PW014511,한국은행대구경북본부(SP),375.0,3,False,0.0,0.0,0.0
1960611,동인동 찜갈비 골목,KP005271,대구경북건설지사,398.6,2,False,0.0,0.0,0.0
1960611,동인동 찜갈비 골목,CV003573,대구시_국채보상운동기념공원주차장,419.2,3,True,3610.0,6.824196597353497,51928.16
1960611,동인동 찜갈비 골목,PW801191,동인삼정그린코아 관리사무소(SP),436.9,10,False,0.0,0.0,0.0
1960611,동인동 찜갈비 골목,CV003570,대구시_동인동 행정복지센터,495.2,1,True,1171.0,2.2915851272015657,29410.42
1960611,동인동 찜갈비 골목,DG110009,동인동행정복지센터,499.4,1,False,0.0,0.0,0.0
2746368,2·28 기념중앙공원,PI807412,대구 중구 동성로 중앙주차장,13.6,6,False,0.0,0.0,0.0
2746368,2·28 기념중앙공원,EZ250001,EVZ 동성로 스파크,156.9,1,False,0.0,0.0,0.0
2746368,2·28 기념중앙공원,EZ300474,대구 동성로 스파크,156.9,1,False,0.0,0.0,0.0
2746368,2·28 기념중앙공원,SF001002,씨네시티한일,207.1,4,False,0.0,0.0,0.0
2746368,2·28 기념중앙공원,LU003389,대구동성로주차장,209.2,17,False,0.0,0.0,0.0
2746368,2·28 기념중앙공원,TDP00009,교보생명 동성로사옥,254.8,2,False,0.0,0.0,0.0
2746368,2·28 기념중앙공원,PI752996,대구시 흥구삼덕빌딩,267.2,1,False,0.0,0.0,0.0
2746368,2·28 기념중앙공원,JE080003,(주)우리은행 대구지점,293.7,1,False,0.0,0.0,0.0
2746368,2·28 기념중앙공원,EV008499,국민은행 대구지점,345.1,3,False,0.0,0.0,0.0
2746368,2·28 기념중앙공원,PI306068,유니온스퀘어,345.5,1,False,0.0,0.0,0.0
2746368,2·28 기념중앙공원,SF002258,신용보증기금 (대구지점),350.0,3,False,0.0,0.0,0.0
2746368,2·28 기념중앙공원,PIH01712,비엘주차장,358.7,3,False,0.0,0.0,0.0
2746368,2·28 기념중앙공원,PW014650,동성로하우스디어반 관리사무소,380.3,4,False,0.0,0.0,0.0
2746368,2·28 기념중앙공원,CV003573,대구시_국채보상운동기념공원주차장,420.4,3,True,3610.0,6.824196597353497,51928.16
2746368,2·28 기념중앙공원,ME184067,대구시청,425.5,1,False,0.0,0.0,0.0
2746368,2·28 기념중앙공원,CV003571,대구시_대구시청 지상1층,440.6,2,True,4109.0,7.767485822306238,86531.26
2746368,2·28 기념중앙공원,CV004700,대구대성주차장,459.5,1,False,0.0,0.0,0.0
2746368,2·28 기념중앙공원,CV001976,경상감영공영주차장,495.5,1,False,0.0,0.0,0.0
