contentid,title,addr1,cat1,lat,lng,radius_m,stations_nearby,chargers_nearby,stations_with_usage,sessions_sum,kwh_sum,sessions_per_day_mean,sessions_per_day_mean_usage_only,vs_control_ratio
1960611,동인동 찜갈비 골목,대구광역시 중구 동인동1가,A02,35.8709867192,128.6051506807,300,6,18,1,2806.0,59959.7,0.894,5.365,1.417
1960611,동인동 찜갈비 골목,대구광역시 중구 동인동1가,A02,35.8709867192,128.6051506807,500,16,46,4,11696.0,227829.5,1.391,5.562,1.469
1960611,동인동 찜갈비 골목,대구광역시 중구 동인동1가,A02,35.8709867192,128.6051506807,1000,77,345,5,12976.0,254512.6,0.322,4.952,1.308
2746368,2·28 기념중앙공원,대구광역시 중구 동성로2길 80 (공평동),A02,35.8693367591,128.5971819845,300,8,33,0,0.0,0.0,0.0,,
2746368,2·28 기념중앙공원,대구광역시 중구 동성로2길 80 (공평동),A02,35.8693367591,128.5971819845,500,19,57,2,7719.0,138459.4,0.768,7.296,1.927
2746368,2·28 기념중앙공원,대구광역시 중구 동성로2길 80 (공평동),A02,35.8693367591,128.5971819845,1000,94,475,4,12524.0,240785.8,0.253,5.952,1.572
2599899,대구 동성로거리,대구광역시 중구 동성로2길 27,A02,35.8702143803,128.5940850103,300,10,39,0,0.0,0.0,0.0,,
2599899,대구 동성로거리,대구광역시 중구 동성로2길 27,A02,35.8702143803,128.5940850103,500,22,78,0,0.0,0.0,0.0,,
2599899,대구 동성로거리,대구광역시 중구 동성로2길 27,A02,35.8702143803,128.5940850103,1000,101,507,3,9718.0,180826.1,0.183,6.148,1.624
126133,경상감영공원,대구광역시 중구 경상감영길 99,A02,35.8720530283,128.5923073375,300,9,18,0,0.0,0.0,0.0,,
126133,경상감영공원,대구광역시 중구 경상감영길 99,A02,35.8720530283,128.5923073375,500,18,57,0,0.0,0.0,0.0,,
126133,경상감영공원,대구광역시 중구 경상감영길 99,A02,35.8720530283,128.5923073375,1000,91,513,3,9718.0,180826.1,0.203,6.148,1.624
1389430,대구 진골목,대구광역시 중구 진골목길 31 (남일동),A02,35.8689783843,128.5927462738,300,11,27,0,0.0,0.0,0.0,,
1389430,대구 진골목,대구광역시 중구 진골목길 31 (남일동),A02,35.8689783843,128.5927462738,500,33,146,0,0.0,0.0,0.0,,
1389430,대구 진골목,대구광역시 중구 진골목길 31 (남일동),A02,35.8689783843,128.5927462738,1000,103,528,3,9718.0,180826.1,0.179,6.148,1.624
2930875,대구화교협회,대구광역시 중구 종로 34 대구화교소학교,A02,35.8688783799,128.5919046844,300,13,48,0,0.0,0.0,0.0,,
2930875,대구화교협회,대구광역시 중구 종로 34 대구화교소학교,A02,35.8688783799,128.5919046844,500,31,128,0,0.0,0.0,0.0,,
2930875,대구화교협회,대구광역시 중구 종로 34 대구화교소학교,A02,35.8688783799,128.5919046844,1000,93,504,3,9718.0,180826.1,0.198,6.148,1.624
126802,봉산문화거리,대구광역시 중구 봉산문화길 38,A02,35.8618042938,128.5980293412,300,7,79,0,0.0,0.0,0.0,,
126802,봉산문화거리,대구광역시 중구 봉산문화길 38,A02,35.8618042938,128.5980293412,500,23,169,1,2000.0,42303.9,0.173,3.968,1.048
126802,봉산문화거리,대구광역시 중구 봉산문화길 38,A02,35.8618042938,128.5980293412,1000,79,454,4,8341.0,156202.6,0.205,4.056,1.071
2931432,교남YMCA 회관,대구광역시 중구 남성로 22,A02,35.8680812005,128.5893132677,300,15,78,0,0.0,0.0,0.0,,
2931432,교남YMCA 회관,대구광역시 중구 남성로 22,A02,35.8680812005,128.5893132677,500,35,149,1,1999.0,42366.7,0.11,3.852,1.017
2931432,교남YMCA 회관,대구광역시 중구 남성로 22,A02,35.8680812005,128.5893132677,1000,90,525,3,9877.0,142559.2,0.212,6.374,1.683
2042995,대구 근대골목(근대로의 여행),대구광역시 중구 국채보상로102길 66,A02,35.8677811868,128.5867579454,300,12,73,0,0.0,0.0,0.0,,
2042995,대구 근대골목(근대로의 여행),대구광역시 중구 국채보상로102길 66,A02,35.8677811868,128.5867579454,500,28,158,1,1999.0,42366.7,0.138,3.852,1.017
2042995,대구 근대골목(근대로의 여행),대구광역시 중구 국채보상로102길 66,A02,35.8677811868,128.5867579454,1000,100,632,4,12640.0,201649.0,0.244,6.096,1.61
250329,대구제일교회,대구광역시 중구 국채보상로102길 50 (동산동),A02,35.8682366852,128.5864051864,300,12,70,0,0.0,0.0,0.0,,
250329,대구제일교회,대구광역시 중구 국채보상로102길 50 (동산동),A02,35.8682366852,128.5864051864,500,26,148,0,0.0,0.0,0.0,,
250329,대구제일교회,대구광역시 중구 국채보상로102길 50 (동산동),A02,35.8682366852,128.5864051864,1000,97,591,4,12640.0,201649.0,0.251,6.096,1.61
128119,대구향교,대구광역시 중구 명륜로 112,A02,35.859751711,128.5959906893,300,3,8,0,0.0,0.0,0.0,,
128119,대구향교,대구광역시 중구 명륜로 112,A02,35.859751711,128.5959906893,500,25,206,1,2000.0,42303.9,0.159,3.968,1.048
128119,대구향교,대구광역시 중구 명륜로 112,A02,35.859751711,128.5959906893,1000,69,385,5,8010.0,161587.1,0.232,3.207,0.847
1613870,선교사스윗즈주택,대구광역시 중구 달구벌대로 2029,A02,35.867545067,128.5848109015,300,9,68,0,0.0,0.0,0.0,,
1613870,선교사스윗즈주택,대구광역시 중구 달구벌대로 2029,A02,35.867545067,128.5848109015,500,24,162,1,6842.0,84058.0,0.538,12.909,3.41
1613870,선교사스윗즈주택,대구광역시 중구 달구벌대로 2029,A02,35.867545067,128.5848109015,1000,99,624,5,13511.0,221808.5,0.264,5.227,1.38
2366243,선교사블레어주택,대구광역시 중구 달구벌대로 2029,A02,35.8666257294,128.5849831341,300,8,67,0,0.0,0.0,0.0,,
2366243,선교사블레어주택,대구광역시 중구 달구벌대로 2029,A02,35.8666257294,128.5849831341,500,27,172,2,8841.0,126424.7,0.621,8.381,2.213
2366243,선교사블레어주택,대구광역시 중구 달구벌대로 2029,A02,35.8666257294,128.5849831341,1000,98,607,4,12640.0,201649.0,0.249,6.096,1.61
1613886,선교사챔니스주택,대구광역시 중구 달구벌대로 2029,A02,35.8666090647,128.5849525818,300,8,67,0,0.0,0.0,0.0,,
1613886,선교사챔니스주택,대구광역시 중구 달구벌대로 2029,A02,35.8666090647,128.5849525818,500,26,171,1,6842.0,84058.0,0.497,12.909,3.41
1613886,선교사챔니스주택,대구광역시 중구 달구벌대로 2029,A02,35.8666090647,128.5849525818,1000,98,607,4,12640.0,201649.0,0.249,6.096,1.61
1249812,대구 오토바이골목,대구광역시 중구 인교동,A02,35.8722695138,128.5838136357,300,2,6,0,0.0,0.0,0.0,,
1249812,대구 오토바이골목,대구광역시 중구 인교동,A02,35.8722695138,128.5838136357,500,15,102,1,6842.0,84058.0,0.861,12.909,3.41
