sample_group,selection,selection_rank,selection_rule,snapshotId,statId,chgerId,stat,statUpdDt,fetchedAt,pageNo,source_file,raw_row_order
status_conflict,removed,1,"latest statUpdDt, then pageNo, then raw row order",20260719_173125,PI000129,01,2,20260719172402,2026-07-19 17:31:25,4,docs/data/loops/loop1/snapshots/20260719/daegu_charger_status_20260719_173125.csv,66814
status_conflict,selected,2,"latest statUpdDt, then pageNo, then raw row order",20260719_173125,PI000129,01,3,20260719173106,2026-07-19 17:31:25,5,docs/data/loops/loop1/snapshots/20260719/daegu_charger_status_20260719_173125.csv,66866
status_conflict,removed,1,"latest statUpdDt, then pageNo, then raw row order",20260723_103617,JA270010,01,5,20260723103017,2026-07-23 10:36:17,4,docs/data/loops/loop1/snapshots/20260723/daegu_charger_status_20260723_103617.csv,237001
status_conflict,selected,2,"latest statUpdDt, then pageNo, then raw row order",20260723_103617,JA270010,01,2,20260723103512,2026-07-23 10:36:17,5,docs/data/loops/loop1/snapshots/20260723/daegu_charger_status_20260723_103617.csv,237042
status_conflict,removed,1,"latest statUpdDt, then pageNo, then raw row order",20260723_103617,JA270010,02,5,20260723103017,2026-07-23 10:36:17,4,docs/data/loops/loop1/snapshots/20260723/daegu_charger_status_20260723_103617.csv,237002
status_conflict,selected,2,"latest statUpdDt, then pageNo, then raw row order",20260723_103617,JA270010,02,3,20260723103512,2026-07-23 10:36:17,5,docs/data/loops/loop1/snapshots/20260723/daegu_charger_status_20260723_103617.csv,237043
status_conflict,removed,1,"latest statUpdDt, then pageNo, then raw row order",20260723_162624,HE000883,24,3,20260723162400,2026-07-23 16:26:24,3,docs/data/loops/loop1/snapshots/20260723/daegu_charger_status_20260723_162624.csv,266268
status_conflict,selected,2,"latest statUpdDt, then pageNo, then raw row order",20260723_162624,HE000883,24,2,20260723162600,2026-07-23 16:26:24,4,docs/data/loops/loop1/snapshots/20260723/daegu_charger_status_20260723_162624.csv,266314
status_conflict,removed,1,"latest statUpdDt, then pageNo, then raw row order",20260725_200427,LU101196,01,3,20260725200308,2026-07-25 20:04:27,4,docs/data/loops/loop1/snapshots/20260725/daegu_charger_status_20260725_200427.csv,418378
status_conflict,selected,2,"latest statUpdDt, then pageNo, then raw row order",20260725_200427,LU101196,01,2,20260725200315,2026-07-25 20:04:27,5,docs/data/loops/loop1/snapshots/20260725/daegu_charger_status_20260725_200427.csv,418431
status_conflict,removed,1,"latest statUpdDt, then pageNo, then raw row order",20260728_142116,LU001249,01,3,20260728142010,2026-07-28 14:21:16,3,docs/data/loops/loop1/snapshots/20260728/daegu_charger_status_20260728_142116.csv,602270
status_conflict,selected,2,"latest statUpdDt, then pageNo, then raw row order",20260728_142116,LU001249,01,2,20260728142036,2026-07-28 14:21:16,4,docs/data/loops/loop1/snapshots/20260728/daegu_charger_status_20260728_142116.csv,602307
status_conflict,removed,1,"latest statUpdDt, then pageNo, then raw row order",20260729_225019,PL031200,04,2,20260729224611,2026-07-29 22:50:19,4,docs/data/loops/loop1/snapshots/20260729/daegu_charger_status_20260729_225019.csv,700241
status_conflict,selected,2,"latest statUpdDt, then pageNo, then raw row order",20260729_225019,PL031200,04,3,20260729224914,2026-07-29 22:50:19,5,docs/data/loops/loop1/snapshots/20260729/daegu_charger_status_20260729_225019.csv,700263
status_conflict,removed,1,"latest statUpdDt, then pageNo, then raw row order",20260730_150625,CV004714,03,1,20260730150107,2026-07-30 15:06:25,3,docs/data/loops/loop1/snapshots/20260730/daegu_charger_status_20260730_150625.csv,742410
status_conflict,selected,2,"latest statUpdDt, then pageNo, then raw row order",20260730_150625,CV004714,03,2,20260730150553,2026-07-30 15:06:25,4,docs/data/loops/loop1/snapshots/20260730/daegu_charger_status_20260730_150625.csv,742438
status_conflict,removed,1,"latest statUpdDt, then pageNo, then raw row order",20260731_042119,PL031631,06,3,20260731042004,2026-07-31 04:21:19,3,docs/data/loops/loop1/snapshots/20260731/daegu_charger_status_20260731_042119.csv,784372
status_conflict,selected,2,"latest statUpdDt, then pageNo, then raw row order",20260731_042119,PL031631,06,2,20260731042019,2026-07-31 04:21:19,4,docs/data/loops/loop1/snapshots/20260731/daegu_charger_status_20260731_042119.csv,784385
status_conflict,removed,1,"latest statUpdDt, then pageNo, then raw row order",20260731_184519,LU001022,28,2,20260731184016,2026-07-31 18:45:19,4,docs/data/loops/loop1/snapshots/20260731/daegu_charger_status_20260731_184519.csv,828309
status_conflict,selected,2,"latest statUpdDt, then pageNo, then raw row order",20260731_184519,LU001022,28,3,20260731184440,2026-07-31 18:45:19,5,docs/data/loops/loop1/snapshots/20260731/daegu_charger_status_20260731_184519.csv,828322
status_conflict,removed,1,"latest statUpdDt, then pageNo, then raw row order",20260802_204918,PW013317,08,3,20260802204532,2026-08-02 20:49:18,5,docs/data/loops/loop1/snapshots/20260802/daegu_charger_status_20260802_204918.csv,973163
status_conflict,selected,2,"latest statUpdDt, then pageNo, then raw row order",20260802_204918,PW013317,08,2,20260802204841,2026-08-02 20:49:18,6,docs/data/loops/loop1/snapshots/20260802/daegu_charger_status_20260802_204918.csv,973182
status_conflict,removed,1,"latest statUpdDt, then pageNo, then raw row order",20260805_195219,PL031349,22,2,20260805195045,2026-08-05 19:52:19,5,docs/data/loops/loop1/snapshots/20260805/daegu_charger_status_20260805_195219.csv,1175542
status_conflict,selected,2,"latest statUpdDt, then pageNo, then raw row order",20260805_195219,PL031349,22,3,20260805195207,2026-08-05 19:52:19,6,docs/data/loops/loop1/snapshots/20260805/daegu_charger_status_20260805_195219.csv,1175585
status_conflict,removed,1,"latest statUpdDt, then pageNo, then raw row order",20260805_195219,PL033046,06,2,20260805194859,2026-08-05 19:52:19,5,docs/data/loops/loop1/snapshots/20260805/daegu_charger_status_20260805_195219.csv,1175559
status_conflict,selected,2,"latest statUpdDt, then pageNo, then raw row order",20260805_195219,PL033046,06,3,20260805195128,2026-08-05 19:52:19,6,docs/data/loops/loop1/snapshots/20260805/daegu_charger_status_20260805_195219.csv,1175605
status_conflict,removed,1,"latest statUpdDt, then pageNo, then raw row order",20260805_212225,LU101483,26,2,20260805211226,2026-08-05 21:22:25,4,docs/data/loops/loop1/snapshots/20260805/daegu_charger_status_20260805_212225.csv,1180531
status_conflict,selected,2,"latest statUpdDt, then pageNo, then raw row order",20260805_212225,LU101483,26,3,20260805212130,2026-08-05 21:22:25,5,docs/data/loops/loop1/snapshots/20260805/daegu_charger_status_20260805_212225.csv,1180556
status_conflict,removed,1,"latest statUpdDt, then pageNo, then raw row order",20260806_133625,CV004482,07,1,20260806133034,2026-08-06 13:36:25,3,docs/data/loops/loop1/snapshots/20260806/daegu_charger_status_20260806_133625.csv,1222257
status_conflict,selected,2,"latest statUpdDt, then pageNo, then raw row order",20260806_133625,CV004482,07,2,20260806133527,2026-08-06 13:36:25,4,docs/data/loops/loop1/snapshots/20260806/daegu_charger_status_20260806_133625.csv,1222294
status_conflict,removed,1,"latest statUpdDt, then pageNo, then raw row order",20260806_133625,HE000883,11,3,20260806133500,2026-08-06 13:36:25,3,docs/data/loops/loop1/snapshots/20260806/daegu_charger_status_20260806_133625.csv,1222274
status_conflict,selected,2,"latest statUpdDt, then pageNo, then raw row order",20260806_133625,HE000883,11,2,20260806133600,2026-08-06 13:36:25,4,docs/data/loops/loop1/snapshots/20260806/daegu_charger_status_20260806_133625.csv,1222313
