statId,statNm,matched_id,matched_name,distance_m,radius_m,matched
ME178137,군위영천휴게소(하행),,,,1000,False
ME181302,대구지방합동청사,CITYTOUR-0193,이상화묘,348.9,1000,True
ME181303,㈜정방,,,,1000,False
ME183050,대구보건환경연구원,CITYTOUR-0141,수성아트피아,408.2,1000,True
ME183053,달서구 청소년수련관공영주차장,,,,1000,False
ME183054,구지면사무소,CITYTOUR-0039,노사평화의 전당,931.6,1000,True
ME183055,수태골 공영주차장,CITYTOUR-0144,수태골,87.9,1000,True
ME183056,낙동강승전기념관,CITYTOUR-0158,앞산공원,455.2,1000,True
ME183057,이곡2동주민센터,CITYTOUR-0012,계명대학교 행소 박물관,985.2,1000,True
ME183058,신암5동주민센터,CITYTOUR-0151,아양기찻길,435.6,1000,True
ME183059,복현2동주민센터,,,,1000,False
ME183060,대구환경공단 신천사업소,CITYTOUR-0073,대구종합유통단지,842.9,1000,True
ME183061,만촌1동주민센터,CITYTOUR-0108,박물관 휴르,579.8,1000,True
ME183062,호산공영주차장,,,,1000,False
ME183063,용산역환승주차장,CITYTOUR-0054,대구기업명품관,106.5,1000,True
ME183064,서촌공영주차장,,,,1000,False
ME183065,웃는얼굴 아트센터,CITYTOUR-0054,대구기업명품관,932.0,1000,True
ME183066,서변2공영주차장,,,,1000,False
ME183067,팔달신시장공영주차장,,,,1000,False
ME183068,범물공영주차장,,,,1000,False
ME183069,황금2동주민센터 앞 공영주차장,CITYTOUR-0094,들안길 먹거리타운,815.2,1000,True
ME183070,블루핸즈 현풍현대서비스,CITYTOUR-0233,현풍곽씨 12정려각,155.7,1000,True
ME183071,계명문화대학교,CITYTOUR-0012,계명대학교 행소 박물관,333.7,1000,True
ME183072,SW융합기술지원센터,CITYTOUR-0062,대구삼성라이온즈파크,419.0,1000,True
ME183077,호텔아젤리아,CITYTOUR-0137,소재사,412.6,1000,True
ME183144,대구환경공단 달성사업소,,,,1000,False
ME184067,대구시청,CITYTOUR-0026,국채보상운동기념공원,271.6,1000,True
ME184068,두류공원관리소,CITYTOUR-0093,두류공원,41.9,1000,True
ME184069,북구유통단지(EXCO),CITYTOUR-0072,대구전시컨벤션센터(EXCO),53.0,1000,True
ME184070,시지근린공원 공영주차장,,,,1000,False
ME18C147,삼국유사 가온누리,CITYTOUR-0127,삼국유사테마파크,607.9,1000,True
ME18C170,북대구세무서,CITYTOUR-0070,대구오페라하우스,971.4,1000,True
ME18C171,노원동행정복지센터,,,,1000,False
ME18C172,침산3동행정복지센터,CITYTOUR-0070,대구오페라하우스,961.1,1000,True
ME18C173,침산공원,,,,1000,False
ME18C174,서구 문화회관,CITYTOUR-0196,이현공원,345.7,1000,True
ME18C175,대명1동 행정복지센터,CITYTOUR-0153,안지랑 곱창골목,605.8,1000,True
ME18C176,도원동마을공영주차장,CITYTOUR-0185,월광수변공원,800.1,1000,True
ME18C177,낙동강 레포츠밸리,,,,1000,False
ME18C178,안심2동 공영주차장,,,,1000,False
ME18C229,군위(춘천) 휴게소,,,,1000,False
ME18C230,군위국민체육센터 주차장,CITYTOUR-0121,사라온이야기마을,527.7,1000,True
ME18C251,삼국유사 군위(서울) 휴게소,,,,1000,False
ME18C254,대구 문화예술회관,CITYTOUR-0058,대구문화예술회관,5.9,1000,True
ME18C255,달서별빛캠프 캠핑장,,,,1000,False
ME18C257,논공(대구) 휴게소,,,,1000,False
ME18C258,해안동 공영주차장,,,,1000,False
ME18C259,율암동 공영주차장,,,,1000,False
ME18C260,연암공원,CITYTOUR-0073,대구종합유통단지,756.1,1000,True
ME18C261,중앙119 구조본부,,,,1000,False
ME18C262,비슬산 숲속 캠핑장,CITYTOUR-0137,소재사,94.2,1000,True
ME18C263,달성문화원,CITYTOUR-0234,현풍석빙고,170.5,1000,True
ME18C264,북구구민 운동장,CITYTOUR-0178,옻골동산,249.5,1000,True
ME18C265,서재문화체육센터,,,,1000,False
ME18C405,대구광역시청 별관,CITYTOUR-0008,경북대학교 가로수길(백양로),771.4,1000,True
ME19C130,소보면사무소 주차장,,,,1000,False
ME19C143,달성군 보건소,CITYTOUR-0234,현풍석빙고,730.3,1000,True
ME19C227,현풍백년도깨비시장 공영주차장,CITYTOUR-0234,현풍석빙고,983.2,1000,True
ME19C289,군위군 종합운동장,,,,1000,False
ME19C403,칠곡3지구 공영주차장,CITYTOUR-0105,문화예술거리 이태원길,712.8,1000,True
ME19C404,무학산공원,CITYTOUR-0141,수성아트피아,536.1,1000,True
ME19D114,장군졸음쉼터,,,,1000,False
ME19D216,관사정문 주차장,,,,1000,False
ME19E138,우보면사무소 주차장,,,,1000,False
ME19E139,장곡휴양림 주차장,CITYTOUR-0204,장곡자연휴양림,74.1,1000,True
ME19E161,범어2동 행정복지센터,CITYTOUR-0108,박물관 휴르,475.1,1000,True
ME19E215,월광수변공원,CITYTOUR-0185,월광수변공원,810.0,1000,True
ME19E216,달성군청,,,,1000,False
