statId,nearest_link_id,nearest_link_m,link_speed_kph,link_cong_grade,link_cong_grade_nm
ME178137,,,,,
ME181302,1560246600,269.9,72.0,1.0,원활
ME181303,,,,,
ME183050,,,,,
ME183053,1560102400,162.8,53.0,1.0,원활
ME183054,,,,,
ME183055,,,,,
ME183056,,,,,
ME183057,1560007403,399.0,19.0,2.0,지체
ME183058,1510008101,309.4,36.0,1.0,원활
ME183059,,,,,
ME183060,1540062600,126.7,55.0,1.0,원활
ME183061,1550051400,27.5,24.0,2.0,지체
ME183062,1560051000,176.0,36.0,1.0,원활
ME183063,1560003702,106.4,38.0,1.0,원활
ME183064,,,,,
ME183065,,,,,
ME183066,1540070600,128.4,57.0,1.0,원활
ME183067,1540001300,27.0,23.0,2.0,지체
ME183068,1550057802,296.8,17.0,2.0,지체
ME183069,1550028000,116.9,28.0,1.0,원활
ME183070,,,,,
ME183071,1560091700,201.1,24.0,2.0,지체
ME183072,,,,,
ME183077,,,,,
ME183144,,,,,
ME184067,1500016100,103.9,17.0,2.0,지체
ME184068,1530000503,137.4,28.0,1.0,원활
ME184069,,,,,
ME184070,,,,,
ME18C147,,,,,
ME18C170,1540033801,163.1,14.0,3.0,정체
ME18C171,1540030800,61.0,20.0,2.0,지체
ME18C172,1540038401,56.0,14.0,3.0,정체
ME18C173,,,,,
ME18C174,1520011900,382.9,23.0,2.0,지체
ME18C175,1530027300,114.8,20.0,2.0,지체
ME18C176,1560012202,267.5,42.0,1.0,원활
ME18C177,,,,,
ME18C178,1510003100,94.1,53.0,1.0,원활
ME18C229,,,,,
ME18C230,,,,,
ME18C251,,,,,
ME18C254,1530000503,276.3,28.0,1.0,원활
ME18C255,,,,,
ME18C257,,,,,
ME18C258,,,,,
ME18C259,,,,,
ME18C260,1540007500,272.2,21.0,2.0,지체
ME18C261,,,,,
ME18C262,,,,,
ME18C263,,,,,
ME18C264,1540089400,111.4,16.0,2.0,지체
ME18C265,1570036100,209.7,44.0,1.0,원활
ME18C405,1540035900,125.8,60.0,1.0,원활
ME19C130,,,,,
ME19C143,1570420500,335.3,28.0,1.0,원활
ME19C227,,,,,
ME19C289,,,,,
ME19C403,1540102502,205.2,29.0,1.0,원활
ME19C404,,,,,
ME19D114,,,,,
ME19D216,,,,,
ME19E138,,,,,
ME19E139,,,,,
ME19E161,1550047006,392.1,34.0,1.0,원활
ME19E215,1560012202,256.7,42.0,1.0,원활
ME19E216,,,,,
ME19E217,,,,,
ME19F260,,,,,
ME19F410,,,,,
ME19F412,,,,,
ME19W401,,,,,
ME19X404,,,,,
ME19X405,1510031100,194.4,49.0,1.0,원활
ME19X413,,,,,
ME19X430,,,,,
ME19Y406,1510033800,246.1,35.0,1.0,원활
ME19Z223,1560099900,238.4,44.0,1.0,원활
ME20C182,,,,,
ME20C183,1560008200,140.3,29.0,1.0,원활
ME20C184,1560018800,310.0,60.0,1.0,원활
ME20C185,1560032400,33.4,33.0,1.0,원활
ME20C186,,,,,
ME20C187,1570420500,333.7,28.0,1.0,원활
ME20C188,1510034702,320.2,26.0,1.0,원활
ME20C189,,,,,
ME20C285,,,,,
ME20C286,1540015402,76.9,37.0,1.0,원활
ME20C287,,,,,
ME20C288,,,,,
ME20C304,,,,,
ME20C414,,,,,
ME20D206,,,,,
ME21A140,,,,,
ME21A903,,,,,
ME21A910,,,,,
ME21B130,1540102401,59.2,29.0,1.0,원활
ME21B198,1550007407,220.3,27.0,1.0,원활
ME21B1D2,,,,,
ME21B262,,,,,
ME21B301,1560032400,83.4,33.0,1.0,원활
ME21C219,,,,,
ME21C228,1560099900,182.4,44.0,1.0,원활
ME21E401,,,,,
ME22C189,,,,,
ME22C193,,,,,
ME22C1A1,,,,,
ME22C1A2,,,,,
ME22C1A3,1520003400,74.4,22.0,2.0,지체
ME22C1A4,,,,,
ME22C250,,,,,
ME22C251,1510050204,223.9,19.0,2.0,지체
ME22C252,1530011502,75.3,28.0,1.0,원활
ME22C253,1560032400,40.4,33.0,1.0,원활
ME22D191,1540003200,81.0,21.0,2.0,지체
ME22D192,,,,,
ME22D1C0,1540085403,52.8,29.0,1.0,원활
ME22D245,,,,,
ME22D254,,,,,
ME23A218,1510031600,161.9,49.0,1.0,원활
ME23B113,,,,,
ME23B114,,,,,
ME23B115,1530000502,77.5,28.0,1.0,원활
ME23B186,1510049900,44.7,49.0,1.0,원활
ME24A243,,,,,
ME24A244,,,,,
ME24A248,,,,,
ME24B142,1560077305,143.7,25.0,2.0,지체
ME24B143,,,,,
ME24B144,,,,,
ME24B207,1560099800,116.1,44.0,1.0,원활
ME24B208,,,,,
ME25C165,,,,,
ME25C166,,,,,
ME25C167,,,,,
ME25C168,1560000402,349.2,22.0,2.0,지체
ME25C169,,,,,
ME25C170,,,,,
ME25C171,1510050000,184.2,49.0,1.0,원활
ME25C172,1540048600,95.5,26.0,1.0,원활
ME25C173,1540007600,249.9,39.0,1.0,원활
ME25C276,,,,,
ME25C277,,,,,
ME25C278,1550030208,154.7,35.0,1.0,원활
ME25C425,,,,,
ME25C426,,,,,
ME25C427,1510050000,184.2,49.0,1.0,원활
ME25C428,1550030208,266.0,35.0,1.0,원활
AH000019,,,,,
AH000052,1540005601,158.9,25.0,2.0,지체
AH000082,,,,,
ALAL0013,1510031800,65.4,29.0,1.0,원활
AM900026,1540087400,70.1,29.0,1.0,원활
AM900047,1500035903,67.8,21.0,2.0,지체
AM900048,1500035903,67.8,21.0,2.0,지체
AZ100007,1540032101,95.7,28.0,1.0,원활
AZ100013,,,,,
AZ100014,1510017100,67.1,37.0,1.0,원활
AZ100017,1560094600,49.6,26.0,1.0,원활
AZ100019,1540000101,271.2,32.0,1.0,원활
AZ100020,1510015200,76.2,27.0,1.0,원활
AZ100021,1510050103,282.7,26.0,1.0,원활
AZ100022,1570432500,90.2,29.0,1.0,원활
AZ100023,1540032101,95.7,28.0,1.0,원활
BE241230,,,,,
BE241250,,,,,
BE241251,,,,,
BE482306,1500036000,69.5,33.0,1.0,원활
BNBN0053,1570432600,242.2,49.0,1.0,원활
BNBN0494,1570431400,399.6,44.0,1.0,원활
BNBN0583,,,,,
BNBN0584,,,,,
BNBN0585,1560092900,234.9,24.0,2.0,지체
BNBN0586,1560018100,313.9,33.0,1.0,원활
BNBN0588,1560091903,152.6,25.0,2.0,지체
BNBN0590,,,,,
BNBN0591,,,,,
BNBN0594,1550007000,385.3,40.0,1.0,원활
BNBN0721,1520017200,104.7,27.0,1.0,원활
BNBN1092,1570420500,237.4,28.0,1.0,원활
BNBN1180,1560057804,65.0,36.0,1.0,원활
BNMI4428,1510035000,233.7,31.0,1.0,원활
BNMI4433,1520012800,216.9,22.0,2.0,지체
BNMI4438,,,,,
CCP00001,1570433800,258.6,72.0,1.0,원활
CG000066,,,,,
CGP00005,,,,,
CGP00009,1540245102,252.4,26.0,1.0,원활
CGP00011,1550030000,330.1,42.0,1.0,원활
CGP00013,1550030000,292.7,42.0,1.0,원활
CGP00014,1510022500,292.9,44.0,1.0,원활
CGP00015,1510031900,348.8,19.0,2.0,지체
CGP00016,1510031900,333.3,19.0,2.0,지체
CGP00017,1510022500,246.1,44.0,1.0,원활
CGP00018,1510031900,350.0,19.0,2.0,지체
CGP00019,1510031900,336.4,19.0,2.0,지체
CI0F0001,1500007101,96.8,19.0,2.0,지체
CI0F0002,,,,,
CI0F0003,1560106703,229.4,72.0,1.0,원활
CI0F0004,1570424302,173.0,28.0,1.0,원활
CI0F0005,,,,,
CPCP1044,,,,,
