statId,statNm,matched_id,matched_name,distance_m,radius_m,matched,remaining_spaces,total_spaces,occupancy_rate,congestion_status,has_realtime,parking_lat,parking_lng,parking_source
ME178137,군위영천휴게소(하행),,,,1000.0,False,,,,,False,,,team5_pis
ME181302,대구지방합동청사,,,,1000.0,False,,,,,False,,,team5_pis
ME181303,㈜정방,,,,1000.0,False,,,,,False,,,team5_pis
ME183050,대구보건환경연구원,,,,1000.0,False,,,,,False,,,team5_pis
ME183053,달서구 청소년수련관공영주차장,,,,1000.0,False,,,,,False,,,team5_pis
ME183054,구지면사무소,,,,1000.0,False,,,,,False,,,team5_pis
ME183055,수태골 공영주차장,,,,1000.0,False,,,,,False,,,team5_pis
ME183056,낙동강승전기념관,153-2-000009,앞산공원 공영주차장,457.3,1000.0,True,42,71,40.85,여유(점유 50%미만),True,35.831673,128.588653,team5_pis
ME183057,이곡2동주민센터,,,,1000.0,False,,,,,False,,,team5_pis
ME183058,신암5동주민센터,151-1-000009,대구관광 고등학교 앞,70.3,1000.0,True,,,,,False,35.890329,128.63257,team5_pis
ME183059,복현2동주민센터,154-1-000136,동북로57길,140.4,1000.0,True,,,,,False,35.895117,128.623991,team5_pis
ME183060,대구환경공단 신천사업소,154-1-000219,유통단지로3길,585.6,1000.0,True,,,,,False,35.909076,128.604485,team5_pis
ME183061,만촌1동주민센터,151-1-000167,화랑로19길,822.9,1000.0,True,,,,,False,35.873256,128.636553,team5_pis
ME183062,호산공영주차장,,,,1000.0,False,,,,,False,,,team5_pis
ME183063,용산역환승주차장,,,,1000.0,False,,,,,False,,,team5_pis
ME183064,서촌공영주차장,152-1-000076,새방로 25길,771.8,1000.0,True,,,,,False,35.867645,128.527742,team5_pis
ME183065,웃는얼굴 아트센터,,,,1000.0,False,,,,,False,,,team5_pis
ME183066,서변2공영주차장,154-1-000295,화성리버파크1단지동측,168.8,1000.0,True,,,,,False,35.922594,128.598396,team5_pis
ME183067,팔달신시장공영주차장,154-1-000091,풍국면앞,25.3,1000.0,True,4,12,66.67,보통(점유 70%미만),True,35.891895,128.565952,team5_pis
ME183068,범물공영주차장,,,,1000.0,False,,,,,False,,,team5_pis
ME183069,황금2동주민센터 앞 공영주차장,,,,1000.0,False,,,,,False,,,team5_pis
ME183070,블루핸즈 현풍현대서비스,,,,1000.0,False,,,,,False,,,team5_pis
ME183071,계명문화대학교,,,,1000.0,False,,,,,False,,,team5_pis
ME183072,SW융합기술지원센터,,,,1000.0,False,,,,,False,,,team5_pis
ME183077,호텔아젤리아,,,,1000.0,False,,,,,False,,,team5_pis
ME183144,대구환경공단 달성사업소,,,,1000.0,False,,,,,False,,,team5_pis
ME184067,대구시청,150-2-000030,시청광장(부설) 공영주차장,39.8,1000.0,True,66,146,54.79,보통(점유 70%미만),True,35.870887,128.601349,team5_pis
ME184068,두류공원관리소,153-1-000035,대명복개로 (2),477.6,1000.0,True,,,,,False,35.84085,128.564128,team5_pis
ME184069,북구유통단지(EXCO),154-1-000218,유통단지로21길,311.5,1000.0,True,,,,,False,35.909255,128.610903,team5_pis
ME184070,시지근린공원 공영주차장,,,,1000.0,False,,,,,False,,,team5_pis
ME18C147,삼국유사 가온누리,,,,1000.0,False,,,,,False,,,team5_pis
ME18C170,북대구세무서,154-1-000154,북구청2,96.7,1000.0,True,5,14,64.29,보통(점유 70%미만),True,35.887669,128.582525,team5_pis
ME18C171,노원동행정복지센터,154-1-000097,노원로10길(4),33.1,1000.0,True,,,,,False,35.890433,128.575693,team5_pis
ME18C172,침산3동행정복지센터,154-1-000165,성북로13길,105.8,1000.0,True,,,,,False,35.892416,128.590475,team5_pis
ME18C173,침산공원,154-1-000198,오봉로22길,220.9,1000.0,True,,,,,False,35.896683,128.581928,team5_pis
ME18C174,서구 문화회관,152-2-000027,서구청소년수련관,178.4,1000.0,True,,,,,False,35.873778,128.54585,team5_pis
ME18C175,대명1동 행정복지센터,153-2-000041,임시 공영주차장(공한지),99.1,1000.0,True,,,,,False,35.842185,128.572953,team5_pis
ME18C176,도원동마을공영주차장,,,,1000.0,False,,,,,False,,,team5_pis
ME18C177,낙동강 레포츠밸리,,,,1000.0,False,,,,,False,,,team5_pis
ME18C178,안심2동 공영주차장,151-2-000014,안심 2동 공영주차장,18.1,1000.0,True,,,,,False,35.875465,128.686723,team5_pis
ME18C229,군위(춘천) 휴게소,,,,1000.0,False,,,,,False,,,team5_pis
ME18C230,군위국민체육센터 주차장,150-3-000001,군위군보건소 주차장,929.3,1000.0,True,,,,,False,36.229147961,128.569452693,team5_pis
ME18C251,삼국유사 군위(서울) 휴게소,,,,1000.0,False,,,,,False,,,team5_pis
ME18C254,대구 문화예술회관,153-2-000020,바다맛길 공영주차장,436.5,1000.0,True,,,,,False,35.840405,128.560426,team5_pis
ME18C255,달서별빛캠프 캠핑장,153-2-000059,임시 공영주차장(공한지),955.6,1000.0,True,,,,,False,35.831702,128.56159,team5_pis
ME18C257,논공(대구) 휴게소,,,,1000.0,False,,,,,False,,,team5_pis
ME18C258,해안동 공영주차장,154-1-000198,오봉로22길,219.0,1000.0,True,,,,,False,35.896683,128.581928,team5_pis
ME18C259,율암동 공영주차장,151-2-000012,율암동 공영주차장,8.3,1000.0,True,,,,,False,35.879976,128.70133,team5_pis
ME18C260,연암공원,154-1-000157,산격로19길,124.0,1000.0,True,,,,,False,35.899639,128.60581,team5_pis
ME18C261,중앙119 구조본부,,,,1000.0,False,,,,,False,,,team5_pis
ME18C262,비슬산 숲속 캠핑장,,,,1000.0,False,,,,,False,,,team5_pis
ME18C263,달성문화원,,,,1000.0,False,,,,,False,,,team5_pis
ME18C264,북구구민 운동장,,,,1000.0,False,,,,,False,,,team5_pis
ME18C265,서재문화체육센터,,,,1000.0,False,,,,,False,,,team5_pis
ME18C405,대구광역시청 별관,154-1-000158,산격로1길,180.4,1000.0,True,,,,,False,35.89166,128.60283,team5_pis
ME19C130,소보면사무소 주차장,,,,1000.0,False,,,,,False,,,team5_pis
ME19C143,달성군 보건소,,,,1000.0,False,,,,,False,,,team5_pis
ME19C227,현풍백년도깨비시장 공영주차장,,,,1000.0,False,,,,,False,,,team5_pis
ME19C289,군위군 종합운동장,,,,1000.0,False,,,,,False,,,team5_pis
ME19C403,칠곡3지구 공영주차장,,,,1000.0,False,,,,,False,,,team5_pis
ME19C404,무학산공원,,,,1000.0,False,,,,,False,,,team5_pis
ME19D114,장군졸음쉼터,,,,1000.0,False,,,,,False,,,team5_pis
ME19D216,관사정문 주차장,,,,1000.0,False,,,,,False,,,team5_pis
ME19E138,우보면사무소 주차장,,,,1000.0,False,,,,,False,,,team5_pis
ME19E139,장곡휴양림 주차장,,,,1000.0,False,,,,,False,,,team5_pis
ME19E161,범어2동 행정복지센터,151-1-000026,동부로30길 (1),652.0,1000.0,True,,,,,False,35.867534,128.628687,team5_pis
ME19E215,월광수변공원,,,,1000.0,False,,,,,False,,,team5_pis
ME19E216,달성군청,,,,1000.0,False,,,,,False,,,team5_pis
ME19E217,수성생활체육공원,,,,1000.0,False,,,,,False,,,team5_pis
ME19F260,아미산 주차장,,,,1000.0,False,,,,,False,,,team5_pis
ME19F410,위천수변 테마공원,,,,1000.0,False,,,,,False,,,team5_pis
ME19F412,물산업클러스터,,,,1000.0,False,,,,,False,,,team5_pis
ME19W401,국가물산업클러스터 주차장,,,,1000.0,False,,,,,False,,,team5_pis
ME19X404,대구스타디움 주차장,,,,1000.0,False,,,,,False,,,team5_pis
ME19X405,대구 동촌유원지 서편주차장,151-2-000004,동촌유원지 2 공영주차장,64.5,1000.0,True,0,230,100.0,만차(점유 90%초과),True,35.879949,128.649541,team5_pis
ME19X413,도림사 주차장,,,,1000.0,False,,,,,False,,,team5_pis
ME19X430,대구봉무공원 주차장,151-2-000028,봉무공원 제1주차장,70.5,1000.0,True,,,,,False,35.920759,128.646559,team5_pis
ME19Y406,롯데렌탈 대구지점,151-1-000101,아양로22길 (2),213.7,1000.0,True,,,,,False,35.882026,128.627218,team5_pis
ME19Z223,이마트 성서점,,,,1000.0,False,,,,,False,,,team5_pis
ME20C182,두류1·2동1공영주차장,153-2-000021,대명시장 공영주차장,681.8,1000.0,True,,,,,False,35.858242,128.576501,team5_pis
ME20C183,서남시장공영주차장,152-2-000001,내당4동 공영주차장,327.1,1000.0,True,,,,,False,35.856872,128.54581,team5_pis
ME20C184,송현주공시장 공영주차장,,,,1000.0,False,,,,,False,,,team5_pis
ME20C185,한국산업인력공단 대구지역본부,,,,1000.0,False,,,,,False,,,team5_pis
ME20C186,논공읍행정복지센터,,,,1000.0,False,,,,,False,,,team5_pis
ME20C187,달성군보건소,,,,1000.0,False,,,,,False,,,team5_pis
ME20C188,신암3동행정복지센터,151-2-000048,동대구역 맞이주차장,281.5,1000.0,True,17,56,69.64,보통(점유 70%미만),True,35.879093,128.626274,team5_pis
ME20C189,한국사학진흥재단,151-2-000005,혁신도시 공영주차장,267.4,1000.0,True,83,175,52.57,보통(점유 70%미만),True,35.878961,128.73476,team5_pis
ME20C285,달성습지생태학습관,,,,1000.0,False,,,,,False,,,team5_pis
ME20C286,읍내동 행정복지센터,154-1-000079,관음중앙로33길(1),64.6,1000.0,True,,,,,False,35.946264,128.549824,team5_pis
ME20C287,한국도로공사 북대구영업소,154-1-000164,서변대교아래,333.0,1000.0,True,,,,,False,35.908268,128.585491,team5_pis
ME20C288,한국도로공사 서대구영업소,152-2-000024,달서교하부공영주차장(화물차전용주차장),844.0,1000.0,True,,,,,False,35.880836,128.533862,team5_pis
ME20C304,대구경북첨단의료산업진흥재단,151-2-000036,신서중앙공원 주차장,255.0,1000.0,True,,,,,False,35.880463,128.734154,team5_pis
ME20C414,낙동강물환경연구소,,,,1000.0,False,,,,,False,,,team5_pis
ME20D206,한국산업기술평가관리원,151-2-000005,혁신도시 공영주차장,107.1,1000.0,True,83,175,52.57,보통(점유 70%미만),True,35.878961,128.73476,team5_pis
ME21A140,한국국토정보공사 군위지사,150-3-000001,군위군보건소 주차장,904.7,1000.0,True,,,,,False,36.229147961,128.569452693,team5_pis
ME21A903,논공(대구) 휴게소,,,,1000.0,False,,,,,False,,,team5_pis
ME21A910,논공(광주) 휴게소,,,,1000.0,False,,,,,False,,,team5_pis
ME21B130,대구강북경찰서,,,,1000.0,False,,,,,False,,,team5_pis
ME21B198,대구수성경찰서,,,,1000.0,False,,,,,False,,,team5_pis
ME21B1D2,소방장비관리센터,,,,1000.0,False,,,,,False,,,team5_pis
ME21B262,군위(춘천) 휴게소,,,,1000.0,False,,,,,False,,,team5_pis
ME21B301,한국산업단지공단 대구지역본부,,,,1000.0,False,,,,,False,,,team5_pis
ME21C219,근로복지공단 대구병원,154-1-000138,동암로7길(1),788.0,1000.0,True,,,,,False,35.95174,128.556125,team5_pis
ME21C228,대구성서경찰서,,,,1000.0,False,,,,,False,,,team5_pis
ME21E401,낙동강 물환경연구소,,,,1000.0,False,,,,,False,,,team5_pis
ME22C189,군위경찰서,150-3-000001,군위군보건소 주차장,674.1,1000.0,True,,,,,False,36.229147961,128.569452693,team5_pis
ME22C193,군위군노인복지관,150-3-000001,군위군보건소 주차장,337.1,1000.0,True,,,,,False,36.229147961,128.569452693,team5_pis
ME22C1A1,대구달서경찰서,,,,1000.0,False,,,,,False,,,team5_pis
ME22C1A2,대구재활센터,,,,1000.0,False,,,,,False,,,team5_pis
ME22C1A3,비원노인복지관,152-1-000096,염색공단로 13길,198.7,1000.0,True,,,,,False,35.882906,128.553967,team5_pis
ME22C1A4,달성군종합사회복지관,,,,1000.0,False,,,,,False,,,team5_pis
ME22C250,논공(대구)휴게소(5번국도),,,,1000.0,False,,,,,False,,,team5_pis
ME22C251,대구동부경찰서,151-1-000011,대구동부경찰서 (2),34.2,1000.0,True,,,,,False,35.87369,128.72006,team5_pis
ME22C252,대구남부경찰서,153-1-000107,현충로26길,158.1,1000.0,True,,,,,False,35.843835,128.58479,team5_pis
ME22C253,한국산업인력공단 대구지역본부,,,,1000.0,False,,,,,False,,,team5_pis
ME22D191,복현지구대,154-1-000020,경대로27길(1),36.9,1000.0,True,,,,,False,35.894023,128.617621,team5_pis
ME22D192,대곡파출소,,,,1000.0,False,,,,,False,,,team5_pis
ME22D1C0,강북지구대,,,,1000.0,False,,,,,False,,,team5_pis
ME22D245,군위전통시장 주차타워,,,,1000.0,False,,,,,False,,,team5_pis
ME22D254,화원파출소,,,,1000.0,False,,,,,False,,,team5_pis
ME23A218,대구지방기상청,151-2-000089,동촌유원지 3 공영주차장,164.6,1000.0,True,,,,,False,35.8782969,128.6548199,team5_pis
ME23B113,군위군청,,,,1000.0,False,,,,,False,,,team5_pis
ME23B114,대구광역시교통연수원,,,,1000.0,False,,,,,False,,,team5_pis
ME23B115,남구시니어행복센터,153-2-000020,바다맛길 공영주차장,84.6,1000.0,True,,,,,False,35.840405,128.560426,team5_pis
ME23B186,망우당공원 택시쉼터,151-2-000051,망우당공원 공영주차장(택시 쉼터),12.7,1000.0,True,,,,,False,35.876291,128.656308,team5_pis
ME24A243,대구광역시 군위군청,,,,1000.0,False,,,,,False,,,team5_pis
ME24A244,군위 전투전승기념공원,,,,1000.0,False,,,,,False,,,team5_pis
ME24A248,비슬산관광지 주차장,,,,1000.0,False,,,,,False,,,team5_pis
ME24B142,성서운동장,,,,1000.0,False,,,,,False,,,team5_pis
ME24B143,장기공원 주차장,,,,1000.0,False,,,,,False,,,team5_pis
ME24B144,효령면행정복지센터,,,,1000.0,False,,,,,False,,,team5_pis
ME24B207,대구경북지방중소벤처기업청 청사,,,,1000.0,False,,,,,False,,,team5_pis
ME24B208,한국수자원공사 달성보,,,,1000.0,False,,,,,False,,,team5_pis
ME25C165,군위농산물 푸드유통센터,,,,1000.0,False,,,,,False,,,team5_pis
ME25C166,농기계사업소 동부분소,,,,1000.0,False,,,,,False,,,team5_pis
ME25C167,학산공원 삼거리 주차장,,,,1000.0,False,,,,,False,,,team5_pis
ME25C168,E-share 대구샘기억학교,,,,1000.0,False,,,,,False,,,team5_pis
ME25C169,E-share 덕수복지재단 미소마을,,,,1000.0,False,,,,,False,,,team5_pis
ME25C170,신서혁신도시 나불지 공영주차장 2,151-2-000097,각산동 1071-7 공한지주차장,105.9,1000.0,True,,,,,False,35.880304957,128.718940681,team5_pis
ME25C171,동촌유원지 3 공영주차장 2,151-2-000089,동촌유원지 3 공영주차장,69.8,1000.0,True,,,,,False,35.8782969,128.6548199,team5_pis
ME25C172,E-share 대불노인복지관,154-1-000029,경진로1길,311.4,1000.0,True,,,,,False,35.896073,128.6159,team5_pis
ME25C173,산격4동 공영주차장,154-1-000185,연암공원로28길,86.1,1000.0,True,,,,,False,35.898839,128.605883,team5_pis
ME25C276,전망대주차장,,,,1000.0,False,,,,,False,,,team5_pis
ME25C277,수밭근린공원 주차장,,,,1000.0,False,,,,,False,,,team5_pis
ME25C278,국립대구박물관(북문 주차장) (2),,,,1000.0,False,,,,,False,,,team5_pis
ME25C425,달성군 보건소 주차장,,,,1000.0,False,,,,,False,,,team5_pis
ME25C426,신서혁신도시 나불지 공영주차장 1,151-2-000097,각산동 1071-7 공한지주차장,105.9,1000.0,True,,,,,False,35.880304957,128.718940681,team5_pis
ME25C427,동촌유원지 3 공영주차장 1,151-2-000089,동촌유원지 3 공영주차장,69.8,1000.0,True,,,,,False,35.8782969,128.6548199,team5_pis
ME25C428,국립대구박물관(북문 주차장) (1),,,,1000.0,False,,,,,False,,,team5_pis
AH000019,대구 KC타운,,,,1000.0,False,,,,,False,,,team5_pis
AH000052,대구 산격보성아파트 (대성),154-1-000161,산격보성아파트북측,71.2,1000.0,True,,,,,False,35.900545,128.613422,team5_pis
AH000082,대구 CTR모빌리티,,,,1000.0,False,,,,,False,,,team5_pis
ALAL0013,대영빌딩,151-1-000030,동부로32길 (2),203.4,1000.0,True,,,,,False,35.876655,128.630293,team5_pis
AM900026,대구 동천동 세븐밸리 충전소,154-1-000140,동암로7길(3),559.1,1000.0,True,,,,,False,35.94727,128.555464,team5_pis
AM900047,대구 와이즈빌딩,150-1-000118,달구벌대로414길 노상무료,23.5,1000.0,True,,,,,False,35.865562465,128.589734111,team5_pis
AM900048,대구 와이즈빌딩 급속충전소,150-1-000118,달구벌대로414길 노상무료,23.5,1000.0,True,,,,,False,35.865562465,128.589734111,team5_pis
AZ100007,이고,154-1-000095,노원로10길(2),275.7,1000.0,True,,,,,False,35.891288,128.572121,team5_pis
AZ100013,대청초등학교,,,,1000.0,False,,,,,False,,,team5_pis
AZ100014,밴앤포스,151-2-000094,신천동 835-1 공한지주차장,66.1,1000.0,True,,,,,False,35.869097685,128.61753834,team5_pis
AZ100017,대구세강병원,150-1-000171,대명천로(2),231.9,1000.0,True,,,,,False,35.838174,128.553587,team5_pis
AZ100019,지피에스,152-1-000098,염색공단로 5길,67.9,1000.0,True,,,,,False,35.888055,128.553772,team5_pis
AZ100020,올인워크,151-1-000026,동부로30길 (1),86.9,1000.0,True,,,,,False,35.867534,128.628687,team5_pis
AZ100021,KB차차차 동대구,151-1-000116,안심로59길 (1),178.6,1000.0,True,,,,,False,35.870954,128.718149,team5_pis
AZ100022,모빌리티기술혁신센터,,,,1000.0,False,,,,,False,,,team5_pis
