statId,statNm,matched_id,matched_name,distance_m,radius_m,matched
ME178137,군위영천휴게소(하행),,,,1000,False
ME181302,대구지방합동청사,,,,1000,False
ME181303,㈜정방,,,,1000,False
ME183050,대구보건환경연구원,,,,1000,False
ME183053,달서구 청소년수련관공영주차장,,,,1000,False
ME183054,구지면사무소,,,,1000,False
ME183055,수태골 공영주차장,,,,1000,False
ME183056,낙동강승전기념관,2751285,충혼탑,693.2,1000,True
ME183057,이곡2동주민센터,,,,1000,False
ME183058,신암5동주민센터,2366456,아양기찻길,514.2,1000,True
ME183059,복현2동주민센터,2687748,복현오거리 먹자골목,968.8,1000,True
ME183060,대구환경공단 신천사업소,,,,1000,False
ME183061,만촌1동주민센터,,,,1000,False
ME183062,호산공영주차장,,,,1000,False
ME183063,용산역환승주차장,,,,1000,False
ME183064,서촌공영주차장,,,,1000,False
ME183065,웃는얼굴 아트센터,,,,1000,False
ME183066,서변2공영주차장,,,,1000,False
ME183067,팔달신시장공영주차장,,,,1000,False
ME183068,범물공영주차장,,,,1000,False
ME183069,황금2동주민센터 앞 공영주차장,2742469,대구어린이대공원,601.9,1000,True
ME183070,블루핸즈 현풍현대서비스,,,,1000,False
ME183071,계명문화대학교,,,,1000,False
ME183072,SW융합기술지원센터,,,,1000,False
ME183077,호텔아젤리아,,,,1000,False
ME183144,대구환경공단 달성사업소,,,,1000,False
ME184067,대구시청,1960611,동인동 찜갈비 골목,319.6,1000,True
ME184068,두류공원관리소,2751543,성당못,45.5,1000,True
ME184069,북구유통단지(EXCO),,,,1000,False
ME184070,시지근린공원 공영주차장,,,,1000,False
ME18C147,삼국유사 가온누리,,,,1000,False
ME18C170,북대구세무서,2770591,오봉오감,541.9,1000,True
ME18C171,노원동행정복지센터,2770591,오봉오감,574.3,1000,True
ME18C172,침산3동행정복지센터,2744465,침산공원,474.7,1000,True
ME18C173,침산공원,2744465,침산공원,169.0,1000,True
ME18C174,서구 문화회관,,,,1000,False
ME18C175,대명1동 행정복지센터,998882,안지랑 곱창골목,525.4,1000,True
ME18C176,도원동마을공영주차장,,,,1000,False
ME18C177,낙동강 레포츠밸리,,,,1000,False
ME18C178,안심2동 공영주차장,,,,1000,False
ME18C229,군위(춘천) 휴게소,,,,1000,False
ME18C230,군위국민체육센터 주차장,,,,1000,False
ME18C251,삼국유사 군위(서울) 휴게소,,,,1000,False
ME18C254,대구 문화예술회관,2751543,성당못,187.4,1000,True
ME18C255,달서별빛캠프 캠핑장,,,,1000,False
ME18C257,논공(대구) 휴게소,,,,1000,False
ME18C258,해안동 공영주차장,2744465,침산공원,172.0,1000,True
ME18C259,율암동 공영주차장,,,,1000,False
ME18C260,연암공원,2770621,향사례 대구시민단,358.1,1000,True
ME18C261,중앙119 구조본부,,,,1000,False
ME18C262,비슬산 숲속 캠핑장,,,,1000,False
ME18C263,달성문화원,,,,1000,False
ME18C264,북구구민 운동장,,,,1000,False
ME18C265,서재문화체육센터,,,,1000,False
ME18C405,대구광역시청 별관,2770621,향사례 대구시민단,789.3,1000,True
ME19C130,소보면사무소 주차장,,,,1000,False
ME19C143,달성군 보건소,,,,1000,False
ME19C227,현풍백년도깨비시장 공영주차장,,,,1000,False
ME19C289,군위군 종합운동장,,,,1000,False
ME19C403,칠곡3지구 공영주차장,,,,1000,False
ME19C404,무학산공원,,,,1000,False
ME19D114,장군졸음쉼터,,,,1000,False
ME19D216,관사정문 주차장,,,,1000,False
ME19E138,우보면사무소 주차장,,,,1000,False
ME19E139,장곡휴양림 주차장,,,,1000,False
ME19E161,범어2동 행정복지센터,,,,1000,False
ME19E215,월광수변공원,,,,1000,False
ME19E216,달성군청,,,,1000,False
ME19E217,수성생활체육공원,,,,1000,False
ME19F260,아미산 주차장,,,,1000,False
