statId,statNm,matched_id,matched_name,distance_m,radius_m,matched,traffic_source
ME178137,군위영천휴게소(하행),,,,1000,False,utic
ME181302,대구지방합동청사,,,,1000,False,utic
ME181303,㈜정방,,,,1000,False,utic
ME183050,대구보건환경연구원,,,,1000,False,utic
ME183053,달서구 청소년수련관공영주차장,,,,1000,False,utic
ME183054,구지면사무소,,,,1000,False,utic
ME183055,수태골 공영주차장,,,,1000,False,utic
ME183056,낙동강승전기념관,,,,1000,False,utic
ME183057,이곡2동주민센터,L93171039525,[공사] 성서동로 가야유치원 에서 이곡동1255 방향 1차로 도로공사 주의운전,919.7,1000,True,utic
ME183058,신암5동주민센터,,,,1000,False,utic
ME183059,복현2동주민센터,,,,1000,False,utic
ME183060,대구환경공단 신천사업소,,,,1000,False,utic
ME183061,만촌1동주민센터,L93171007174,[공사] 달구벌대로 만촌네거리 에서 남부빌딩 방향 1차로 지하 시설 작업 주의운전,892.5,1000,True,utic
ME183062,호산공영주차장,,,,1000,False,utic
ME183063,용산역환승주차장,,,,1000,False,utic
ME183064,서촌공영주차장,,,,1000,False,utic
ME183065,웃는얼굴 아트센터,,,,1000,False,utic
ME183066,서변2공영주차장,,,,1000,False,utic
ME183067,팔달신시장공영주차장,,,,1000,False,utic
ME183068,범물공영주차장,,,,1000,False,utic
ME183069,황금2동주민센터 앞 공영주차장,,,,1000,False,utic
ME183070,블루핸즈 현풍현대서비스,,,,1000,False,utic
ME183071,계명문화대학교,,,,1000,False,utic
ME183072,SW융합기술지원센터,,,,1000,False,utic
ME183077,호텔아젤리아,,,,1000,False,utic
ME183144,대구환경공단 달성사업소,,,,1000,False,utic
ME184067,대구시청,,,,1000,False,utic
ME184068,두류공원관리소,,,,1000,False,utic
ME184069,북구유통단지(EXCO),,,,1000,False,utic
ME184070,시지근린공원 공영주차장,,,,1000,False,utic
ME18C147,삼국유사 가온누리,,,,1000,False,utic
ME18C170,북대구세무서,L93171040039,[공사] 성북로 침산초등학교앞 교차로 에서 침산동4767 방향 1차로 도로공사 주의운전,522.8,1000,True,utic
ME18C171,노원동행정복지센터,,,,1000,False,utic
ME18C172,침산3동행정복지센터,L93171040039,[공사] 성북로 침산초등학교앞 교차로 에서 침산동4767 방향 1차로 도로공사 주의운전,170.4,1000,True,utic
ME18C173,침산공원,L93171040039,[공사] 성북로 침산초등학교앞 교차로 에서 침산동4767 방향 1차로 도로공사 주의운전,615.6,1000,True,utic
ME18C174,서구 문화회관,,,,1000,False,utic
ME18C175,대명1동 행정복지센터,,,,1000,False,utic
ME18C176,도원동마을공영주차장,,,,1000,False,utic
ME18C177,낙동강 레포츠밸리,,,,1000,False,utic
ME18C178,안심2동 공영주차장,,,,1000,False,utic
ME18C229,군위(춘천) 휴게소,,,,1000,False,utic
ME18C230,군위국민체육센터 주차장,,,,1000,False,utic
ME18C251,삼국유사 군위(서울) 휴게소,,,,1000,False,utic
ME18C254,대구 문화예술회관,,,,1000,False,utic
ME18C255,달서별빛캠프 캠핑장,,,,1000,False,utic
ME18C257,논공(대구) 휴게소,,,,1000,False,utic
ME18C258,해안동 공영주차장,L93171040039,[공사] 성북로 침산초등학교앞 교차로 에서 침산동4767 방향 1차로 도로공사 주의운전,628.9,1000,True,utic
ME18C259,율암동 공영주차장,,,,1000,False,utic
ME18C260,연암공원,,,,1000,False,utic
ME18C261,중앙119 구조본부,,,,1000,False,utic
ME18C262,비슬산 숲속 캠핑장,,,,1000,False,utic
ME18C263,달성문화원,,,,1000,False,utic
ME18C264,북구구민 운동장,,,,1000,False,utic
ME18C265,서재문화체육센터,,,,1000,False,utic
ME18C405,대구광역시청 별관,,,,1000,False,utic
ME19C130,소보면사무소 주차장,,,,1000,False,utic
ME19C143,달성군 보건소,,,,1000,False,utic
ME19C227,현풍백년도깨비시장 공영주차장,,,,1000,False,utic
ME19C289,군위군 종합운동장,,,,1000,False,utic
ME19C403,칠곡3지구 공영주차장,,,,1000,False,utic
ME19C404,무학산공원,,,,1000,False,utic
ME19D114,장군졸음쉼터,,,,1000,False,utic
ME19D216,관사정문 주차장,,,,1000,False,utic
ME19E138,우보면사무소 주차장,,,,1000,False,utic
ME19E139,장곡휴양림 주차장,,,,1000,False,utic
ME19E161,범어2동 행정복지센터,,,,1000,False,utic
ME19E215,월광수변공원,,,,1000,False,utic
ME19E216,달성군청,,,,1000,False,utic
ME19E217,수성생활체육공원,,,,1000,False,utic
ME19F260,아미산 주차장,,,,1000,False,utic
ME19F410,위천수변 테마공원,,,,1000,False,utic
ME19F412,물산업클러스터,,,,1000,False,utic
ME19W401,국가물산업클러스터 주차장,,,,1000,False,utic
ME19X404,대구스타디움 주차장,,,,1000,False,utic
ME19X405,대구 동촌유원지 서편주차장,,,,1000,False,utic
ME19X413,도림사 주차장,,,,1000,False,utic
ME19X430,대구봉무공원 주차장,,,,1000,False,utic
ME19Y406,롯데렌탈 대구지점,L93171022991,[공사] 동부로 동대구역네거리 에서 금호천일고속버스터미널 방향 4차로 지하 시설 작업 주의운전,521.9,1000,True,utic
ME19Z223,이마트 성서점,L93171039525,[공사] 성서동로 가야유치원 에서 이곡동1255 방향 1차로 도로공사 주의운전,58.5,1000,True,utic
ME20C182,두류1·2동1공영주차장,,,,1000,False,utic
ME20C183,서남시장공영주차장,,,,1000,False,utic
ME20C184,송현주공시장 공영주차장,,,,1000,False,utic
ME20C185,한국산업인력공단 대구지역본부,,,,1000,False,utic
ME20C186,논공읍행정복지센터,,,,1000,False,utic
ME20C187,달성군보건소,,,,1000,False,utic
ME20C188,신암3동행정복지센터,L93171022991,[공사] 동부로 동대구역네거리 에서 금호천일고속버스터미널 방향 4차로 지하 시설 작업 주의운전,491.8,1000,True,utic
ME20C189,한국사학진흥재단,,,,1000,False,utic
ME20C285,달성습지생태학습관,,,,1000,False,utic
ME20C286,읍내동 행정복지센터,,,,1000,False,utic
ME20C287,한국도로공사 북대구영업소,,,,1000,False,utic
ME20C288,한국도로공사 서대구영업소,,,,1000,False,utic
ME20C304,대구경북첨단의료산업진흥재단,,,,1000,False,utic
ME20C414,낙동강물환경연구소,,,,1000,False,utic
ME20D206,한국산업기술평가관리원,,,,1000,False,utic
ME21A140,한국국토정보공사 군위지사,,,,1000,False,utic
ME21A903,논공(대구) 휴게소,,,,1000,False,utic
ME21A910,논공(광주) 휴게소,,,,1000,False,utic
ME21B130,대구강북경찰서,,,,1000,False,utic
ME21B198,대구수성경찰서,,,,1000,False,utic
ME21B1D2,소방장비관리센터,,,,1000,False,utic
ME21B262,군위(춘천) 휴게소,,,,1000,False,utic
ME21B301,한국산업단지공단 대구지역본부,,,,1000,False,utic
ME21C219,근로복지공단 대구병원,,,,1000,False,utic
ME21C228,대구성서경찰서,L93171039525,[공사] 성서동로 가야유치원 에서 이곡동1255 방향 1차로 도로공사 주의운전,120.0,1000,True,utic
ME21E401,낙동강 물환경연구소,,,,1000,False,utic
ME22C189,군위경찰서,,,,1000,False,utic
ME22C193,군위군노인복지관,,,,1000,False,utic
ME22C1A1,대구달서경찰서,,,,1000,False,utic
ME22C1A2,대구재활센터,,,,1000,False,utic
ME22C1A3,비원노인복지관,,,,1000,False,utic
ME22C1A4,달성군종합사회복지관,,,,1000,False,utic
ME22C250,논공(대구)휴게소(5번국도),,,,1000,False,utic
ME22C251,대구동부경찰서,,,,1000,False,utic
ME22C252,대구남부경찰서,,,,1000,False,utic
ME22C253,한국산업인력공단 대구지역본부,,,,1000,False,utic
ME22D191,복현지구대,,,,1000,False,utic
ME22D192,대곡파출소,,,,1000,False,utic
ME22D1C0,강북지구대,,,,1000,False,utic
ME22D245,군위전통시장 주차타워,,,,1000,False,utic
ME22D254,화원파출소,,,,1000,False,utic
ME23A218,대구지방기상청,,,,1000,False,utic
ME23B113,군위군청,,,,1000,False,utic
ME23B114,대구광역시교통연수원,,,,1000,False,utic
ME23B115,남구시니어행복센터,,,,1000,False,utic
ME23B186,망우당공원 택시쉼터,,,,1000,False,utic
ME24A243,대구광역시 군위군청,,,,1000,False,utic
ME24A244,군위 전투전승기념공원,,,,1000,False,utic
ME24A248,비슬산관광지 주차장,,,,1000,False,utic
