station_id_daegu,station_name_daegu,lat,lng,statId,statNm,distance_m,radius_m,matched
BGAN0001,(RS)대구시_중동행정복지센터,35.847336,128.615076,CV003569,대구시_중동행정복지센터,0.0,80.0,True
BSDH0001,(RS)대구시_만촌2동행정복지센터,35.859862,128.647212,CV003463,대구시_만촌2동행정복지센터,0.0,80.0,True
DAGD0001,(RS)대구시_대구공공시설관리공단 동부사업소,35.829366,128.620576,CV003181,대구시_대구공공시설관리공단 동부사업소,0.0,80.0,True
DAGU0001,(RS)대구시_복현장미공원,35.893358,128.617298,CV003068,대구시_복현장미공원,0.0,80.0,True
DAGU0002,(RS)대구시_상중이동 행정복지센터,35.866972,128.54611,CV003107,대구시_상중이동행정복지센터,0.0,80.0,True
DAGU0003,(RS)대구시_한국산업단지공단달성사무소,35.640941,128.419429,CV003080,대구시_한국산업단지공단달성사무소,0.0,80.0,True
DAGU0004,(RS)대구시_대구테크노파크 동대구캠퍼스 2동,35.87325,128.624797,CV003131,대구시_대구테크노파크 동대구캠퍼스 2동,0.0,80.0,True
DAGU0005,(RS)대구시_대구공공시설관리공단달서천사업소,35.885914,128.539805,CV003074,대구시_대구공공시설관리공단달서천사업소,0.0,80.0,True
DAGU0006,(RS)대구시_대구공공시설관리공단서부사업소,35.822699,128.49692,,,,80.0,False
DAGU0007,(RS)대구시_두류공원1공영주차장,35.84443236,128.5621563,CV003119,대구시_두류공원1공영주차장,0.0,80.0,True
DAGU0008,(RS)대구시_봉덕2동행정복지센터,35.891997,128.602271,,,,80.0,False
DAGU0009,(RS)대구시_갓바위공영5주차장,35.96943219,128.7260785,CV002393,갓바위2공영주차장,36.2,80.0,True
DAGU0010,(RS)대구시_논공읍공단출장소,35.72978408,128.452961,CV003145,대구시_논공읍공단출장소,32.7,80.0,True
DAGU0011,(RS)대구시_동대구복합환승센터,35.877943,128.629186,,,,80.0,False
DAGU0012,(RS)대구시_두류 1.2동 행정복지센터,35.8578717,128.5672597,CV003121,대구시_두류 12동 행정복지센터,10.4,80.0,True
DAGU0013,(RS)대구시_서구국민체육센터,35.87394435,128.540598,CV003106,대구시_서구국민체육센터,69.0,80.0,True
DAGU0014,(RS)대구시_도원동 행정복지센터,35.807479,128.532195,CV003125,대구시_도원동 행정복지센터,0.0,80.0,True
DAGU0015,(RS)대구시_이천동행정복지센터,35.853696,128.599411,CV003086,대구시_이천동행정복지센터,0.0,80.0,True
DAGU0016,(RS)대구시_대명9동 행정복지센터,35.837225,128.579385,CV003127,대구시_대명9동 행정복지센터,0.0,80.0,True
DAGU0017,(RS)대구시_첨단의료산업진흥재단,35.87824584,128.7367607,PI764330,대구경북첨단의료산업진흥재단,72.0,80.0,True
DAGU0018,(RS)대구시_대구공공시설관리공단 상리사업소,35.88506389,128.5313205,CV003139,대구시_대구공공시설관리공단 상리사업소,74.8,80.0,True
DAGU0019,(RS)대구시_충혼탑,35.832254,128.583746,,,,80.0,False
DAGU0020,(RS)대구시_펙스코 패션디자인개발지원센터,35.906135,128.611743,HM710121,펙스코 패션디자인 개발지원센터,5.0,80.0,True
DAGU0021,(25년10월까지임시중단)(RS)대구시_대구환경공단 안심관리소,35.8685421,128.680893,CV003130,(임시운영중지)대구시_대구환경공단 안심관리소,75.6,80.0,True
DAGU0022,(RS)대구시_상인1동행정복지센터,35.8141712,128.5447635,CV003110,대구시_상인1동행정복지센터,23.2,80.0,True
DAGU0023,(RS)대구시_상인2동행정복지센터,35.812561,128.53625,CV003109,대구시_상인2동행정복지센터,0.0,80.0,True
DAGU0024,(RS)대구시_서부법원 노상주차장,35.85184563,128.526426,CV003104,대구시_서부법원 노상주차장,0.0,80.0,True
DAGU0025,(RS)대구시_성당동행정복지센터,35.840614,128.553137,CV003103,대구시_성당동행정복지센터,0.0,80.0,True
DAGU0027,(RS)대구시_신암공원,35.8880275,128.6224041,CV003098,대구시_신암공원,50.8,80.0,True
DAGU0028,(RS)대구시_아양아트센터,35.87943231,128.6526455,PW013969,아양아트센터,65.5,80.0,True
DAGU0029,(RS)대구시_송현1동행정복지센터,35.829226,128.554748,CV003099,대구시_송현1동행정복지센터,0.0,80.0,True
DAGU0030,(RS)대구시_도시관리본부,35.83470342,128.4886068,HE240346,한국에너지공단 대구경북지역본부,63.8,80.0,True
DAGU0031,(RS)대구시_용산1동행정복지센터,35.8565399,128.5313137,CV003093,대구시_용산1동행정복지센터,16.4,80.0,True
DAGU0032,(RS)대구시_월성1동행정복지센터,35.819505,128.522835,CV003090,대구시_월성1동행정복지센터,0.0,80.0,True
DAGU0033,(RS)대구시_월성2동행정복지센터,35.830948,128.528279,CV003089,대구시_월성2동행정복지센터,0.0,80.0,True
DAGU0034,(RS)대구시_송현1동2공영주차장,35.8255633,128.5537149,CV003100,대구시_송현1동2공영주차장,17.9,80.0,True
DAGU0035,(RS)대구시_가창면행정복지센터,35.80244769,128.6226181,CV003150,대구시_가창면행정복지센터,33.9,80.0,True
DAGU0036,(RS)대구시_논공읍 행정복지센터,35.77404812,128.4202327,CV003146,대구시_논공읍 행정복지센터,25.5,80.0,True
DAGU0037,(RS)대구시_다사읍 행정복지센터 서재출장소,35.872221,128.494253,CV003143,대구시_다사읍 행정복지센터 서재출장소,0.0,80.0,True
DAGU0038,(RS)대구시_현풍읍행정복지센터,35.69724,128.447565,CV003078,대구시_현풍읍행정복지센터,0.0,80.0,True
DAGU0039,(RS)대구시_불로봉무동행정복지센터,35.910245,128.639324,,,,80.0,False
DAGU0040,(RS)대구시_대구은행 본리동지점,35.836892,128.547416,CV003070,대구시_대구은행 본리동지점,0.0,80.0,True
DAGU0041,(RS)대구시_대덕승마장,35.821699,128.554387,CV003129,대구시_대덕승마장,0.0,80.0,True
DAGU0042,(RS)대구시_용산2동행정복지센터,35.858445,128.523001,CV003092,대구시_용산2동행정복지센터,0.0,80.0,True
DAGU0043,(RS)대구시_진천동 행정복지센터,35.812228,128.522807,CV003084,대구시_진천동행정복지센터,30.7,80.0,True
DAGU0044,(RS)대구시_대구차량등록사업소 서부분소,35.853307,128.507863,CV003132,대구시_대구차량등록사업소 서부분소,0.0,80.0,True
DAGU0046,(RS)대구시_달성군농업기술센터,35.782703,128.446786,CV003142,대구시_달성군농업기술센터,0.0,80.0,True
DAGU0047,(RS)대구시_달성문화센터,35.865472,128.460951,CV003140,대구시_달성문화센터,0.0,80.0,True
DAGU0048,(RS)대구시_비슬산자연휴양림공영주차장,35.693297,128.505754,ME183077,호텔아젤리아,62.0,80.0,True
DAGU0050,(RS)대구시_동촌유원지,35.882332,128.650712,,,,80.0,False
