statId,statNm,matched_id,matched_name,distance_m,radius_m,matched
ME178137,군위영천휴게소(하행),,,,1000,False
ME181302,대구지방합동청사,,,,1000,False
ME181303,㈜정방,,,,1000,False
ME183050,대구보건환경연구원,27260-00083,무학산공원,804.8,1000,True
ME183053,달서구 청소년수련관공영주차장,,,,1000,False
ME183054,구지면사무소,,,,1000,False
ME183055,수태골 공영주차장,,,,1000,False
ME183056,낙동강승전기념관,27200-00029,앞산공원,92.7,1000,True
ME183057,이곡2동주민센터,27290-00017,와룡(아래)공원,89.0,1000,True
ME183058,신암5동주민센터,27140-00043,대구선아양공원,554.4,1000,True
ME183059,복현2동주민센터,27140-00001,신암공원,670.6,1000,True
ME183060,대구환경공단 신천사업소,,,,1000,False
ME183061,만촌1동주민센터,27260-00074,화랑공원,517.0,1000,True
ME183062,호산공영주차장,,,,1000,False
ME183063,용산역환승주차장,27290-00019,용산공원,809.9,1000,True
ME183064,서촌공영주차장,27290-00014,선원공원,383.5,1000,True
ME183065,웃는얼굴 아트센터,27290-00032,장기공원,303.6,1000,True
ME183066,서변2공영주차장,27230-00010,서변공원,275.7,1000,True
ME183067,팔달신시장공영주차장,,,,1000,False
ME183068,범물공영주차장,27260-00077,범물공원,87.1,1000,True
ME183069,황금2동주민센터 앞 공영주차장,27260-00083,무학산공원,781.9,1000,True
ME183070,블루핸즈 현풍현대서비스,,,,1000,False
ME183071,계명문화대학교,27290-00009,배실공원,814.6,1000,True
ME183072,SW융합기술지원센터,27260-00086,의료2공원,94.3,1000,True
ME183077,호텔아젤리아,,,,1000,False
ME183144,대구환경공단 달성사업소,,,,1000,False
ME184067,대구시청,27110-00004,국채보상운동기념공원,222.5,1000,True
ME184068,두류공원관리소,27290-00179,두류공원,433.0,1000,True
ME184069,북구유통단지(EXCO),27230-00007,신기공원,402.1,1000,True
ME184070,시지근린공원 공영주차장,27260-00080,매호공원,440.2,1000,True
ME18C147,삼국유사 가온누리,,,,1000,False
ME18C170,북대구세무서,27230-00001,침산공원,724.0,1000,True
ME18C171,노원동행정복지센터,27230-00001,침산공원,984.7,1000,True
ME18C172,침산3동행정복지센터,27230-00001,침산공원,439.7,1000,True
ME18C173,침산공원,27230-00001,침산공원,193.2,1000,True
ME18C174,서구 문화회관,27170-00001,이현공원,207.5,1000,True
ME18C175,대명1동 행정복지센터,27200-00002,대명2공원,981.1,1000,True
ME18C176,도원동마을공영주차장,27290-00006,도원공원,372.8,1000,True
ME18C177,낙동강 레포츠밸리,,,,1000,False
ME18C178,안심2동 공영주차장,27140-00017,돈지봉공원,876.1,1000,True
ME18C229,군위(춘천) 휴게소,,,,1000,False
ME18C230,군위국민체육센터 주차장,,,,1000,False
ME18C251,삼국유사 군위(서울) 휴게소,,,,1000,False
ME18C254,대구 문화예술회관,27290-00179,두류공원,414.7,1000,True
ME18C255,달서별빛캠프 캠핑장,27290-00015,송현공원,930.8,1000,True
ME18C257,논공(대구) 휴게소,,,,1000,False
ME18C258,해안동 공영주차장,27230-00001,침산공원,204.0,1000,True
ME18C259,율암동 공영주차장,27140-00017,돈지봉공원,524.2,1000,True
ME18C260,연암공원,27230-00002,연암공원,365.6,1000,True
ME18C261,중앙119 구조본부,,,,1000,False
ME18C262,비슬산 숲속 캠핑장,,,,1000,False
ME18C263,달성문화원,,,,1000,False
ME18C264,북구구민 운동장,27230-00095,옻골공원,375.2,1000,True
ME18C265,서재문화체육센터,27710-00061,서재체육공원,144.0,1000,True
ME18C405,대구광역시청 별관,27230-00002,연암공원,974.3,1000,True
ME19C130,소보면사무소 주차장,,,,1000,False
ME19C143,달성군 보건소,,,,1000,False
ME19C227,현풍백년도깨비시장 공영주차장,,,,1000,False
ME19C289,군위군 종합운동장,,,,1000,False
