statId,parking_matched_id,parking_remaining_std_1h,parking_remaining_delta_1h,parking_realtime_ticks_1h
ME181302,156-1-000028,,,
ME183050,155-1-000018,,,
ME183053,156-2-000039,,,
ME183054,157-1-000127,,,
ME183056,153-2-000009,1.0690449676496991,-2.0,7.0
ME183057,156-2-000067,1.1248582677159733,1.0,7.0
ME183058,151-1-000009,,,
ME183059,154-1-000136,,,
ME183060,154-1-000219,,,
ME183061,155-1-000009,,,
ME183062,156-2-000084,7.60504665954638,-22.0,7.0
ME183063,156-2-000071,2.2946254863155757,-6.0,7.0
ME183064,156-2-000055,0.7559289460184554,2.0,7.0
ME183065,156-2-000070,,,
ME183066,154-2-000033,3.653346243584124,9.0,7.0
ME183067,154-1-000091,0.34992710611188266,-1.0,7.0
ME183068,155-1-000094,,,
ME183069,155-2-000041,,,
ME183071,156-1-000040,,,
ME183072,155-1-000143,,,
ME184067,150-2-000030,21.671951213210015,-62.0,7.0
ME184068,153-1-000035,,,
ME184069,154-2-000055,0.34992710611188255,0.0,7.0
ME184070,155-2-000059,9.559694299612351,-26.0,7.0
ME18C147,361-1-000009,,,
ME18C170,154-1-000154,0.49487165930539406,-1.0,7.0
ME18C171,154-1-000097,,,
ME18C172,154-1-000165,,,
ME18C173,154-1-000198,,,
ME18C174,152-2-000027,,,
ME18C175,153-2-000041,,,
ME18C176,156-2-000012,,,
ME18C178,151-2-000014,,,
ME18C230,361-3-000003,,,
ME18C254,153-2-000020,,,
ME18C255,156-2-000051,,,
ME18C258,154-1-000198,,,
ME18C259,151-2-000012,,,
ME18C260,154-1-000157,,,
ME18C263,157-1-000100,,,
ME18C405,154-1-000158,,,
ME19C143,157-1-000136,,,
ME19C227,157-1-000135,,,
ME19C289,361-2-000012,,,
ME19C404,155-2-000045,1.6659862556700857,4.0,7.0
ME19E138,361-2-000024,,,
ME19E161,155-1-000033,,,
ME19E215,156-2-000012,,,
ME19E216,157-1-000007,,,
ME19E217,155-2-000052,,,
ME19F260,361-2-000032,,,
ME19W401,157-1-000002,,,
ME19X404,155-1-000144,,,
ME19X405,151-2-000004,0.0,0.0,7.0
ME19X430,151-2-000028,,,
ME19Y406,151-1-000101,,,
ME19Z223,156-1-000065,,,
ME20C182,156-2-000018,,,
ME20C183,156-2-000002,,,
ME20C184,156-2-000044,,,
ME20C185,156-1-000067,,,
ME20C187,157-1-000136,,,
ME20C188,151-2-000048,2.498979383505127,-8.0,7.0
ME20C189,151-2-000005,1.1605769149479936,0.0,7.0
ME20C286,154-1-000079,,,
ME20C287,154-1-000164,,,
ME20C288,152-2-000024,,,
ME20C304,151-2-000036,,,
ME20C414,157-1-000002,,,
