column,label,n_valid,q1,median,q3,iqr,fence_1.5_lo,fence_1.5_hi,fence_3_lo,fence_3_hi,n_outlier_1.5iqr,pct_outlier_1.5iqr,n_outlier_3iqr,pct_outlier_3iqr,min,max,method
total_chargers,충전기 수,4210,2.0,3.0,7.0,5.0,-5.5,14.5,-13.0,22.0,398,9.45,161,3.82,1.0,99.0,1.5·IQR
available_count,가용 충전기 수,4210,1.0,2.0,4.0,3.0,-3.5,8.5,-8.0,13.0,428,10.17,171,4.06,0.0,50.0,1.5·IQR
observed_count,관측 충전기 수,4210,1.0,2.0,6.0,5.0,-6.5,13.5,-14.0,21.0,334,7.93,126,2.99,0.0,72.0,1.5·IQR
availability_ratio_observed,관측 가용률(0~1),3611,0.6,0.8888888888888888,1.0,0.4,-1.1102230246251565e-16,1.6,-0.6000000000000002,2.2,0,0.0,0,0.0,0.0,1.0,1.5·IQR
status_age_minutes,status age(분),3611,32.858333333333334,225.28333333333333,886.95,854.0916666666667,-1248.2791666666667,2168.0875,-2529.416666666667,3449.2250000000004,512,12.16,372,8.84,0.85,28408.483333333334,1.5·IQR
observation_age_minutes,observation age(분),3611,30.03333333333333,220.16666666666663,883.9833333333333,853.95,-1250.8916666666669,2164.9083333333338,-2531.816666666667,3445.833333333334,512,12.16,371,8.81,0.0,28401.5,1.5·IQR
nearest_parking_m,최근접 주차(m),3922,111.075,198.64999999999998,331.475,220.40000000000003,-219.52500000000003,662.075,-550.125,992.6750000000001,197,4.68,1,0.02,0.0,996.8,1.5·IQR
parking_occupancy_rate,주차 점유율(%),417,37.14,53.26,84.62,47.480000000000004,-34.08,155.84,-105.3,227.06,0,0.0,0,0.0,0.0,100.0,1.5·IQR
parking_remaining_spaces,주차 잔여면,428,7.0,39.5,99.0,92.0,-131.0,237.0,-269.0,375.0,26,0.62,15,0.36,0.0,638.0,1.5·IQR
parking_remaining_delta_1h,주차 잔여 Δ1h,428,-6.0,-1.0,0.0,6.0,-15.0,9.0,-24.0,18.0,37,0.88,18,0.43,-85.0,13.0,1.5·IQR
nearest_incident_m,최근접 돌발(m),382,497.84999999999997,694.1,844.025,346.175,-21.41250000000008,1363.2875,-540.6750000000002,1882.5500000000002,0,0.0,0,0.0,78.6,998.2,1.5·IQR
link_speed_kph,링크속도(kph),2716,24.0,29.0,39.0,15.0,1.5,61.5,-21.0,84.0,43,1.02,0,0.0,8.0,73.0,1.5·IQR
sessions_per_charger,sessions/충전기,200,1.1617552018999133,1.8218188515532274,2.9109957627118646,1.7492405608119512,-1.4621056393180136,5.534856603929791,-4.085966480535941,8.158717445147719,14,0.33,1,0.02,0.2383333333333333,8.170498084291188,1.5·IQR
