hour,analyzable,panel_rows,n_timestamps,n_stations,avail_mean,avail_median,confirmed_rate,in_use_rate_mean,exclude_reason
0,True,148902,59,3564,0.5816,0.6,0.7862,0.4184,
1,True,158185,60,3567,0.5788,0.6,0.7785,0.4212,
2,True,161910,60,3567,0.5843,0.6316,0.7785,0.4157,
3,True,164918,60,3568,0.593,0.6667,0.7823,0.407,
4,True,166933,60,3572,0.6055,0.6667,0.7937,0.3945,
5,True,169569,60,3573,0.627,0.7143,0.8156,0.373,
6,True,173086,60,3578,0.6595,0.75,0.8491,0.3405,
7,True,186787,80,3582,0.7179,0.9,0.8859,0.2821,
8,True,204592,111,3599,0.7662,1.0,0.8855,0.2338,
9,True,190392,79,3584,0.7814,1.0,0.891,0.2186,
10,True,199943,78,3592,0.79,1.0,0.892,0.21,
11,True,204248,77,3600,0.7925,1.0,0.8922,0.2075,
12,True,211579,77,3611,0.791,1.0,0.8945,0.209,
13,True,216493,79,3615,0.7871,1.0,0.8933,0.2129,
14,True,225394,82,3624,0.7791,1.0,0.8899,0.2209,
15,True,238221,85,3634,0.7654,1.0,0.8838,0.2346,
16,True,210629,77,3629,0.7391,0.9429,0.8673,0.2609,
17,True,204391,71,3634,0.7197,0.8519,0.853,0.2803,
18,True,163872,54,3604,0.71,0.8,0.8754,0.29,
19,True,165586,54,3607,0.67,0.75,0.8625,0.33,
20,True,176280,69,3615,0.6253,0.6667,0.8229,0.3747,
21,True,189730,72,3618,0.588,0.6154,0.7874,0.412,
22,True,165558,61,3586,0.568,0.5714,0.7667,0.432,
23,True,144170,48,3562,0.5881,0.6,0.8026,0.4119,
