dataset,column,rows,missing,missing_pct,non_missing,non_missing_pct
D1_station_feature_snapshot,eta_minutes,4210,4210,100.0,0,0.0
D1_station_feature_snapshot,usage_weekend_avg,4210,4012,95.3,198,4.7
D1_station_feature_snapshot,usage_weekday_avg,4210,4010,95.25,200,4.75
D1_station_feature_snapshot,sessions_per_charger,4210,4010,95.25,200,4.75
D1_station_feature_snapshot,usage_charger_type,4210,4010,95.25,200,4.75
D1_station_feature_snapshot,usage_level,4210,4010,95.25,200,4.75
D1_station_feature_snapshot,nearest_incident_m,4210,3923,93.18,287,6.82
D1_station_feature_snapshot,parking_congestion_status,4210,3795,90.14,415,9.86
D1_station_feature_snapshot,parking_occupancy_rate,4210,3793,90.1,417,9.9
D1_station_feature_snapshot,parking_realtime_ticks_1h,4210,3782,89.83,428,10.17
D1_station_feature_snapshot,parking_remaining_std_1h,4210,3782,89.83,428,10.17
D1_station_feature_snapshot,parking_remaining_spaces,4210,3782,89.83,428,10.17
D1_station_feature_snapshot,parking_remaining_delta_1h,4210,3782,89.83,428,10.17
D1_station_feature_snapshot,parking_total_spaces,4210,3782,89.83,428,10.17
D1_station_feature_snapshot,link_cong_grade,4210,1494,35.49,2716,64.51
D1_station_feature_snapshot,nearest_link_id,4210,1494,35.49,2716,64.51
D1_station_feature_snapshot,link_speed_kph,4210,1494,35.49,2716,64.51
D1_station_feature_snapshot,nearest_link_m,4210,1494,35.49,2716,64.51
D1_station_feature_snapshot,link_cong_grade_nm,4210,1494,35.49,2716,64.51
D1_station_feature_snapshot,availability_ratio_observed,4210,631,14.99,3579,85.01
D1_station_feature_snapshot,observation_age_minutes,4210,631,14.99,3579,85.01
D1_station_feature_snapshot,status_age_minutes,4210,631,14.99,3579,85.01
D1_station_feature_snapshot,parking_matched_id,4210,288,6.84,3922,93.16
D1_station_feature_snapshot,nearest_parking_m,4210,288,6.84,3922,93.16
D1_station_feature_snapshot,parking_has_realtime,4210,69,1.64,4141,98.36
D1_station_feature_snapshot,is_operating_now,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,observation_state,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,access_restricted,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,limitYn,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,reliability_grade,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,has_confirmed_available,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,available_count,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,unobserved_rate,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,observed_count,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,unobserved_count,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,total_chargers,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,lat,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,lng,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,coord_ok,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,statNm,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,as_of_ts,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,statId,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,addr,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,reliability_grade_effective,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,observation_grade,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,name_suggests_residential,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,history_observed,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,poi_count_1km,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,recommend_public_default,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,parking_is_mock,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,parking_source,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,traffic_is_mock,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,traffic_source,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,source_status,4210,0,0.0,4210,100.0
D1_station_feature_snapshot,schema_version,4210,0,0.0,4210,100.0
