hour,ticks,days,pct_smooth_mean,pct_slow_mean,pct_jam_mean,pct_congested_mean,speed_mean,speed_median_of_means
0,23,6,87.77,11.7,0.53,12.23,40.17,40.15
1,24,6,89.39,10.26,0.34,10.61,40.85,40.87
2,24,6,90.4,9.14,0.46,9.6,41.47,41.48
3,24,6,91.6,8.21,0.2,8.4,42.09,42.01
4,24,6,92.01,7.75,0.24,7.99,42.26,42.26
5,24,6,91.51,8.21,0.28,8.49,41.92,41.9
6,23,6,88.61,10.75,0.65,11.39,40.49,40.43
7,25,7,80.2,17.89,1.91,19.8,37.77,37.68
8,26,7,65.93,29.54,4.53,34.07,33.77,32.69
9,24,6,64.4,30.82,4.78,35.6,33.23,32.36
10,24,6,62.31,32.99,4.7,37.69,32.66,32.1
11,24,6,60.82,33.56,5.62,39.18,32.41,32.15
12,24,6,61.51,33.43,5.06,38.49,32.67,32.79
13,24,6,60.8,34.05,5.15,39.2,32.39,32.51
14,24,6,58.75,36.03,5.22,41.25,31.78,31.72
15,23,6,57.41,36.85,5.75,42.59,31.38,31.31
16,24,7,54.75,37.26,7.99,45.25,30.67,30.55
17,28,7,51.52,38.18,10.29,48.48,29.86,29.3
18,23,6,50.62,34.56,14.82,49.38,29.32,28.32
19,24,6,63.43,29.71,6.86,36.57,33.01,33.94
20,32,7,72.59,25.19,2.22,27.41,35.19,35.13
21,29,7,76.53,21.45,2.02,23.47,36.19,36.18
22,28,7,79.8,19.0,1.21,20.2,37.27,37.21
23,24,6,85.42,13.69,0.9,14.58,39.33,38.96
