incidentId,incidenteTypeCd,incidenteSubTypeCd,addressJibun,addressJibunCd,addressNew,linkId,locationDataX,locationDataY,locationTypeCd,locationData,incidenteTrafficCd,incidenteGradeCd,incidentTitle,incTrafficCode,incidentRegionCd,startDate,endDate,lane,roadName,sourceCode,controlType,important,updateDate,traffic_source,fetchedAt,type_nm
L93170967014,1,8,대구 서구 내당동 1306-3,2717010100,대구 서구 달구벌대로 1675,1520000204,128.5490947660376,35.85484711197962,C0101,,A0502,A0402,[사고] 달구벌대로 내당동12902 에서 감삼네거리 방향 4차로 고장 차량 주의운전,A0502,29,2026년 07월 21일  09시 13분,2026년 07월 21일  09시 43분,4차로,달구벌대로,W013,0,0,,utic,2026-07-21T09:32:23.071018+09:00,사고·기타(1)
L93170968357,2,255,대구 북구 동천동 890-2,2723012400,대구 북구 동천로 155,1540087300,128.5600049,35.9447777,C0101,POINT(128.5600049 35.9447777),A0502,A0402,[공사] 동암로 천암네거리 에서 거동네거리 방향 1차로 도로공사 주의운전,A0502,29,2026년 07월 21일  09시 47분,2026년 07월 21일  10시 17분,1차로,동암로,P000,0,0,,utic,2026-07-21T09:47:26.317653+09:00,공사·작업(2)
L93170962982,2,13,대구 북구 서변동 124,2723011500,대구 북구 호국로 303,1540446301,128.599217,35.9285521,C0101,,A0502,A0402,[공사] 호국로 도곡네거리 에서 서변IC 방향 5차로 노변 유지보수 주의운전,A0502,29,2026년 07월 21일  07시 34분,2026년 07월 21일  10시 04분,5차로,호국로,P000,0,0,2026년 07월 21일  07시 35분,utic,2026-07-21T10:02:29.867836+09:00,공사·작업(2)
L93170969246,2,255,대구 북구 도남동 738-1,2723012100,대구광역시 북구 도남길 101,1540456700,128.5826199,35.9576888,C0101,,A0502,A0402,[공사] 도남길 국우동1042-3 에서 그린빌1 방향 1차로 도로공사 주의운전,A0502,29,2026년 07월 21일  10시 09분,2026년 07월 21일  10시 39분,1차로,도남길,P000,0,0,2026년 07월 21일  10시 10분,utic,2026-07-21T10:32:36.927430+09:00,공사·작업(2)
L93170968676,2,6,대구 서구 평리동 1230-8,2717010300,대구광역시 서구 국채보상로 249,1520025600,128.55818207626524,35.87121159818491,C0101,,A0502,A0402,[공사] 국채보상로 서부경찰서앞교차로 에서 신평리네거리 방향 4차로 유지보수 주의운전,A0502,29,2026년 07월 21일  09시 52분,2026년 07월 21일  10시 59분,4차로,국채보상로,P000,0,0,2026년 07월 21일  09시 54분,utic,2026-07-21T10:47:41.017029+09:00,공사·작업(2)
L91170972824,1,255,대구 달성군 화원읍 설화리 232-4,2771025024,,1570014500,128.4808,35.8006,C0101,POINT(128.4808 35.8006),A0502,A0402,[사고] 중부내륙고속도로지선 화원옥포IC 에서 화원IC서측 방향 기점방향 사고 2차로 화원옥포IC → 화원IC서측 중부내륙지선 기점,A0502,29,2026년 07월 21일  11시 12분,2026년 07월 21일  11시 42분,기점방향,중부내륙고속도로지선,H000,0,0,,utic,2026-07-21T11:17:47.849901+09:00,사고·기타(1)
L93170971001,2,3,대구 서구 평리동 1621-3,2717010300,대구 서구 북비산로 260,1520017300,128.55937170144435,35.87909020742369,C0101,,A0502,A0402,[공사] 북비산로 대구축산농협평리지점 에서 세븐일레븐대구대평중 방향 2차로 고가 시설 작업 주의운전,A0502,29,2026년 07월 21일  10시 46분,2026년 07월 21일  12시 16분,2차로,북비산로,P000,0,0,2026년 07월 21일  10시 47분,utic,2026-07-21T12:02:58.093550+09:00,공사·작업(2)
L93170968265,2,255,대구 북구 동천동 890,2723012400,대구 북구 동천로 155,1540087300,128.55991260820062,35.94473137221942,C0101,,A0502,A0402,[공사] 동천로 천암네거리 에서 거동네거리 방향 4차로 도로공사 주의운전,A0502,29,2026년 07월 21일  09시 44분,2026년 07월 21일  12시 14분,4차로,동천로,P000,0,0,2026년 07월 21일  09시 45분,utic,2026-07-21T12:02:58.093550+09:00,공사·작업(2)
L93170968373,2,8,대구 서구 중리동 1083,2717010500,대구광역시 서구 국채보상로 136,1520008601,128.5463474,35.867936,C0101,,A0502,A0402,[공사] 당산로 중리네거리 에서 중리동산933 방향 2차로 가로수 벌목 주의운전,A0502,29,2026년 07월 21일  09시 48분,2026년 07월 21일  12시 18분,2차로,당산로,P000,0,0,2026년 07월 21일  09시 48분,utic,2026-07-21T12:02:58.093550+09:00,공사·작업(2)
L93170971695,2,18,대구 달서구 호산동 956-9,2729012500,대구 달서구 호산동로36북길 30,1560006703,128.4862705,35.8521729,C0101,,A0502,A0402,[공사] 달구벌대로 호산동764 에서 신당네거리 방향 6차로 가로등 작업 주의운전,A0502,29,2026년 07월 21일  10시 52분,2026년 07월 21일  12시 22분,6차로,달구벌대로,P000,0,0,2026년 07월 21일  10시 56분,utic,2026-07-21T12:18:02.124761+09:00,공사·작업(2)
