statId,statNm,addr,lat,lng,chgerId,chgerType,output,useTime,busiNm,parkingFree,delYn,fetchedAt,lat_f,lng_f,dist_m,radius_m
NT101674,대구 현대해상사옥,대구광역시 달서구 달구벌대로 1790,35.85855,128.56079,04,02,7,24시간 이용가능,한국전자금융,N,N,2026-07-25T20:38:50+09:00,35.85855,128.56079,60.08083117970405,1000
LU000587,아이작큐브,대구광역시 달서구 달구벌대로 1770,35.8579359,128.5588907,02,02,7,24시간 이용가능,엘지유플러스,N,N,2026-07-25T20:38:50+09:00,35.8579359,128.5588907,167.02216291261527,1000
CV000902,국민건강보험공단 대구경북지역본부,대구광역시 달서구 두류공원로 264,35.857057,128.558359,01,02,7,24시간 이용가능,채비,Y,N,2026-07-25T20:38:50+09:00,35.857057,128.558359,239.50922456068744,1000
EZ100674,서광종합건설,대구광역시 달서구 두류공원로 242,35.8553271,128.5598353,01,02,7,24시간 이용가능,차지인,N,N,2026-07-25T20:38:50+09:00,35.8553271,128.5598353,309.4242874947541,1000
HM710135,두류역공영주차장,대구광역시 서구 달구벌대로 지하1760,35.8580807,128.5571196,02,02,7,24시간 이용가능,휴맥스이브이,N,N,2026-07-25T20:38:50+09:00,35.8580807,128.5571196,326.5162508676374,1000
PI530306,대구시 달서구 리베라빌라,대구광역시 달서구 두류공원로50길 113-18,35.8587824,128.5646295,01,02,7,24시간 이용가능,차지비,Y,N,2026-07-25T20:38:50+09:00,35.8587824,128.5646295,360.7121456875098,1000
SF000068,뉴에버빌 (두류동),대구광역시 달서구 두류공원로50길 112,35.857845,128.564789,01,02,3,09:00~18:00,(주)스타코프,N,N,2026-07-25T20:38:50+09:00,35.857845,128.564789,365.2115065467311,1000
KP002174,홈플러스 내당점,대구광역시 서구 달구벌대로 1821,35.8603220891,128.5637319974,01,06,,,한국전력,Y,N,2026-07-25T20:38:50+09:00,35.8603220891,128.5637319974,372.36344977449977,1000
IN053007,대구서부고용복지플러스센터,대구광역시 서구 서대구로 9,35.8589,128.5566,01,02,7,"09:00~18:00 (주말, 공휴일 제외)",신세계아이앤씨,Y,Y,2026-07-25T20:38:50+09:00,35.8589,128.5566,386.11454729237863,1000
PIS00548,대구 서구 대구서부고용복지플러스센터,대구광역시 서구 서대구로 9,35.8589,128.5566,01,02,7,"09:00~18:00 (주말, 공휴일 제외)",GS차지비,N,N,2026-07-25T20:38:50+09:00,35.8589,128.5566,386.11454729237863,1000
PL031835,대구 벽산타워,대구 달서구 달구벌대로 1748,35.8571267,128.5563578,01,02,7,24시간 이용가능,플러그링크,N,N,2026-07-25T20:38:50+09:00,35.8571267,128.5563578,407.135738923127,1000
EZ001952,대구광역시서부교육지원청,대구광역시 서구 서대구로3길 5,35.858999,128.555925,02,02,7,24시간 이용가능,(주)차지인,Y,N,2026-07-25T20:38:50+09:00,35.858999,128.555925,447.7633785751137,1000
IN053071,내당삼익맨션,대구광역시 서구 서대구로 25,35.8595,128.5557,02,02,7,24시간 이용가능,신세계아이앤씨,N,Y,2026-07-25T20:38:50+09:00,35.8595,128.5557,483.578422719423,1000
PIS00560,대구 서구 내당삼익맨션,대구광역시 서구 서대구로 25,35.8595,128.5557,03,02,7,24시간 이용가능,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.8595,128.5557,483.578422719423,1000
LU002217,홍실1차아파트,대구광역시 서구 서대구로8길 49,35.862228,128.562319,02,02,7,24시간 이용가능,LG유플러스,N,N,2026-07-25T20:38:50+09:00,35.862228,128.562319,489.9692253485131,1000
KP000643,두류보성맨션 아파트,대구광역시 달서구 두류동 두류6길 9,35.8572985718,128.5661655046,01,02,7,,한국전력,Y,N,2026-07-25T20:38:50+09:00,35.8572985718,128.5661655046,495.17654065911995,1000
PL031986,대구 달서구 두류보성맨션,대구 달서구 두류6길 9,35.8572996,128.5661712,00,02,7,24시간 이용가능,플러그링크,N,N,2026-07-25T20:38:50+09:00,35.8572996,128.5661712,495.66494332164604,1000
