statId,as_of_ts,statNm,addr,lat,lng,coord_ok,total_chargers,available_count,observed_count,unobserved_count,availability_ratio_observed,unobserved_rate,has_confirmed_available,status_age_minutes,reliability_grade,observation_age_minutes,observation_grade,reliability_grade_effective,observation_state,is_operating_now,limitYn,access_restricted,name_suggests_residential,recommend_public_default,usage_level,sessions_per_charger,usage_weekday_avg,usage_weekend_avg,usage_charger_type,history_observed,eta_minutes,poi_count_1km,nearest_parking_m,parking_remaining_spaces,parking_total_spaces,parking_occupancy_rate,parking_congestion_status,parking_matched_id,parking_has_realtime,parking_remaining_std_1h,parking_remaining_delta_1h,parking_realtime_ticks_1h,parking_is_mock,parking_source,nearest_incident_m,nearest_link_id,nearest_link_m,link_speed_kph,link_cong_grade,link_cong_grade_nm,traffic_is_mock,traffic_source,source_status,schema_version,dist_m_from_apt
CV000902,2026-07-31T08:12:11+09:00,국민건강보험공단 대구경북지역본부,대구광역시 달서구 두류공원로 264,35.857057,128.558359,True,1,0,1,0,0.0,0.0,False,841.75,CHECK_REQUIRED,835.0,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,N,False,False,True,,,,,,False,,2,202.7,,,,,156-2-000096,False,,,,False,team5_pis,,1520000502.0,180.6,17.0,2.0,지체,False,utic,sandbox_series,station_feature_v1,239.50922456068744
EZ001952,2026-07-31T08:12:11+09:00,대구광역시서부교육지원청,대구광역시 서구 서대구로3길 5,35.858999,128.555925,True,2,0,0,2,,1.0,False,,CHECK_REQUIRED,,CHECK_REQUIRED,CHECK_REQUIRED,UNOBSERVED,Y,N,False,False,True,,,,,,False,,2,44.7,,,,,152-1-000017,False,,,,False,team5_pis,,1520000602.0,91.7,28.0,1.0,원활,False,utic,sandbox_series,station_feature_v1,447.7633785751137
EZ100674,2026-07-31T08:12:11+09:00,서광종합건설,대구광역시 달서구 두류공원로 242,35.8553271,128.5598353,True,1,0,0,1,,1.0,False,,CHECK_REQUIRED,,CHECK_REQUIRED,CHECK_REQUIRED,UNOBSERVED,Y,N,False,False,True,,,,,,False,,2,151.0,,,,,156-2-000097,False,,,,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1,309.4242874947541
IN053007,2026-07-31T08:12:11+09:00,대구서부고용복지플러스센터,대구광역시 서구 서대구로 9,35.8589,128.5566,True,3,0,0,3,,1.0,False,,CHECK_REQUIRED,,CHECK_REQUIRED,CHECK_REQUIRED,UNOBSERVED,N,Y,True,False,False,,,,,,False,,2,,,,,,,,,,,False,team5_pis,,1520000602.0,37.9,28.0,1.0,원활,False,utic,sandbox_series,station_feature_v1,386.11454729237863
IN053071,2026-07-31T08:12:11+09:00,내당삼익맨션,대구광역시 서구 서대구로 25,35.8595,128.5557,True,5,0,0,5,,1.0,False,,CHECK_REQUIRED,,CHECK_REQUIRED,CHECK_REQUIRED,UNOBSERVED,Y,Y,True,False,False,,,,,,False,,2,,,,,,,,,,,False,team5_pis,,1520000602.0,119.4,28.0,1.0,원활,False,utic,sandbox_series,station_feature_v1,483.578422719423
KP000643,2026-07-31T08:12:11+09:00,두류보성맨션 아파트,대구광역시 달서구 두류동 두류6길 9,35.8572985718,128.5661655046,True,2,0,0,2,,1.0,False,,CHECK_REQUIRED,,CHECK_REQUIRED,CHECK_REQUIRED,UNOBSERVED,UNKNOWN,Y,True,True,False,,,,,,False,,1,361.0,,,,,156-2-000018,False,,,,False,team5_pis,913.3,,,,,,False,utic,sandbox_series,station_feature_v1,495.17654065911995
KP002174,2026-07-31T08:12:11+09:00,홈플러스 내당점,대구광역시 서구 달구벌대로 1821,35.8603220891,128.5637319974,True,1,0,0,1,,1.0,False,,CHECK_REQUIRED,,CHECK_REQUIRED,CHECK_REQUIRED,UNOBSERVED,UNKNOWN,N,False,False,True,,,,,,False,,1,234.5,,,,,152-1-000018,False,,,,False,team5_pis,978.7,,,,,,False,utic,sandbox_series,station_feature_v1,372.36344977449977
LU000587,2026-07-31T08:12:11+09:00,아이작큐브,대구광역시 달서구 달구벌대로 1770,35.8579359,128.5588907,True,3,3,3,0,1.0,0.0,True,6.433333333333334,NORMAL,0.0,HIGH,HIGH,FRESH,Y,Y,True,False,False,,,,,,False,,2,190.3,,,,,156-2-000096,False,,,,False,team5_pis,,1520000502.0,155.3,17.0,2.0,지체,False,utic,sandbox_series,station_feature_v1,167.02216291261527
LU002217,2026-07-31T08:12:11+09:00,홍실1차아파트,대구광역시 서구 서대구로8길 49,35.862228,128.562319,True,2,1,2,0,0.5,0.0,True,799.2333333333333,CHECK_REQUIRED,794.6833333333333,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,Y,True,True,False,,,,,,False,,1,13.0,,,,,152-1-000018,False,,,,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1,489.9692253485131
NT101674,2026-07-31T08:12:11+09:00,대구 현대해상사옥,대구광역시 달서구 달구벌대로 1790,35.85855,128.56079,True,5,4,5,0,0.8,0.0,True,7.35,NORMAL,0.0,HIGH,HIGH,FRESH,Y,Y,True,False,False,,,,,,False,,2,180.3,,,,,156-2-000096,False,,,,False,team5_pis,,1520000502.0,317.0,17.0,2.0,지체,False,utic,sandbox_series,station_feature_v1,60.08083117970405
