statId,first_ts,last_ts,n_ticks,mean_avail,statNm
CV000902,2026-07-18 20:06:10,2026-07-31 08:12:11,1119,0.6738738738738739,국민건강보험공단 대구경북지역본부
HM710135,2026-07-27 10:23:41,2026-07-31 08:12:11,562,0.9994058229352346,두류역공영주차장
LU000587,2026-07-18 07:20:11,2026-07-31 08:12:11,1073,0.3993476234855545,아이작큐브
LU002217,2026-07-17 18:24:46,2026-07-31 08:12:11,912,0.5076754385964912,홍실1차아파트
NT101674,2026-07-20 11:14:54,2026-07-31 08:12:11,847,0.7505706414797324,대구 현대해상사옥
PI530306,2026-07-20 22:41:15,2026-07-31 08:12:11,860,0.6872093023255814,대구시 달서구 리베라빌라
PIS00548,2026-07-20 08:29:39,2026-07-31 08:12:11,303,0.9042904290429042,대구 서구 대구서부고용복지플러스센터
PIS00560,2026-07-17 13:54:28,2026-07-31 08:12:11,1051,0.7094037424674913,대구 서구 내당삼익맨션
PL031835,2026-07-17 17:54:45,2026-07-31 08:12:11,1226,0.6402936378466558,대구 벽산타워
PL031986,2026-07-17 18:09:46,2026-07-31 08:12:11,902,0.6480044345898004,대구 달서구 두류보성맨션
