hour,public_pct,public_ticks,special_pct,special_ticks,apt_name_pct,apt_ticks
0,72.06618924252045,42,32.604927604880004,42,32.95406111275099,42
1,70.85698852306528,42,33.477375508232626,42,34.474393318225765,42
2,71.93782063143104,42,35.656213446023195,42,36.58128655604113,42
3,73.29340155131152,42,37.7498820135125,42,39.174616853557346,42
4,74.63724994909751,42,39.94197765564144,42,41.43072237033596,42
5,75.71170093218768,42,44.132940447468414,42,45.732362386916215,42
6,76.50470691521134,42,51.02322245172364,42,52.48896128352025,42
7,80.30180047334032,62,66.25236750636591,62,66.47542544917457,62
8,79.85297807393916,97,75.35970481563191,97,75.49692714282847,97
9,76.15476526594955,67,77.29310248719233,67,77.67875576038594,67
10,75.30690471265333,65,78.7628482115577,65,79.00778305908743,65
11,74.98662447209452,60,78.8953169352004,60,78.73330664318335,60
12,74.72671336659931,59,78.16870963987928,59,78.07895122452771,59
13,74.84314504028619,61,76.34446437883854,61,76.69760019225615,61
14,73.97625230527345,64,74.36565372370491,64,74.86196894157005,64
15,73.54318154062874,66,72.29046974040293,66,73.1115368036915,66
16,71.79342407077137,59,66.10970796873143,59,66.8035391247734,59
17,71.52257516749904,49,63.14982371562039,49,63.84909005945981,49
18,71.66638113699825,36,59.57898360540864,36,60.99570391346768,36
19,69.56825982932288,36,54.12283222629332,36,55.728116670978906,36
20,68.87964718536355,52,42.161100905352086,52,43.77753954603311,52
21,66.23975643492071,54,36.89961456730201,54,37.8515625810199,54
22,65.19467173350522,43,32.32229903520453,43,33.12542049843276,43
23,66.75938515767898,30,34.54417126328265,30,35.47681851793256,30
