hour,mean_pct,median_pct,ticks,days
0,46.12019225266741,50.18326249310047,42,5
1,43.457718133540574,45.195777152641725,42,5
2,44.682387823436684,45.34492236933663,42,5
3,46.53103847447826,48.12823300830347,42,5
4,48.46379963444096,50.665156667011225,42,5
5,51.758564496975495,54.066472464045106,42,5
6,57.01597809104326,57.64800149317274,42,5
7,70.26693395701665,69.03191460146607,62,8
8,76.68996319240868,78.71198568872988,97,11
9,76.73547912577784,77.76119402985074,67,11
10,77.67153150128485,78.57279145201298,65,11
11,77.76783084296339,77.87348146644034,60,10
12,77.22541347601747,76.6771391609684,59,10
13,76.22593742211207,74.08979227161045,61,11
14,74.47702935895833,73.40241278710681,64,11
15,72.70464125585156,71.82037987803182,66,11
16,68.28268406603124,67.50236518448439,59,11
17,65.41345432177533,64.72986748216107,49,10
18,62.554812566659116,63.278381759761245,36,7
19,57.83285032178248,58.250232404333325,36,7
20,51.28252228087953,53.01067539285346,52,10
21,44.81890348976416,48.327332931407405,54,10
22,40.50601199872887,33.104066985645936,43,7
23,42.12527674080009,46.36389016174002,30,4
