snapshot_id,ts,source,rows,stations,chargers,stat_2,stat_3,stat_other,gap_min,date,hour,size_class
20260717_134156,2026-07-17 13:41:56,live_loop1,493,361,493,342,134,17,,2026-07-17,13,중형
20260717_135428,2026-07-17 13:54:28,live_loop1,488,366,488,320,160,8,12.533333333333333,2026-07-17,13,중형
20260717_140928,2026-07-17 14:09:28,live_loop1,521,373,521,341,157,23,15.0,2026-07-17,14,대형
20260717_142430,2026-07-17 14:24:30,live_loop1,507,380,507,326,174,7,15.033333333333333,2026-07-17,14,중형
20260717_143931,2026-07-17 14:39:31,live_loop1,562,404,562,376,168,18,15.016666666666667,2026-07-17,14,대형
20260717_145431,2026-07-17 14:54:31,live_loop1,500,380,500,323,171,6,15.0,2026-07-17,14,중형
20260717_150934,2026-07-17 15:09:34,live_loop1,548,391,548,361,162,25,15.05,2026-07-17,15,대형
20260717_152435,2026-07-17 15:24:35,live_loop1,536,402,536,341,189,6,15.016666666666667,2026-07-17,15,대형
20260717_153936,2026-07-17 15:39:36,live_loop1,569,412,569,364,189,16,15.016666666666667,2026-07-17,15,대형
20260717_155436,2026-07-17 15:54:36,live_loop1,520,397,520,346,169,5,15.0,2026-07-17,15,대형
20260717_160940,2026-07-17 16:09:40,live_loop1,581,411,581,361,180,40,15.066666666666666,2026-07-17,16,대형
20260717_162440,2026-07-17 16:24:40,live_loop1,503,382,503,317,180,6,15.0,2026-07-17,16,중형
20260717_163941,2026-07-17 16:39:41,live_loop1,527,382,527,336,168,23,15.016666666666667,2026-07-17,16,대형
20260717_165442,2026-07-17 16:54:42,live_loop1,518,385,518,345,168,5,15.016666666666667,2026-07-17,16,대형
20260717_170942,2026-07-17 17:09:42,live_loop1,559,408,559,352,174,33,15.0,2026-07-17,17,대형
20260717_172443,2026-07-17 17:24:43,live_loop1,538,400,538,350,180,8,15.016666666666667,2026-07-17,17,대형
20260717_173944,2026-07-17 17:39:44,live_loop1,535,386,535,358,153,24,15.016666666666667,2026-07-17,17,대형
20260717_175445,2026-07-17 17:54:45,live_loop1,509,383,509,318,181,10,15.016666666666667,2026-07-17,17,중형
20260717_180946,2026-07-17 18:09:46,live_loop1,556,404,556,337,195,24,15.016666666666667,2026-07-17,18,대형
20260717_182446,2026-07-17 18:24:46,live_loop1,551,404,551,292,244,15,15.0,2026-07-17,18,대형
20260717_183947,2026-07-17 18:39:47,live_loop1,566,416,566,323,221,22,15.016666666666667,2026-07-17,18,대형
20260717_185448,2026-07-17 18:54:48,live_loop1,521,399,521,298,219,4,15.016666666666667,2026-07-17,18,대형
20260717_190950,2026-07-17 19:09:50,live_loop1,576,414,576,339,215,22,15.033333333333333,2026-07-17,19,대형
20260717_192450,2026-07-17 19:24:50,live_loop1,551,411,551,282,257,12,15.0,2026-07-17,19,대형
20260717_193951,2026-07-17 19:39:51,live_loop1,531,387,531,314,198,19,15.016666666666667,2026-07-17,19,대형
20260717_195452,2026-07-17 19:54:52,live_loop1,508,386,508,285,216,7,15.016666666666667,2026-07-17,19,중형
20260717_200952,2026-07-17 20:09:52,live_loop1,562,408,562,338,193,31,15.0,2026-07-17,20,대형
20260717_202453,2026-07-17 20:24:53,live_loop1,517,377,517,298,187,32,15.016666666666667,2026-07-17,20,대형
20260717_203954,2026-07-17 20:39:54,live_loop1,514,361,514,347,146,21,15.016666666666667,2026-07-17,20,대형
