hour,mean_pct,median_pct,ticks,days
0,48.38764569530552,51.9456637798078,59,8
1,46.61330671094861,49.38094916044841,60,8
2,47.54440874894837,49.22596100975133,60,8
3,48.98548163635498,50.636080094565315,60,8
4,50.608118244497504,52.56329859650447,60,8
5,53.425559098070046,55.662596426617526,60,8
6,58.06528122446753,59.25290375927545,60,8
7,69.39422214066757,67.81803013641742,80,11
8,76.19908377902081,78.32158531719644,115,14
9,77.04084595075834,77.8683750728014,85,14
10,78.40370926377516,79.81547747859152,84,14
11,79.01691285400234,81.39796364544944,83,14
12,78.79424240141616,81.78430631311767,83,14
13,78.02538463753761,81.60905247450883,85,15
14,76.610984062834,80.99688456826408,88,15
15,74.74560590799751,74.73567934353795,85,14
16,71.17609097158699,70.62734281066554,77,14
17,68.78429428638496,68.38492786104496,67,13
18,66.12533207932054,66.96908442349506,54,10
19,60.809362970173794,61.705614087094844,54,10
20,54.042101286066064,54.22577273406003,69,13
21,48.40260376465626,50.824468706988156,72,13
22,45.19279576861643,49.060980998674324,61,10
23,46.82003946428063,51.74604878940572,48,7
