statNm,statId,chgerId,chgerType,addr,addrDetail,location,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,floorNum,floorType,maker,fetchedAt,complex_id,complex_name,match_verdict
대구 두류역서한포레스트,HY001928,01,02,대구광역시 달서구 야외음악당로47길 76,,"101동 앞, 101동 뒤, 102동 앞 필로티주차장",35.8569,128.5627,24시간 이용가능,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,20260731092601,20260731092043,20260731092455,,,7,단독,27,27290,H0,H001,Y,,Y,입주자 전용,N,,N,2026,1,F,,2026-08-03 12:40:25,APT2025-01,두류역서한포레스트,FOUND_NAME
대구 두류역서한포레스트,HY001928,02,02,대구광역시 달서구 야외음악당로47길 76,,"101동 앞, 101동 뒤, 102동 앞 필로티주차장",35.8569,128.5627,24시간 이용가능,HY,현대엔지니어링,현대엔지니어링,1833-8777,1,20260802194002,20260731092553,20260731093003,,,7,단독,27,27290,H0,H001,Y,,Y,입주자 전용,N,,N,2026,1,F,,2026-08-03 12:40:25,APT2025-01,두류역서한포레스트,FOUND_NAME
대구 두류역서한포레스트,HY001928,03,02,대구광역시 달서구 야외음악당로47길 76,,"101동 앞, 101동 뒤, 102동 앞 필로티주차장",35.8569,128.5627,24시간 이용가능,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,20260731093801,20260731093314,20260731093727,,,7,단독,27,27290,H0,H001,Y,,Y,입주자 전용,N,,N,2026,1,F,,2026-08-03 12:40:25,APT2025-01,두류역서한포레스트,FOUND_NAME
대구 두류역서한포레스트,HY001928,04,02,대구광역시 달서구 야외음악당로47길 76,,"101동 앞, 101동 뒤, 102동 앞 필로티주차장",35.8569,128.5627,24시간 이용가능,HY,현대엔지니어링,현대엔지니어링,1833-8777,1,20260802193901,20260731094026,20260731094437,,,7,단독,27,27290,H0,H001,Y,,Y,입주자 전용,N,,N,2026,1,F,,2026-08-03 12:40:25,APT2025-01,두류역서한포레스트,FOUND_NAME
대구 두류역서한포레스트,HY001928,05,02,대구광역시 달서구 야외음악당로47길 76,,"101동 앞, 101동 뒤, 102동 앞 필로티주차장",35.8569,128.5627,24시간 이용가능,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,20260802194102,20260731094636,20260731095059,,,7,단독,27,27290,H0,H001,Y,,Y,입주자 전용,N,,N,2026,1,F,,2026-08-03 12:40:25,APT2025-01,두류역서한포레스트,FOUND_NAME
대구 두류역서한포레스트,HY001928,06,02,대구광역시 달서구 야외음악당로47길 76,,"101동 앞, 101동 뒤, 102동 앞 필로티주차장",35.8569,128.5627,24시간 이용가능,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,20260731103703,20260731103230,20260731103646,,,7,단독,27,27290,H0,H001,Y,,Y,입주자 전용,N,,N,2026,1,F,,2026-08-03 12:40:25,APT2025-01,두류역서한포레스트,FOUND_NAME
대구 두류역서한포레스트,HY001928,07,02,대구광역시 달서구 야외음악당로47길 76,,"101동 앞, 101동 뒤, 102동 앞 필로티주차장",35.8569,128.5627,24시간 이용가능,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,20260731104302,20260731103808,20260731104230,,,7,단독,27,27290,H0,H001,Y,,Y,입주자 전용,N,,N,2026,1,F,,2026-08-03 12:40:25,APT2025-01,두류역서한포레스트,FOUND_NAME
대구 두류역서한포레스트,HY001928,08,02,대구광역시 달서구 야외음악당로47길 76,,"101동 앞, 101동 뒤, 102동 앞 필로티주차장",35.8569,128.5627,24시간 이용가능,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,20260731105102,20260731104538,20260731104958,,,7,단독,27,27290,H0,H001,Y,,Y,입주자 전용,N,,N,2026,1,F,,2026-08-03 12:40:25,APT2025-01,두류역서한포레스트,FOUND_NAME
대구 두류역서한포레스트,HY001928,09,02,대구광역시 달서구 야외음악당로47길 76,,"101동 앞, 101동 뒤, 102동 앞 필로티주차장",35.8569,128.5627,24시간 이용가능,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,20260731105602,20260731105105,20260731105522,,,7,단독,27,27290,H0,H001,Y,,Y,입주자 전용,N,,N,2026,1,F,,2026-08-03 12:40:25,APT2025-01,두류역서한포레스트,FOUND_NAME
대구 두류역서한포레스트,HY001928,10,02,대구광역시 달서구 야외음악당로47길 76,,"101동 앞, 101동 뒤, 102동 앞 필로티주차장",35.8569,128.5627,24시간 이용가능,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,20260731110302,20260731105824,20260731110234,,,7,단독,27,27290,H0,H001,Y,,Y,입주자 전용,N,,N,2026,1,F,,2026-08-03 12:40:25,APT2025-01,두류역서한포레스트,FOUND_NAME
