statId,statNm,addr,lat,lng,chgerId,chgerType,output,useTime,busiNm,parkingFree,delYn,fetchedAt,lat_f,lng_f,dist_m,complex_id,complex_name,cohort
SF000068,뉴에버빌 (두류동),대구광역시 달서구 두류공원로50길 112,35.857845,128.564789,01,02,3,09:00~18:00,(주)스타코프,N,N,2026-07-25T20:38:50+09:00,35.857845,128.564789,137.8435580891283,APT2025-01,두류역서한포레스트,2025
KP000643,두류보성맨션 아파트,대구광역시 달서구 두류동 두류6길 9,35.8572985718,128.5661655046,02,02,7,,한국전력,Y,N,2026-07-25T20:38:50+09:00,35.8572985718,128.5661655046,143.23110521715316,APT2025-01,두류역서한포레스트,2025
PL031986,대구 달서구 두류보성맨션,대구 달서구 두류6길 9,35.8572996,128.5661712,02,02,7,24시간 이용가능,플러그링크,N,N,2026-07-25T20:38:50+09:00,35.8572996,128.5661712,143.72541332679964,APT2025-01,두류역서한포레스트,2025
PC001247,이월드(대구),대구광역시 달서구 두류공원로 200,35.854855416,128.56482099,03,02,7,24시간 이용가능,아이파킹,N,N,2026-07-25T20:38:50+09:00,35.854855416,128.56482099,194.62316388824328,APT2025-01,두류역서한포레스트,2025
PI530306,대구시 달서구 리베라빌라,대구광역시 달서구 두류공원로50길 113-18,35.8587824,128.5646295,01,02,7,24시간 이용가능,차지비,Y,N,2026-07-25T20:38:50+09:00,35.8587824,128.5646295,242.68298940094525,APT2025-01,두류역서한포레스트,2025
CV003121,대구시_두류 12동 행정복지센터,대구광역시 달서구 두류길 141-8,35.857779,128.567275,01,02,7,24시간 이용가능,채비,Y,N,2026-07-25T20:38:50+09:00,35.857779,128.567275,256.4070276226262,APT2025-01,두류역서한포레스트,2025
CV001130,제봉뜰 두류봉제 지식산업센터,대구광역시 달서구 두류남9길 17,35.85663283,128.56848005,02,06,50,09:00~18:00(운영시간 내 이용가능),채비,N,N,2026-07-25T20:38:50+09:00,35.85663283,128.56848005,329.35064084430303,APT2025-01,두류역서한포레스트,2025
NT101674,대구 현대해상사옥,대구광역시 달서구 달구벌대로 1790,35.85855,128.56079,02,02,7,24시간 이용가능,한국전자금융,N,N,2026-07-25T20:38:50+09:00,35.85855,128.56079,423.1061548982604,APT2025-01,두류역서한포레스트,2025
KP002174,홈플러스 내당점,대구광역시 서구 달구벌대로 1821,35.8603220891,128.5637319974,01,06,,,한국전력,Y,N,2026-07-25T20:38:50+09:00,35.8603220891,128.5637319974,424.83548531572575,APT2025-01,두류역서한포레스트,2025
ME20C182,두류1·2동1공영주차장,대구광역시 달서구 두류동 1252-4,35.855857,128.569531,01,04,100,24시간 이용가능,기후에너지환경부,Y,N,2026-07-25T20:38:50+09:00,35.855857,128.569531,432.1473510414421,APT2025-01,두류역서한포레스트,2025
PW015041,(주)달구벌종합수산축산(웨딩비엔나)(SP),대구광역시 달서구 달구벌대로 1846,35.860266567,128.56687925,04,02,7,24시간 이용가능,파워큐브(SP),Y,N,2026-07-25T20:38:50+09:00,35.860266567,128.56687925,447.16338685626215,APT2025-01,두류역서한포레스트,2025
EZ100674,서광종합건설,대구광역시 달서구 두류공원로 242,35.8553271,128.5598353,01,02,7,24시간 이용가능,차지인,N,N,2026-07-25T20:38:50+09:00,35.8553271,128.5598353,471.68476721371894,APT2025-01,두류역서한포레스트,2025
PL031519,대구 한화생명 내당동사옥,대구 서구 달구벌대로 1833,35.8609,128.5653336,00,02,7,24시간 이용가능,플러그링크,N,N,2026-07-25T20:38:50+09:00,35.8609,128.5653336,479.6931015762999,APT2025-01,두류역서한포레스트,2025
PI530293,BMW차징스테이션 서대구전시장 by한독모터스,대구광역시 서구 달구벌대로 1841,35.8608743,128.5657178,02,04,100,24시간 이용가능,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.8608743,128.5657178,481.4072100533687,APT2025-01,두류역서한포레스트,2025
PW012453,삼도더펜트하우스수성입주자대표회의,대구광역시 수성구 파동로26길 26,35.819516835,128.6184509,01,02,7,24시간 이용가능,파워큐브,Y,N,2026-07-25T20:38:50+09:00,35.819516835,128.6184509,215.80342105966616,APT2025-02,수성포레스트스위첸,2025
PW801566,더펜트하우스수성입주자대표회의(SPB),대구광역시 수성구 파동로26길 26,35.819516888,128.61846705,03,02,7,24시간 이용가능,파워큐브(SP),Y,N,2026-07-25T20:38:50+09:00,35.819516888,128.61846705,217.0046411109444,APT2025-02,수성포레스트스위첸,2025
EZ001447,더펜트하우스,대구광역시 수성구 파동로26길 26,35.8198337,128.6185492,01,02,7,24시간 이용가능,차지인,N,N,2026-07-25T20:38:50+09:00,35.8198337,128.6185492,244.34418270263,APT2025-02,수성포레스트스위첸,2025
HM000763,우방대자연1차,대구광역시 수성구 파동로 120,35.8142248,128.6159837,04,02,7,24시간 이용가능,휴맥스이브이,N,N,2026-07-25T20:38:50+09:00,35.8142248,128.6159837,467.592729029943,APT2025-02,수성포레스트스위첸,2025
PL031622,대구 화성파크드림이스트밸리,대구 동구 송라로10길 34,35.8715037,128.622714,06,02,7,24시간 이용가능,플러그링크,N,N,2026-07-25T20:38:50+09:00,35.8715037,128.622714,143.85052898773063,APT2025-03,더센트럴화성파크드림,2025
IN053041,신천청아람아파트,대구광역시 동구 송라로14길 132,35.8741,128.6221,09,02,7,24시간 이용가능,신세계아이앤씨,N,Y,2026-07-25T20:38:50+09:00,35.8741,128.6221,172.12316868770105,APT2025-03,더센트럴화성파크드림,2025
PIS00563,대구 동구 신천청아람아파트,대구광역시 동구 송라로14길 132,35.8741,128.6221,01,02,7,24시간 이용가능,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.8741,128.6221,172.12316868770105,APT2025-03,더센트럴화성파크드림,2025
LU101282,동대구역센트럴시티자이,대구광역시 동구 송라로10길 33,35.8734967,128.6237186,11,02,7,24시간 이용가능,LG유플러스볼트업,Y,N,2026-07-25T20:38:50+09:00,35.8734967,128.6237186,200.4797952912946,APT2025-03,더센트럴화성파크드림,2025
PIH01792,대구 동구 벽산이솔렌스힐아파트,대구광역시 동구 장등로 56,35.8724153,128.6242287,05,02,7,24시간 이용가능,GS차지비,N,N,2026-07-25T20:38:50+09:00,35.8724153,128.6242287,218.6119228612451,APT2025-03,더센트럴화성파크드림,2025
CV000952,동대구벤처밸리 기업성장지원센터,대구광역시 동구 동대구로 465,35.872167,128.62477,01,06,50,09:00~18:00,채비,Y,N,2026-07-25T20:38:50+09:00,35.872167,128.62477,270.4460677517292,APT2025-03,더센트럴화성파크드림,2025
CV001396,대구테크노파크 대구벤처센터,대구광역시 동구 동대구로 475,35.872833,128.624825,01,02,7,24시간 이용가능,채비,Y,N,2026-07-25T20:38:50+09:00,35.872833,128.624825,273.23181001149874,APT2025-03,더센트럴화성파크드림,2025
PW801141,재단법인대구디지털혁신진흥원(T),대구광역시 동구 동대구로 469,35.872142054,128.62483137,02,02,7,24시간 이용가능,파워큐브코리아,Y,N,2026-07-25T20:38:50+09:00,35.872142054,128.62483137,276.3649574356557,APT2025-03,더센트럴화성파크드림,2025
CV003131,대구시_대구테크노파크 동대구캠퍼스 2동,대구광역시 동구 동대구로 481,35.87325,128.624797,01,02,7,24시간 이용가능,채비,Y,N,2026-07-25T20:38:50+09:00,35.87325,128.624797,279.55837107904443,APT2025-03,더센트럴화성파크드림,2025
CV002169,대구스케일업허브,대구광역시 동구 동대구로 465,35.871777,128.624853,01,02,7,24시간 이용가능,채비,N,N,2026-07-25T20:38:50+09:00,35.871777,128.624853,288.01701440390497,APT2025-03,더센트럴화성파크드림,2025
CV002196,대구경북디자인진흥원,대구광역시 동구 동대구로 461,35.871416,128.624825,03,04,100,24시간 이용가능,채비,N,N,2026-07-25T20:38:50+09:00,35.871416,128.624825,300.4454468533154,APT2025-03,더센트럴화성파크드림,2025
SF003317,대구무역회관 (완속충전기),대구광역시 동구 동대구로 489,35.874208512,128.62482043,00,02,7,09:00~18:00,(주)스타코프,N,N,2026-07-25T20:38:50+09:00,35.874208512,128.62482043,326.75724159782425,APT2025-03,더센트럴화성파크드림,2025
EV006712,대구동구 대구무역회관,대구광역시 동구 동대구로 489,35.874208512,128.62482043,02,02,7,24시간 이용가능,에버온,Y,N,2026-07-25T20:38:50+09:00,35.874208512,128.62482043,326.75724159782425,APT2025-03,더센트럴화성파크드림,2025
