complex_id,complex_name,gu,dong,move_in_ym,households,cohort,notes,source,match_verdict,matched_stations,matched_statIds,matched_statNms,geocode_lat,geocode_lng,geocode_note,nearby_300m_stations,nearby_500m_stations,nearby_500m_chargers,d1_rows_for_nearby_or_name
APT2025-01,두류역서한포레스트,달서구,두류동,2025-01,480,2025,주상복합,savetime_2025_list,MISSING_IN_INFO,0,[],[],35.8566057,128.5648257,"두류동, 두류1·2동, 달서구, 대구광역시, 41863, 대한민국",6,14,53,14
APT2025-02,수성포레스트스위첸,수성구,파동,2025-01,755,2025,,savetime_2025_list,MISSING_IN_INFO,0,[],[],35.8184103,128.6164846,"수성포레스트스위첸, 파동, 수성구, 대구광역시, 대한민국",3,4,17,4
APT2025-03,더센트럴화성파크드림,동구,신천동,2025-01,257,2025,,savetime_2025_list,MISSING_IN_INFO,0,[],[],35.87257,128.62181,"신천동, 신천3동, 동구, 대구광역시, 41257, 대한민국",10,27,184,27
APT2025-04,이안엑소디움에이펙스,달서구,감삼동,2025-02,117,2025,,savetime_2025_list,MISSING_IN_INFO,0,[],[],35.8485482,128.540915,"감삼동, 달서구, 대구광역시, 대한민국",4,18,255,18
APT2025-05,화성파크드림구수산공원,북구,읍내동,2025-02,520,2025,,savetime_2025_list,MISSING_IN_INFO,0,[],[],35.9480902,128.5521832,"읍내동, 북구, 대구광역시, 대한민국",6,20,95,20
APT2025-06,빌리브루센트,북구,칠성동,2025-03,258,2025,주상복합,savetime_2025_list,MISSING_IN_INFO,0,[],[],35.8784451,128.5992542,"칠성동, 북구, 대구광역시, 대한민국",4,17,84,17
APT2025-07,대구역자이더스타,북구,칠성동,2025-04,424,2025,주상복합,savetime_2025_list,MISSING_IN_INFO,0,[],[],35.8784451,128.5992542,"칠성동, 북구, 대구광역시, 대한민국",4,17,84,17
APT2025-08,힐스테이트대구역퍼스트,중구,태평로,2025-05,216,2025,1차,savetime_2025_list,MISSING_IN_INFO,0,[],[],35.8773475,128.585243,"태평로, 태평로3가, 성내3동, 중구, 대구광역시, 41915, 대한민국",15,20,200,20
APT2025-09,힐스테이트대구역퍼스트2차,중구,태평로,2025-05,174,2025,,savetime_2025_list,MISSING_IN_INFO,0,[],[],35.8773475,128.585243,"태평로, 태평로3가, 성내3동, 중구, 대구광역시, 41915, 대한민국",15,20,200,20
APT2025-10,힐스테이트동인,중구,동인동,2025-05,941,2025,,savetime_2025_list,MISSING_IN_INFO,0,[],[],35.870284,128.6076624,"동인동, 중구, 대구광역시, 대한민국",3,15,78,15
APT2025-11,빌리브라디체,달서구,본동,2025-06,520,2025,,savetime_2025_list,MISSING_IN_INFO,0,[],[],35.8354002,128.5397293,"본동, 달서구, 대구광역시, 대한민국",9,21,107,21
APT2025-12,해링턴플레이스감삼3차,달서구,감삼동,2025-07,363,2025,감삼Ⅲ,savetime_2025_list,MISSING_IN_INFO,0,[],[],35.8485482,128.540915,"감삼동, 달서구, 대구광역시, 대한민국",4,18,255,18
APT2025-13,태왕디아너스오페라,북구,고성동,2025-07,532,2025,,savetime_2025_list,MISSING_IN_INFO,0,[],[],35.8815252,128.5848229,"고성동, 북구, 대구광역시, 대한민국",8,29,222,29
APT2025-14,힐스테이트서대구역센트럴,서구,비산동,2025-07,762,2025,주상복합,savetime_2025_list,MISSING_IN_INFO,0,[],[],35.8811212,128.5665792,"비산동, 서구, 대구광역시, 대한민국",1,5,6,5
APT2025-15,두류스타힐스,서구,내당동,2025-07,840,2025,,savetime_2025_list,MISSING_IN_INFO,0,[],[],35.8625618,128.5618878,"내당동, 서구, 대구광역시, 대한민국",4,11,27,11
APT2025-16,두류역자이,서구,내당동,2025-08,1300,2025,주상복합,savetime_2025_list,MISSING_IN_INFO,0,[],[],35.8625618,128.5618878,"내당동, 서구, 대구광역시, 대한민국",4,11,27,11
APT2025-17,대구죽전행복주택,달서구,죽전동,2025-09,50,2025,공공·소규모,savetime_2025_list,MISSING_IN_INFO,0,[],[],35.8554316,128.5365409,"죽전동, 달서구, 대구광역시, 42638, 대한민국",10,17,82,17
APT2025-18,더팰리스트데시앙,동구,신천동,2025-10,418,2025,,savetime_2025_list,MISSING_IN_INFO,0,[],[],35.87257,128.62181,"신천동, 신천3동, 동구, 대구광역시, 41257, 대한민국",10,27,184,27
APT2025-19,e편한세상동대구역센텀스퀘어,동구,신천동,2025-11,322,2025,,savetime_2025_list,MISSING_IN_INFO,0,[],[],35.87257,128.62181,"신천동, 신천3동, 동구, 대구광역시, 41257, 대한민국",10,27,184,27
APT2025-20,더샵동성로센트리엘,중구,공평동,2025-11,392,2025,주상복합,savetime_2025_list,MISSING_IN_INFO,0,[],[],35.87032,128.59819,"공평동, 성내1동, 중구, 대구광역시, 41938, 대한민국",6,22,74,22
APT2025-21,영대병원역골드클래스센트럴오피스텔,남구,대명동,2025-11,171,2025,오피스텔,savetime_2025_list,MISSING_IN_INFO,0,[],[],35.83873,128.5751,"대명동, 대명9동, 남구, 대구광역시, 42469, 대한민국",4,14,45,14
APT2025-22,달서롯데캐슬센트럴스카이,달서구,본동,2025-12,481,2025,,savetime_2025_list,MISSING_IN_INFO,0,[],[],35.8354002,128.5397293,"본동, 달서구, 대구광역시, 대한민국",9,21,107,21
APT2026-01,범어자이,수성구,범어동,2026-02,399,2026,주상복합·입주전,seemsinfo_2026,MISSING_IN_INFO,0,[],[],35.8570887,128.6326373,"범어동, 수성구, 대구광역시, 대한민국",13,27,155,27
APT2026-02,힐스테이트대명센트럴2차,남구,대명동,2026-02,977,2026,주상복합·입주전,seemsinfo_2026,MISSING_IN_INFO,0,[],[],35.83873,128.5751,"대명동, 대명9동, 남구, 대구광역시, 42469, 대한민국",4,14,45,14
APT2026-03,힐스테이트칠성더오페라,북구,칠성동,2026-02,577,2026,주상복합·입주전,seemsinfo_2026,MISSING_IN_INFO,0,[],[],35.8784451,128.5992542,"칠성동, 북구, 대구광역시, 대한민국",4,17,84,17
APT2026-04,달서푸르지오시그니처,달서구,본리동,2026-03,993,2026,입주전,seemsinfo_2026,MISSING_IN_INFO,0,[],[],35.8409108,128.5392702,"본리동, 달서구, 대구광역시, 대한민국",20,37,185,37
APT2026-05,대구역센트레빌더오페라,북구,칠성동,2026-04,245,2026,주상복합·입주전,seemsinfo_2026,MISSING_IN_INFO,0,[],[],35.8773606,128.5912054,"대구역센트레빌더오페라, 칠성동, 북구, 대구광역시, 대한민국",6,24,196,24
APT2026-06,대명자이그랜드시티,남구,대명동,2026-04,2023,2026,입주전,seemsinfo_2026,MISSING_IN_INFO,0,[],[],35.83873,128.5751,"대명동, 대명9동, 남구, 대구광역시, 42469, 대한민국",4,14,45,14
APT2026-07,힐스테이트동대구센트럴,동구,신천동,2026-04,481,2026,주상복합·입주전,seemsinfo_2026,MISSING_IN_INFO,0,[],[],35.87257,128.62181,"신천동, 신천3동, 동구, 대구광역시, 41257, 대한민국",10,27,184,27
APT2026-08,벤처밸리푸르지오,동구,신천동,2026-04,540,2026,입주전·일부목록,apartsearcher_2026,MISSING_IN_INFO,0,[],[],35.87257,128.62181,"신천동, 신천3동, 동구, 대구광역시, 41257, 대한민국",10,27,184,27
APT2026-09,더샵달서센트엘로,달서구,본동,2026-06,272,2026,주상복합·입주전,seemsinfo_2026,MISSING_IN_INFO,0,[],[],35.8354002,128.5397293,"본동, 달서구, 대구광역시, 대한민국",9,21,107,21
