statId,as_of_ts,statNm,addr,lat,lng,coord_ok,total_chargers,available_count,observed_count,unobserved_count,availability_ratio_observed,unobserved_rate,has_confirmed_available,status_age_minutes,reliability_grade,observation_age_minutes,observation_grade,reliability_grade_effective,observation_state,is_operating_now,limitYn,access_restricted,name_suggests_residential,recommend_public_default,usage_level,sessions_per_charger,usage_weekday_avg,usage_weekend_avg,usage_charger_type,history_observed,eta_minutes,poi_count_1km,nearest_parking_m,parking_remaining_spaces,parking_total_spaces,parking_occupancy_rate,parking_congestion_status,parking_matched_id,parking_has_realtime,parking_remaining_std_1h,parking_remaining_delta_1h,parking_realtime_ticks_1h,parking_is_mock,parking_source,nearest_incident_m,nearest_link_id,nearest_link_m,link_speed_kph,link_cong_grade,link_cong_grade_nm,traffic_is_mock,traffic_source,source_status,schema_version
CV001234,2026-07-31T08:12:11+09:00,내당1동 행정복지센터,대구광역시 서구 통학로 35,35.86339,128.56397,True,2,2,2,0,1.0,0.0,True,156.86666666666667,CHECK_REQUIRED,150.6,CHECK_REQUIRED,CHECK_REQUIRED,STALE,N,N,False,False,True,,,,,,False,,1,202.4,,,,,152-1-000018,False,,,,False,team5_pis,946.8,,,,,,False,utic,sandbox_series,station_feature_v1
EV008555,2026-07-31T08:12:11+09:00,대구서구 황제맨션아파트,대구광역시 서구 통학로 46,35.865018634,128.56533466,True,6,4,6,0,0.6666666666666666,0.0,True,94.76666666666668,CHECK_REQUIRED,90.43333333333334,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,N,True,True,False,,,,,,False,,1,408.7,,,,,152-1-000021,False,,,,False,team5_pis,874.5,,,,,,False,utic,sandbox_series,station_feature_v1
EZ001394,2026-07-31T08:12:11+09:00,현대장여관,대구광역시 서구 평리로62길 16,35.8623503,128.5572185,True,2,0,0,2,,1.0,False,,CHECK_REQUIRED,,CHECK_REQUIRED,CHECK_REQUIRED,UNOBSERVED,Y,N,False,False,True,,,,,,False,,2,172.9,,,,,152-1-000019,False,,,,False,team5_pis,,1520000601.0,138.8,28.0,1.0,원활,False,utic,sandbox_series,station_feature_v1
KP002174,2026-07-31T08:12:11+09:00,홈플러스 내당점,대구광역시 서구 달구벌대로 1821,35.8603220891,128.5637319974,True,1,0,0,1,,1.0,False,,CHECK_REQUIRED,,CHECK_REQUIRED,CHECK_REQUIRED,UNOBSERVED,UNKNOWN,N,False,False,True,,,,,,False,,1,234.5,,,,,152-1-000018,False,,,,False,team5_pis,978.7,,,,,,False,utic,sandbox_series,station_feature_v1
LU001061,2026-07-31T08:12:11+09:00,보성홍실2차,대구광역시 서구 통학로 39,35.863941,128.563892,True,3,3,3,0,1.0,0.0,True,63.16666666666666,CHECK_REQUIRED,60.18333333333333,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,Y,True,False,False,,,,,,False,,1,245.1,,,,,152-1-000018,False,,,,False,team5_pis,964.6,,,,,,False,utic,sandbox_series,station_feature_v1
LU002217,2026-07-31T08:12:11+09:00,홍실1차아파트,대구광역시 서구 서대구로8길 49,35.862228,128.562319,True,2,1,2,0,0.5,0.0,True,799.2333333333333,CHECK_REQUIRED,794.6833333333333,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,Y,True,True,False,,,,,,False,,1,13.0,,,,,152-1-000018,False,,,,False,team5_pis,,,,,,,False,utic,sandbox_series,station_feature_v1
NT101674,2026-07-31T08:12:11+09:00,대구 현대해상사옥,대구광역시 달서구 달구벌대로 1790,35.85855,128.56079,True,5,4,5,0,0.8,0.0,True,7.35,NORMAL,0.0,HIGH,HIGH,FRESH,Y,Y,True,False,False,,,,,,False,,2,180.3,,,,,156-2-000096,False,,,,False,team5_pis,,1520000502.0,317.0,17.0,2.0,지체,False,utic,sandbox_series,station_feature_v1
PI530293,2026-07-31T08:12:11+09:00,BMW차징스테이션 서대구전시장 by한독모터스,대구광역시 서구 달구벌대로 1841,35.8608743,128.5657178,True,2,1,2,0,0.5,0.0,True,15.716666666666669,CHECK_REQUIRED,10.016666666666667,NORMAL,NORMAL,NORMAL,Y,N,False,False,True,,,,,,False,,1,260.1,,,,,152-1-000021,False,,,,False,team5_pis,791.3,,,,,,False,utic,sandbox_series,station_feature_v1
PI530306,2026-07-31T08:12:11+09:00,대구시 달서구 리베라빌라,대구광역시 달서구 두류공원로50길 113-18,35.8587824,128.5646295,True,1,1,1,0,1.0,0.0,True,274.4,CHECK_REQUIRED,270.96666666666664,CHECK_REQUIRED,CHECK_REQUIRED,STALE,Y,Y,True,False,False,,,,,,False,,1,390.9,,,,,156-2-000095,False,,,,False,team5_pis,952.7,,,,,,False,utic,sandbox_series,station_feature_v1
PL031519,2026-07-31T08:12:11+09:00,대구 한화생명 내당동사옥,대구 서구 달구벌대로 1833,35.8609,128.5653336,True,1,0,1,0,0.0,0.0,False,18.683333333333334,CHECK_REQUIRED,10.016666666666667,NORMAL,NORMAL,NORMAL,Y,N,False,False,True,,,,,,False,,1,288.5,,,,,152-1-000021,False,,,,False,team5_pis,824.9,,,,,,False,utic,sandbox_series,station_feature_v1
PW011725,2026-07-31T08:12:11+09:00,교동면옥내당점,대구광역시 서구 서대구로 52,35.862606765507,128.5568227477,True,2,0,0,2,,1.0,False,,CHECK_REQUIRED,,CHECK_REQUIRED,CHECK_REQUIRED,UNOBSERVED,Y,Y,True,False,False,,,,,,False,,2,186.3,,,,,152-1-000019,False,,,,False,team5_pis,,1520000601.0,93.7,28.0,1.0,원활,False,utic,sandbox_series,station_feature_v1
