statId,statNm,addr,lat,lng,chgerId,chgerType,output,useTime,busiNm,parkingFree,delYn,fetchedAt,lat_f,lng_f,dist_m
PL031622,대구 화성파크드림이스트밸리,대구 동구 송라로10길 34,35.8715037,128.622714,06,02,7,24시간 이용가능,플러그링크,N,N,2026-07-25T20:38:50+09:00,35.8715037,128.622714,143.85052898773063
IN053041,신천청아람아파트,대구광역시 동구 송라로14길 132,35.8741,128.6221,09,02,7,24시간 이용가능,신세계아이앤씨,N,Y,2026-07-25T20:38:50+09:00,35.8741,128.6221,172.12316868770105
PIS00563,대구 동구 신천청아람아파트,대구광역시 동구 송라로14길 132,35.8741,128.6221,01,02,7,24시간 이용가능,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.8741,128.6221,172.12316868770105
LU101282,동대구역센트럴시티자이,대구광역시 동구 송라로10길 33,35.8734967,128.6237186,11,02,7,24시간 이용가능,LG유플러스볼트업,Y,N,2026-07-25T20:38:50+09:00,35.8734967,128.6237186,200.4797952912946
PIH01792,대구 동구 벽산이솔렌스힐아파트,대구광역시 동구 장등로 56,35.8724153,128.6242287,05,02,7,24시간 이용가능,GS차지비,N,N,2026-07-25T20:38:50+09:00,35.8724153,128.6242287,218.6119228612451
CV000952,동대구벤처밸리 기업성장지원센터,대구광역시 동구 동대구로 465,35.872167,128.62477,01,06,50,09:00~18:00,채비,Y,N,2026-07-25T20:38:50+09:00,35.872167,128.62477,270.4460677517292
CV001396,대구테크노파크 대구벤처센터,대구광역시 동구 동대구로 475,35.872833,128.624825,01,02,7,24시간 이용가능,채비,Y,N,2026-07-25T20:38:50+09:00,35.872833,128.624825,273.23181001149874
PW801141,재단법인대구디지털혁신진흥원(T),대구광역시 동구 동대구로 469,35.872142054,128.62483137,02,02,7,24시간 이용가능,파워큐브코리아,Y,N,2026-07-25T20:38:50+09:00,35.872142054,128.62483137,276.3649574356557
CV003131,대구시_대구테크노파크 동대구캠퍼스 2동,대구광역시 동구 동대구로 481,35.87325,128.624797,01,02,7,24시간 이용가능,채비,Y,N,2026-07-25T20:38:50+09:00,35.87325,128.624797,279.55837107904443
CV002169,대구스케일업허브,대구광역시 동구 동대구로 465,35.871777,128.624853,01,02,7,24시간 이용가능,채비,N,N,2026-07-25T20:38:50+09:00,35.871777,128.624853,288.01701440390497
CV002196,대구경북디자인진흥원,대구광역시 동구 동대구로 461,35.871416,128.624825,03,04,100,24시간 이용가능,채비,N,N,2026-07-25T20:38:50+09:00,35.871416,128.624825,300.4454468533154
SF003317,대구무역회관 (완속충전기),대구광역시 동구 동대구로 489,35.874208512,128.62482043,00,02,7,09:00~18:00,(주)스타코프,N,N,2026-07-25T20:38:50+09:00,35.874208512,128.62482043,326.75724159782425
EV006712,대구동구 대구무역회관,대구광역시 동구 동대구로 489,35.874208512,128.62482043,02,02,7,24시간 이용가능,에버온,Y,N,2026-07-25T20:38:50+09:00,35.874208512,128.62482043,326.75724159782425
CV003071,대구시_대구상공회의소,대구광역시 동구 동대구로 457,35.871083,128.624964,01,06,50,24시간 이용가능,채비,N,N,2026-07-25T20:38:50+09:00,35.871083,128.624964,328.7908675018587
PL033196,동대구삼환나우빌,대구 동구 동부로 81,35.8757736,128.6210968,01,02,7,24시간 이용가능,플러그링크,N,N,2026-07-25T20:38:50+09:00,35.8757736,128.6210968,361.9737844185946
PL031999,대구 북구 동대구유성푸르나임아파트,대구 동구 동부로22길 48,35.872502,128.6260826,00,02,7,24시간 이용가능,플러그링크,N,N,2026-07-25T20:38:50+09:00,35.872502,128.6260826,385.0515893808993
KP000666,동대구유성푸르나임 아파트,대구광역시 동구 신천동 동부로22길 48,35.8724363153,128.6262200222,01,06,50,,한국전력,Y,N,2026-07-25T20:38:50+09:00,35.8724363153,128.6262200222,397.6377148495222
PI722554,신천휴먼시아6단지아파트,대구광역시 동구 송라로11길 39,35.870912318,128.61729013,10,02,7,24시간 이용가능,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.870912318,128.61729013,447.032266142141
SF002969,한국건강관리협회 대구지부 (완속충전기),대구광역시 동구 장등로 16,35.86879023,128.62353479,01,02,11,09:00~18:00,(주)스타코프,N,N,2026-07-25T20:38:50+09:00,35.86879023,128.62353479,448.1050710412483
LU101181,신천두산위브,대구광역시 동구 국채보상로 829,35.8685525,128.6222365,09,02,7,24시간 이용가능,LG유플러스볼트업,Y,N,2026-07-25T20:38:50+09:00,35.8685525,128.6222365,448.37557791923746
HY000753,현대아울렛 대구점,대구광역시 동구 동대구로 454,35.870779,128.626281,11,02,7,10:30 ~ 21:00,현대엔지니어링,N,N,2026-07-25T20:38:50+09:00,35.870779,128.626281,449.3946872928854
PI708859,신천두산위브B,대구광역시 동구 국채보상로 829,35.868524806,128.62193026,01,02,7,08:00~20:00,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.868524806,128.62193026,449.9355567736973
HY001691,대구 신천휴먼시아6단지,대구광역시 동구 송라로11길 39,35.870891,128.617188,03,02,7,24시간 이용가능,현대엔지니어링,Y,N,2026-07-25T20:38:50+09:00,35.870891,128.617188,456.39634555089725
HM000519,동대구반도유보라,대구광역시 동구 송라로16길 11,35.875528732,128.61795627,12,02,7,24시간 이용가능,HUMAX EV,N,N,2026-07-25T20:38:50+09:00,35.875528732,128.61795627,478.33701583420435
CV002401,동대구역더샵센터시티아파트,대구광역시 동구 동부로19길 18,35.876749,128.623464,01,02,7,24시간 이용가능,채비,Y,N,2026-07-25T20:38:50+09:00,35.876749,128.623464,487.9959851619896
PI000239,대구시 동부소방서,대구광역시 동구 동대구로 507,35.8759858474,128.6252252194,01,02,7,24시간 이용가능,GS차지비,,N,2026-07-25T20:38:50+09:00,35.8759858474,128.6252252194,488.83220777741525
TS271402,청구고등학교,대구광역시 동구 국채보상로 827,35.868361,128.61995,01,02,7,24시간 이용가능,주식회사 태성콘텍,Y,N,2026-07-25T20:38:50+09:00,35.868361,128.61995,497.1228057584935
