statId,statNm,addr,lat,lng,chgerId,chgerType,output,useTime,busiNm,parkingFree,delYn,fetchedAt,lat_f,lng_f,dist_m
LU003389,대구동성로주차장,대구광역시 중구 국채보상로123길 5,35.871214,128.59702,05,02,7,24시간 이용가능,LG유플러스볼트업,Y,N,2026-07-25T20:38:50+09:00,35.871214,128.59702,144.9005579714118
LU003389,대구동성로주차장,대구광역시 중구 국채보상로123길 5,35.871214,128.59702,06,02,7,24시간 이용가능,LG유플러스볼트업,Y,N,2026-07-25T20:38:50+09:00,35.871214,128.59702,144.9005579714118
LU003389,대구동성로주차장,대구광역시 중구 국채보상로123길 5,35.871214,128.59702,07,02,7,24시간 이용가능,LG유플러스볼트업,Y,N,2026-07-25T20:38:50+09:00,35.871214,128.59702,144.9005579714118
LU003389,대구동성로주차장,대구광역시 중구 국채보상로123길 5,35.871214,128.59702,08,02,7,24시간 이용가능,LG유플러스볼트업,Y,N,2026-07-25T20:38:50+09:00,35.871214,128.59702,144.9005579714118
LU003389,대구동성로주차장,대구광역시 중구 국채보상로123길 5,35.871214,128.59702,12,02,7,24시간 이용가능,LG유플러스볼트업,Y,N,2026-07-25T20:38:50+09:00,35.871214,128.59702,144.9005579714118
LU003389,대구동성로주차장,대구광역시 중구 국채보상로123길 5,35.871214,128.59702,11,02,7,24시간 이용가능,LG유플러스볼트업,Y,N,2026-07-25T20:38:50+09:00,35.871214,128.59702,144.9005579714118
LU003389,대구동성로주차장,대구광역시 중구 국채보상로123길 5,35.871214,128.59702,10,02,7,24시간 이용가능,LG유플러스볼트업,Y,N,2026-07-25T20:38:50+09:00,35.871214,128.59702,144.9005579714118
LU003389,대구동성로주차장,대구광역시 중구 국채보상로123길 5,35.871214,128.59702,09,02,7,24시간 이용가능,LG유플러스볼트업,Y,N,2026-07-25T20:38:50+09:00,35.871214,128.59702,144.9005579714118
LU003389,대구동성로주차장,대구광역시 중구 국채보상로123길 5,35.871214,128.59702,01,02,7,24시간 이용가능,LG유플러스볼트업,Y,N,2026-07-25T20:38:50+09:00,35.871214,128.59702,144.9005579714118
LU003389,대구동성로주차장,대구광역시 중구 국채보상로123길 5,35.871214,128.59702,02,02,7,24시간 이용가능,LG유플러스볼트업,Y,N,2026-07-25T20:38:50+09:00,35.871214,128.59702,144.9005579714118
LU003389,대구동성로주차장,대구광역시 중구 국채보상로123길 5,35.871214,128.59702,03,02,7,24시간 이용가능,LG유플러스볼트업,Y,N,2026-07-25T20:38:50+09:00,35.871214,128.59702,144.9005579714118
LU003389,대구동성로주차장,대구광역시 중구 국채보상로123길 5,35.871214,128.59702,04,02,7,24시간 이용가능,LG유플러스볼트업,Y,N,2026-07-25T20:38:50+09:00,35.871214,128.59702,144.9005579714118
LU003389,대구동성로주차장,대구광역시 중구 국채보상로123길 5,35.871214,128.59702,16,02,7,24시간 이용가능,LG유플러스볼트업,Y,N,2026-07-25T20:38:50+09:00,35.871214,128.59702,144.9005579714118
LU003389,대구동성로주차장,대구광역시 중구 국채보상로123길 5,35.871214,128.59702,15,02,7,24시간 이용가능,LG유플러스볼트업,Y,N,2026-07-25T20:38:50+09:00,35.871214,128.59702,144.9005579714118
LU003389,대구동성로주차장,대구광역시 중구 국채보상로123길 5,35.871214,128.59702,14,02,7,24시간 이용가능,LG유플러스볼트업,Y,N,2026-07-25T20:38:50+09:00,35.871214,128.59702,144.9005579714118
LU003389,대구동성로주차장,대구광역시 중구 국채보상로123길 5,35.871214,128.59702,13,02,7,24시간 이용가능,LG유플러스볼트업,Y,N,2026-07-25T20:38:50+09:00,35.871214,128.59702,144.9005579714118
LU003389,대구동성로주차장,대구광역시 중구 국채보상로123길 5,35.871214,128.59702,17,04,50,24시간 이용가능,LG유플러스볼트업,Y,N,2026-07-25T20:38:50+09:00,35.871214,128.59702,144.9005579714118
PI807412,대구 중구 동성로 중앙주차장,대구광역시 중구 동성로2길 80,35.8692144,128.5971838,01,02,7,24시간 이용가능,GS차지비,N,N,2026-07-25T20:38:50+09:00,35.8692144,128.5971838,152.75398462839075
PI807412,대구 중구 동성로 중앙주차장,대구광역시 중구 동성로2길 80,35.8692144,128.5971838,03,02,7,24시간 이용가능,GS차지비,N,N,2026-07-25T20:38:50+09:00,35.8692144,128.5971838,152.75398462839075
PI807412,대구 중구 동성로 중앙주차장,대구광역시 중구 동성로2길 80,35.8692144,128.5971838,02,02,7,24시간 이용가능,GS차지비,N,N,2026-07-25T20:38:50+09:00,35.8692144,128.5971838,152.75398462839075
PI807412,대구 중구 동성로 중앙주차장,대구광역시 중구 동성로2길 80,35.8692144,128.5971838,05,02,7,24시간 이용가능,GS차지비,N,N,2026-07-25T20:38:50+09:00,35.8692144,128.5971838,152.75398462839075
PI807412,대구 중구 동성로 중앙주차장,대구광역시 중구 동성로2길 80,35.8692144,128.5971838,06,02,7,24시간 이용가능,GS차지비,N,N,2026-07-25T20:38:50+09:00,35.8692144,128.5971838,152.75398462839075
PI807412,대구 중구 동성로 중앙주차장,대구광역시 중구 동성로2길 80,35.8692144,128.5971838,04,02,7,24시간 이용가능,GS차지비,N,N,2026-07-25T20:38:50+09:00,35.8692144,128.5971838,152.75398462839075
EZ300474,대구 동성로 스파크,대구광역시 중구 동성로6길 61,35.8687083,128.5987415,01,02,7,24시간 이용가능,(주)차지인,Y,N,2026-07-25T20:38:50+09:00,35.8687083,128.5987415,185.97514895040607
EZ250001,EVZ 동성로 스파크,대구광역시 중구 동성로3길 84,35.868649,128.598702,01,06,50,24시간 이용가능,(주)차지인,Y,N,2026-07-25T20:38:50+09:00,35.868649,128.598702,191.44860264107436
SF002258,신용보증기금 (대구지점),대구광역시 중구 경상감영길 221,35.8718238,128.5995626,04,02,3,09:00~18:00,스타코프(주)스타코프,N,N,2026-07-25T20:38:50+09:00,35.8718238,128.5995626,207.98378976681283
SF002258,신용보증기금 (대구지점),대구광역시 중구 경상감영길 221,35.8718238,128.5995626,03,02,3,09:00~18:00,스타코프(주)스타코프,N,N,2026-07-25T20:38:50+09:00,35.8718238,128.5995626,207.98378976681283
SF002258,신용보증기금 (대구지점),대구광역시 중구 경상감영길 221,35.8718238,128.5995626,00,02,3,09:00~18:00,스타코프(주)스타코프,N,N,2026-07-25T20:38:50+09:00,35.8718238,128.5995626,207.98378976681283
SF001002,씨네시티한일,대구광역시 중구 동성로 39,35.870489711,128.59537694,04,02,3,09:00~18:00,(주)스타코프,N,N,2026-07-25T20:38:50+09:00,35.870489711,128.59537694,254.1756088663394
SF001002,씨네시티한일,대구광역시 중구 동성로 39,35.870489711,128.59537694,03,02,3,09:00~18:00,(주)스타코프,N,N,2026-07-25T20:38:50+09:00,35.870489711,128.59537694,254.1756088663394
SF001002,씨네시티한일,대구광역시 중구 동성로 39,35.870489711,128.59537694,01,02,3,09:00~18:00,(주)스타코프,N,N,2026-07-25T20:38:50+09:00,35.870489711,128.59537694,254.1756088663394
SF001002,씨네시티한일,대구광역시 중구 동성로 39,35.870489711,128.59537694,02,02,3,09:00~18:00,(주)스타코프,N,N,2026-07-25T20:38:50+09:00,35.870489711,128.59537694,254.1756088663394
TDP00009,교보생명 동성로사옥,대구광역시 중구 국채보상로 586,35.870594,128.594818,01,02,7,07:00~24:00,타디스테크놀로지,N,N,2026-07-25T20:38:50+09:00,35.870594,128.594818,305.36160684186007
TDP00009,교보생명 동성로사옥,대구광역시 중구 국채보상로 586,35.870594,128.594818,02,02,7,07:00~24:00,타디스테크놀로지,N,N,2026-07-25T20:38:50+09:00,35.870594,128.594818,305.36160684186007
ME184067,대구시청,대구광역시 중구 국채보상로131길 17,35.8706135,128.6016338,01,06,50,24시간 이용가능,기후에너지환경부,N,N,2026-07-25T20:38:50+09:00,35.8706135,128.6016338,312.0189110274249
CV003571,대구시_대구시청 지상1층,대구광역시 중구 국채보상로131길 17,35.870639,128.6018,02,06,50,24시간 이용가능,채비,N,N,2026-07-25T20:38:50+09:00,35.870639,128.6018,327.2113303609441
CV003571,대구시_대구시청 지상1층,대구광역시 중구 국채보상로131길 17,35.870639,128.6018,01,02,7,24시간 이용가능,채비,N,N,2026-07-25T20:38:50+09:00,35.870639,128.6018,327.2113303609441
JE080003,(주)우리은행 대구지점,대구광역시 중구 중앙대로 418,35.8702606,128.5941282,01,02,7,평일 09:00~18:00,제주전기자동차서비스,Y,N,2026-07-25T20:38:50+09:00,35.8702606,128.5941282,366.0534358359569
KP005271,대구경북건설지사,대구광역시 중구 공평로 96,35.8726,128.6012,01,02,7,09:00~18:00,한국전력,Y,N,2026-07-25T20:38:50+09:00,35.8726,128.6012,371.25835153843957
KP005271,대구경북건설지사,대구광역시 중구 공평로 96,35.8726,128.6012,02,02,7,09:00~18:00,한국전력,Y,N,2026-07-25T20:38:50+09:00,35.8726,128.6012,371.25835153843957
CV003573,대구시_국채보상운동기념공원주차장,대구광역시 중구 공평로10길 25,35.868444,128.601716,01,02,7,24시간 이용가능,채비,N,N,2026-07-25T20:38:50+09:00,35.868444,128.601716,380.0785693620653
CV003573,대구시_국채보상운동기념공원주차장,대구광역시 중구 공평로10길 25,35.868444,128.601716,03,02,7,24시간 이용가능,채비,N,N,2026-07-25T20:38:50+09:00,35.868444,128.601716,380.0785693620653
CV003573,대구시_국채보상운동기념공원주차장,대구광역시 중구 공평로10길 25,35.868444,128.601716,02,02,7,24시간 이용가능,채비,N,N,2026-07-25T20:38:50+09:00,35.868444,128.601716,380.0785693620653
PI752996,대구시 흥구삼덕빌딩,대구광역시 중구 동성로3길 35,35.866935,128.5972768,01,02,7,24시간 이용가능,GS차지비,N,N,2026-07-25T20:38:50+09:00,35.866935,128.5972768,385.2845515551228
ST271102,히로텔모텔(투숙객 전용),대구광역시 중구 국채보상로 657-12,35.870012,128.603037,01,02,7,24시간 이용가능,SK일렉링크,Y,N,2026-07-25T20:38:50+09:00,35.870012,128.603037,438.08675300526147
ST271109,동인시티타운(입주민 전용),대구광역시 중구 국채보상로131길 55,35.8728,128.601981,01,02,7,24시간 이용가능,SK일렉링크,N,N,2026-07-25T20:38:50+09:00,35.8728,128.601981,439.00744355929135
ST271109,동인시티타운(입주민 전용),대구광역시 중구 국채보상로131길 55,35.8728,128.601981,02,02,7,24시간 이용가능,SK일렉링크,N,N,2026-07-25T20:38:50+09:00,35.8728,128.601981,439.00744355929135
ST271109,동인시티타운(입주민 전용),대구광역시 중구 국채보상로131길 55,35.8728,128.601981,03,02,7,24시간 이용가능,SK일렉링크,N,N,2026-07-25T20:38:50+09:00,35.8728,128.601981,439.00744355929135
PW014650,동성로하우스디어반 관리사무소,대구광역시 중구 국채보상로 570,35.8705772,128.593249,02,02,7,24시간 이용가능,파워큐브,Y,N,2026-07-25T20:38:50+09:00,35.8705772,128.593249,446.1320520056334
PW014650,동성로하우스디어반 관리사무소,대구광역시 중구 국채보상로 570,35.8705772,128.593249,01,02,7,24시간 이용가능,파워큐브,Y,N,2026-07-25T20:38:50+09:00,35.8705772,128.593249,446.1320520056334
PW014650,동성로하우스디어반 관리사무소,대구광역시 중구 국채보상로 570,35.8705772,128.593249,04,02,7,24시간 이용가능,파워큐브,Y,N,2026-07-25T20:38:50+09:00,35.8705772,128.593249,446.1320520056334
PW014650,동성로하우스디어반 관리사무소,대구광역시 중구 국채보상로 570,35.8705772,128.593249,03,02,7,24시간 이용가능,파워큐브,Y,N,2026-07-25T20:38:50+09:00,35.8705772,128.593249,446.1320520056334
PIH01712,비엘주차장,대구광역시 중구 중앙대로81길 7,35.8696717,128.5932232,03,02,7,24시간 이용가능,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.8696717,128.5932232,453.3102971909745
PIH01712,비엘주차장,대구광역시 중구 중앙대로81길 7,35.8696717,128.5932232,01,02,7,24시간 이용가능,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.8696717,128.5932232,453.3102971909745
PIH01712,비엘주차장,대구광역시 중구 중앙대로81길 7,35.8696717,128.5932232,02,02,7,24시간 이용가능,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.8696717,128.5932232,453.3102971909745
EV008499,국민은행 대구지점,대구광역시 중구 중앙대로 401(남일동),35.8688367,128.5934025,02,02,7,24시간 이용가능,에버온,N,N,2026-07-25T20:38:50+09:00,35.8688367,128.5934025,461.8432570608679
EV008499,국민은행 대구지점,대구광역시 중구 중앙대로 401(남일동),35.8688367,128.5934025,01,02,7,24시간 이용가능,에버온,N,N,2026-07-25T20:38:50+09:00,35.8688367,128.5934025,461.8432570608679
EV008499,국민은행 대구지점,대구광역시 중구 중앙대로 401(남일동),35.8688367,128.5934025,03,02,7,24시간 이용가능,에버온,N,N,2026-07-25T20:38:50+09:00,35.8688367,128.5934025,461.8432570608679
PI202733,케이티대구타워,대구광역시 중구 동덕로 167,35.8696592,128.6033867,11,02,14,비개방,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.8696592,128.6033867,473.98717058429327
PI202733,케이티대구타워,대구광역시 중구 동덕로 167,35.8696592,128.6033867,12,02,14,비개방,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.8696592,128.6033867,473.98717058429327
PI202733,케이티대구타워,대구광역시 중구 동덕로 167,35.8696592,128.6033867,02,02,7,비개방,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.8696592,128.6033867,473.98717058429327
PI202733,케이티대구타워,대구광역시 중구 동덕로 167,35.8696592,128.6033867,01,02,7,비개방,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.8696592,128.6033867,473.98717058429327
PI306068,유니온스퀘어,대구광역시 중구 동성로1길 15,35.867008,128.594644,01,02,7,09:00~18:00,GS차지비,N,N,2026-07-25T20:38:50+09:00,35.867008,128.594644,487.56916869874715
PI202801,케이티대구타워,"대구광역시 중구 동덕로 167 (동인동2가, KT대구지사(동인동우체국))",35.8696115,128.603585,21,02,14,비개방,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.8696115,128.603585,492.46788390748907
PI202801,케이티대구타워,"대구광역시 중구 동덕로 167 (동인동2가, KT대구지사(동인동우체국))",35.8696115,128.603585,22,02,14,비개방,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.8696115,128.603585,492.46788390748907
PI202801,케이티대구타워,"대구광역시 중구 동덕로 167 (동인동2가, KT대구지사(동인동우체국))",35.8696115,128.603585,11,02,14,비개방,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.8696115,128.603585,492.46788390748907
PI202801,케이티대구타워,"대구광역시 중구 동덕로 167 (동인동2가, KT대구지사(동인동우체국))",35.8696115,128.603585,12,02,14,비개방,GS차지비,Y,N,2026-07-25T20:38:50+09:00,35.8696115,128.603585,492.46788390748907
CV002471,국채보상운동기념공원주차장,대구광역시 중구 국채보상로 670,35.868889,128.60341,03,02,7,24시간 이용가능,채비,Y,N,2026-07-25T20:38:50+09:00,35.868889,128.60341,496.5448529992043
CV002471,국채보상운동기념공원주차장,대구광역시 중구 국채보상로 670,35.868889,128.60341,07,02,7,24시간 이용가능,채비,Y,N,2026-07-25T20:38:50+09:00,35.868889,128.60341,496.5448529992043
CV002471,국채보상운동기념공원주차장,대구광역시 중구 국채보상로 670,35.868889,128.60341,05,02,7,24시간 이용가능,채비,Y,N,2026-07-25T20:38:50+09:00,35.868889,128.60341,496.5448529992043
CV002471,국채보상운동기념공원주차장,대구광역시 중구 국채보상로 670,35.868889,128.60341,02,02,7,24시간 이용가능,채비,Y,N,2026-07-25T20:38:50+09:00,35.868889,128.60341,496.5448529992043
CV002471,국채보상운동기념공원주차장,대구광역시 중구 국채보상로 670,35.868889,128.60341,01,02,7,24시간 이용가능,채비,Y,N,2026-07-25T20:38:50+09:00,35.868889,128.60341,496.5448529992043
CV002471,국채보상운동기념공원주차장,대구광역시 중구 국채보상로 670,35.868889,128.60341,06,02,7,24시간 이용가능,채비,Y,N,2026-07-25T20:38:50+09:00,35.868889,128.60341,496.5448529992043
CV002471,국채보상운동기념공원주차장,대구광역시 중구 국채보상로 670,35.868889,128.60341,04,02,7,24시간 이용가능,채비,Y,N,2026-07-25T20:38:50+09:00,35.868889,128.60341,496.5448529992043
