statId,statNm,addr,charger_count,appeared_between_from,appeared_between_to,change_type,lat,lng,busiNm,bnm,addrDetail,busiId,delYn,chgerId
DC530029,진천트윈팰리스,대구광역시 달서구 월배로 71,6,20260717,20260721,NEW_IN_INFO,35.8146327,128.5219756,대성물류건설(주),대성물류건설,지상1층 주차장,DC,N,01
ME18C256,논공(광주) 휴게소,대구광역시 달성군 논공읍 삼리리 471-14,2,20260717,20260721,NEW_IN_INFO,35.768,128.404,기후에너지환경부,기후에너지환경부,,ME,Y,11
ST601738,성서4주공아파트(입주민 전용),대구 달서구 성서동로 355-27,5,20260717,20260721,NEW_IN_INFO,35.8513979,128.5129280,SK일렉링크,SK일렉링크,성서4주공아파트,ST,N,01
TS271406,신천동 동아아파트,대구광역시 동구 화랑로11길 66,2,20260717,20260721,NEW_IN_INFO,35.874210,128.630568,주식회사 태성콘텍,태성콘텍,,TS,N,01
CV003147,(철거)대구시_관음제1공영주차장,대구광역시 북구 관음동 448-1,1,20260717,20260721,GONE_FROM_INFO,35.941047,128.544693,채비,,,,Y,01
HE202651,강변일성트루엘아파트,대구광역시 북구 침산남로 215,5,20260717,20260721,GONE_FROM_INFO,35.886963,128.599187,한국전기차충전서비스,,,,Y,01
PI740051,장기누림타운,대구광역시 달서구 한들로 31,5,20260717,20260721,GONE_FROM_INFO,35.8475006,128.5284034,GS차지비,,,,Y,01
PIS00557,대구 달성군 대실역청아람1단지아파트,대구광역시 달성군 다사읍 대실역북로 38,17,20260721,20260722,NEW_IN_INFO,35.8607,128.4604,GS차지비,,,,N,01
PIS00563,대구 동구 신천청아람아파트,대구광역시 동구 송라로14길 132,13,20260721,20260722,NEW_IN_INFO,35.8741,128.6221,GS차지비,,,,N,01
ME18C256,논공(광주) 휴게소,대구광역시 달성군 논공읍 삼리리 471-14,2,20260721,20260722,GONE_FROM_INFO,35.768,128.404,기후에너지환경부,기후에너지환경부,,ME,Y,11
HM710135,두류역공영주차장,대구광역시 서구 달구벌대로 지하1760,3,20260723,20260725,NEW_IN_INFO,35.8580807,128.5571196,휴맥스이브이,,,,N,01
ME25C424,화산마을주차장,대구광역시 군위군 삼국유사면 화산길 619-17,4,20260723,20260725,NEW_IN_INFO,36.0984704,128.7735435,기후부,,,,N,21
