dow,hour,sessions
0,0,204
0,1,145
0,2,126
0,3,126
0,4,196
0,5,228
0,6,344
0,7,485
0,8,861
0,9,931
0,10,1178
0,11,1308
0,12,1513
0,13,1450
0,14,1471
0,15,1545
0,16,1576
0,17,1304
0,18,1061
0,19,889
0,20,695
0,21,520
0,22,396
0,23,282
1,0,183
1,1,150
1,2,127
1,3,137
1,4,211
1,5,238
1,6,342
1,7,449
1,8,843
1,9,1008
1,10,1163
1,11,1320
1,12,1473
1,13,1426
1,14,1336
1,15,1514
1,16,1543
1,17,1307
1,18,1068
1,19,876
1,20,733
1,21,528
1,22,430
1,23,298
2,0,230
2,1,159
2,2,152
2,3,116
2,4,179
2,5,278
2,6,315
2,7,447
2,8,876
2,9,1090
2,10,1217
2,11,1380
2,12,1433
2,13,1478
2,14,1484
2,15,1627
2,16,1597
2,17,1371
2,18,1109
2,19,970
2,20,715
2,21,603
2,22,429
2,23,305
3,0,201
3,1,171
3,2,161
3,3,145
3,4,221
3,5,268
3,6,363
3,7,448
3,8,864
3,9,1021
3,10,1234
3,11,1408
3,12,1487
3,13,1472
3,14,1440
3,15,1572
3,16,1715
3,17,1357
3,18,1114
3,19,900
3,20,691
3,21,577
3,22,437
3,23,315
4,0,205
4,1,187
4,2,156
4,3,156
4,4,215
4,5,287
4,6,357
4,7,494
4,8,901
4,9,1083
4,10,1263
4,11,1401
4,12,1604
4,13,1574
4,14,1557
4,15,1717
4,16,1705
4,17,1416
4,18,1183
4,19,1068
4,20,893
4,21,668
4,22,469
4,23,382
5,0,236
5,1,217
5,2,183
5,3,228
5,4,294
5,5,341
5,6,436
5,7,580
5,8,769
5,9,941
5,10,1130
5,11,1319
5,12,1243
5,13,1305
5,14,1426
5,15,1418
5,16,1368
5,17,1212
5,18,1008
5,19,850
5,20,696
5,21,547
5,22,480
5,23,377
6,0,265
6,1,191
6,2,197
6,3,159
6,4,245
6,5,264
6,6,323
6,7,506
6,8,607
6,9,728
6,10,882
6,11,1021
6,12,1115
6,13,1222
6,14,1288
6,15,1253
6,16,1320
6,17,1223
6,18,1155
6,19,904
6,20,755
6,21,590
6,22,440
6,23,299
