matched_id,parking_name,parking_addr,parking_type,parking_spaces,statId,charger_name,charger_addr,limitYn,distance_m,name_match,address_number_match,evidence_grade,evidence
156-2-000035,월촌공원 공영주차장,대구시 달서구 상인동 1559,공영,145,CV002012,월촌공영주차장,대구광역시 달서구 상인로 68-4,N,1.4,False,False,LIKELY,좌표 거리 1.4m
156-2-000035,월촌공원 공영주차장,대구시 달서구 상인동 1559,공영,145,CV000503,대구시_월촌공원주차장,대구광역시 달서구 상인로 68-4,N,1.5,False,False,LIKELY,좌표 거리 1.5m
154-2-000034,유통단지공원 공영주차장,대구광역시 북구 산격동 1615,공영,58,CV001122,시설공단대구_신기 공영주차장,대구광역시 북구 유통단지로13길 13-11,N,2.8,False,False,LIKELY,좌표 거리 2.8m
156-2-000012,도원동 마을공영주차장,대구시 달서구 도원동 668-10,공영,11,ME19E215,월광수변공원,대구광역시 달서구 도원동 928,N,3.4,False,False,LIKELY,좌표 거리 3.4m
154-1-000207,옥산로3길,대구광역시 북구 노원동1가 208-1,공영,4,DC530020,북구청푸르지오에듀포레,대구광역시 북구 침산남로 30,N,3.6,False,False,LIKELY,좌표 거리 3.6m
361-2-000046,효령면행정복지센터 주차장,대구광역시 군위군 효령면 치산효령로 2400,공영,38,KP006964,효령면행복복지센터,대구 군위군 효령면 중구리 204-1,N,6.1,False,False,LIKELY,좌표 거리 6.1m
151-2-000017,위남마을 공영주차장(공한지주차장),대구광역시 동구 봉무동 898,공영,46,CV002202,위남마을공용주차장,대구광역시 동구 위남로 60,N,8.0,False,False,LIKELY,좌표 거리 8.0m
156-2-000105,월배공영주차장,대구 달서구 상원로 32,공영,100,CV004614,월배노인종합복지관,대구광역시 달서구 상화로21길 77,N,8.0,False,False,LIKELY,좌표 거리 8.0m
155-1-000144,수성알파시티 전기충전주차장 2,대구광역시 수성구 대흥동 911,공영,6,CV000569,대구시_수성의료지구,대구광역시 수성구 알파시티1로 83,N,8.1,False,False,LIKELY,좌표 거리 8.1m
151-1-000177,화랑로73길,대구광역시 동구 방촌동 1084-13,공영,30,SF003055,방촌청구타운 (완속충전기),대구광역시 동구 화랑로73길 36,N,8.9,False,False,LIKELY,좌표 거리 8.9m
156-1-000028,대진고등학교 남편,대구광역시 달서구 대곡동 1037-2,공영,15,SF000324,대곡 수목원 풍경 그린 아파트,대구광역시 달서구 갈밭남로 64,N,9.2,False,False,LIKELY,좌표 거리 9.2m
156-1-000028,대진고등학교 남편,대구광역시 달서구 대곡동 1037-2,공영,15,SF000280,수목원제일풍경채,대구광역시 달서구 갈밭남로 12,N,9.3,False,False,LIKELY,좌표 거리 9.3m
150-1-000159,삼덕동행정복지센터 앞 노상무료,대구광역시 중구 삼덕동3가 179-1,공영,2,CV000812,대구시_삼덕동,대구광역시 중구 달구벌대로447길 72-11,N,10.1,False,False,LIKELY,좌표 거리 10.1m
361-2-000004,사라온이야기마을 주차장,대구광역시 군위군 군위읍 서부리 39-3,공영,7,CV004551,군위 세대희망허브센터,대구광역시 군위군 군위읍 동서1길 13-7,N,10.7,False,False,LIKELY,좌표 거리 10.7m
154-1-000041,관음동 민원주차,대구광역시 북구 관음동 1285,공영,2,CV003468,대구시_관음동행정복지센터,대구광역시 북구 관음동로 125,N,12.4,False,False,LIKELY,좌표 거리 12.4m
152-1-000018,내당보성 홍실아파트 남측,대구광역시 서구 내당동 28-1,공영,10,LU002217,홍실1차아파트,대구광역시 서구 서대구로8길 49,Y,13.0,False,False,LIKELY,좌표 거리 13.0m
156-1-000081,송현여중 동편,대구광역시 달서구 송현동 540,공영,17,HW000396,대구 송현여자고등학교,대구광역시 달서구 송현로 156,N,13.3,False,False,LIKELY,좌표 거리 13.3m
155-1-000158,욱수그린공원,대구광역시 수성구 욱수동 240-5,공영,23,CV000783,대구시_신매공원,대구광역시 수성구 달구벌대로652길 65,N,13.7,False,False,LIKELY,좌표 거리 13.7m
156-2-000070,장기근린공원 주차장,대구시 달서구 장기동 733,공영,103,ME24B143,장기공원 주차장,대구광역시 달서구 문화회관 4길22-7,N,14.0,False,False,LIKELY,좌표 거리 14.0m
155-2-000023,임시공영47,대구광역시 수성구 들안로71길 16,공영,5,PI530315,대구시 수성구 수성4가동행정복지센터,대구광역시 수성구 들안로67길 64,N,15.5,False,False,LIKELY,좌표 거리 15.5m
155-2-000041,구)황금2동행정복지센터 앞 공영주차장,대구광역시 수성구 황금동 953-4,공영,11,ME183069,황금2동주민센터 앞 공영주차장,대구광역시 수성구 청수로31길 45,N,15.6,False,False,LIKELY,좌표 거리 15.6m
153-1-000083,이천동행정복지센터 앞,대구광역시 남구 이천동 383-22,공영,5,CV003086,대구시_이천동행정복지센터,대구광역시 남구 이천로28길 8-14,N,15.8,False,False,LIKELY,좌표 거리 15.8m
156-1-000097,장관빌라 남편,대구광역시 달서구 송현동 2015-13,공영,15,KP001642,동서장관빌라,대구광역시 달서구 송현동 중흥로 68,Y,15.8,False,False,LIKELY,좌표 거리 15.8m
156-1-000097,장관빌라 남편,대구광역시 달서구 송현동 2015-13,공영,15,EV017838,대구달서 동서장관빌라,대구 달서구 중흥로 68,Y,16.0,False,False,LIKELY,좌표 거리 16.0m
156-2-000023,학산공원 삼거리 주차장,대구시 달서구 본동 1119,공영,73,KP003772,학산근린공원삼거리주차장,대구광역시 달서구 학산로 104-11,N,16.0,False,False,LIKELY,좌표 거리 16.0m
154-1-000231,칠곡현대아파트남측서측,대구광역시 북구 태전동 997,공영,21,PI764308,칠곡현대1차,대구광역시 북구 구암로16길 7,Y,16.4,False,False,LIKELY,좌표 거리 16.4m
155-1-000176,지산타운아파트 북동편,대구광역시 수성구 지산동 1297-3,공영,21,HM000849,지산서한이다음,대구광역시 수성구 용학로 313,Y,16.8,False,False,LIKELY,좌표 거리 16.8m
155-2-000046,울루루광장공영주차장,대구광역시 수성구 두산동 696-3,공영,67,CV001969,수성못동편공영주차장,대구광역시 수성구 수성못2길 27,N,17.0,False,False,LIKELY,좌표 거리 17.0m
154-1-000222,중앙대로105길,대구광역시 북구 칠성동2가 355-1,공영,15,HM001672,우방플러스빌,대구광역시 북구 중앙대로105길 17,Y,17.0,False,False,LIKELY,좌표 거리 17.0m
157-1-000128,천내보성타운인근,대구광역시 달성군 화원읍 천내리 125-4,공영,36,PW014647,천내보성타운관리소(SP),대구광역시 달성군 화원읍 화원로 37,Y,17.0,False,False,LIKELY,좌표 거리 17.0m
155-3-000005,고산노인복지관,대구광역시 수성구 욱수천로 99,공영,40,CV003120,대구시_고산1동행정복지센터,대구광역시 수성구 달구벌대로 3260-2,N,17.8,False,False,LIKELY,좌표 거리 17.8m
155-2-000052,수성구 무료공영주차장,대구광역시 수성구 용학로 50길 47-1,공영,43,ME19E217,수성생활체육공원,대구광역시 수성구 지산동 산 136,N,18.7,False,False,LIKELY,좌표 거리 18.7m
