ts,n,n_unique,file
2026-07-21 09:21:28,8,8,daegu_traffic_incident_utic_20260721_092128.csv
2026-07-21 09:32:23,8,8,daegu_traffic_incident_utic_20260721_093223.csv
2026-07-21 09:47:26,10,10,daegu_traffic_incident_utic_20260721_094726.csv
2026-07-21 10:02:29,16,16,daegu_traffic_incident_utic_20260721_100229.csv
2026-07-21 10:17:33,16,16,daegu_traffic_incident_utic_20260721_101733.csv
2026-07-21 10:32:36,19,19,daegu_traffic_incident_utic_20260721_103236.csv
2026-07-21 10:47:41,19,19,daegu_traffic_incident_utic_20260721_104741.csv
2026-07-21 11:02:44,19,19,daegu_traffic_incident_utic_20260721_110244.csv
2026-07-21 11:17:47,20,20,daegu_traffic_incident_utic_20260721_111747.csv
2026-07-21 11:32:51,21,21,daegu_traffic_incident_utic_20260721_113251.csv
2026-07-21 11:47:54,21,21,daegu_traffic_incident_utic_20260721_114754.csv
2026-07-21 12:02:58,21,21,daegu_traffic_incident_utic_20260721_120258.csv
2026-07-21 12:18:02,18,18,daegu_traffic_incident_utic_20260721_121802.csv
2026-07-21 12:33:05,17,17,daegu_traffic_incident_utic_20260721_123305.csv
2026-07-21 12:48:08,17,17,daegu_traffic_incident_utic_20260721_124808.csv
2026-07-21 13:03:11,18,18,daegu_traffic_incident_utic_20260721_130311.csv
2026-07-21 13:18:14,18,18,daegu_traffic_incident_utic_20260721_131814.csv
2026-07-21 13:33:18,19,19,daegu_traffic_incident_utic_20260721_133318.csv
2026-07-21 13:48:21,20,20,daegu_traffic_incident_utic_20260721_134821.csv
2026-07-21 14:03:25,18,18,daegu_traffic_incident_utic_20260721_140325.csv
2026-07-21 14:18:28,22,22,daegu_traffic_incident_utic_20260721_141828.csv
2026-07-21 14:33:32,21,21,daegu_traffic_incident_utic_20260721_143332.csv
2026-07-21 14:48:36,22,22,daegu_traffic_incident_utic_20260721_144836.csv
2026-07-21 15:03:39,23,23,daegu_traffic_incident_utic_20260721_150339.csv
2026-07-21 15:18:44,22,22,daegu_traffic_incident_utic_20260721_151844.csv
2026-07-21 15:33:48,23,23,daegu_traffic_incident_utic_20260721_153348.csv
2026-07-21 15:48:52,23,23,daegu_traffic_incident_utic_20260721_154852.csv
2026-07-21 16:03:55,22,22,daegu_traffic_incident_utic_20260721_160355.csv
2026-07-21 16:19:00,20,20,daegu_traffic_incident_utic_20260721_161900.csv
2026-07-21 16:34:03,19,19,daegu_traffic_incident_utic_20260721_163403.csv
2026-07-21 16:49:07,20,20,daegu_traffic_incident_utic_20260721_164907.csv
2026-07-21 17:04:11,21,21,daegu_traffic_incident_utic_20260721_170411.csv
2026-07-21 17:19:14,19,19,daegu_traffic_incident_utic_20260721_171914.csv
2026-07-21 17:34:18,13,13,daegu_traffic_incident_utic_20260721_173418.csv
2026-07-22 08:18:48,6,6,daegu_traffic_incident_utic_20260722_081848.csv
2026-07-22 08:24:41,6,6,daegu_traffic_incident_utic_20260722_082441.csv
2026-07-22 08:25:22,6,6,daegu_traffic_incident_utic_20260722_082522.csv
2026-07-22 08:40:25,6,6,daegu_traffic_incident_utic_20260722_084025.csv
2026-07-22 08:55:28,5,5,daegu_traffic_incident_utic_20260722_085528.csv
2026-07-22 09:10:32,7,7,daegu_traffic_incident_utic_20260722_091032.csv
2026-07-22 09:25:35,7,7,daegu_traffic_incident_utic_20260722_092535.csv
2026-07-22 09:40:41,8,8,daegu_traffic_incident_utic_20260722_094041.csv
2026-07-22 09:55:44,9,9,daegu_traffic_incident_utic_20260722_095544.csv
2026-07-22 10:10:49,9,9,daegu_traffic_incident_utic_20260722_101049.csv
2026-07-22 10:25:52,9,9,daegu_traffic_incident_utic_20260722_102552.csv
2026-07-22 10:40:57,8,8,daegu_traffic_incident_utic_20260722_104057.csv
2026-07-22 10:56:00,9,9,daegu_traffic_incident_utic_20260722_105600.csv
2026-07-22 11:11:03,11,11,daegu_traffic_incident_utic_20260722_111103.csv
2026-07-22 11:26:06,13,13,daegu_traffic_incident_utic_20260722_112606.csv
2026-07-22 11:41:09,12,12,daegu_traffic_incident_utic_20260722_114109.csv
2026-07-22 11:56:13,9,9,daegu_traffic_incident_utic_20260722_115613.csv
2026-07-22 12:11:16,9,9,daegu_traffic_incident_utic_20260722_121116.csv
2026-07-22 12:26:20,8,8,daegu_traffic_incident_utic_20260722_122620.csv
2026-07-22 12:41:22,8,8,daegu_traffic_incident_utic_20260722_124122.csv
2026-07-22 12:56:25,8,8,daegu_traffic_incident_utic_20260722_125625.csv
2026-07-22 13:11:28,9,9,daegu_traffic_incident_utic_20260722_131128.csv
2026-07-22 13:26:32,11,11,daegu_traffic_incident_utic_20260722_132632.csv
2026-07-22 13:41:35,13,13,daegu_traffic_incident_utic_20260722_134135.csv
2026-07-22 13:56:39,14,14,daegu_traffic_incident_utic_20260722_135639.csv
2026-07-22 14:11:42,15,15,daegu_traffic_incident_utic_20260722_141142.csv
2026-07-22 14:26:46,15,15,daegu_traffic_incident_utic_20260722_142646.csv
2026-07-22 14:41:50,15,15,daegu_traffic_incident_utic_20260722_144150.csv
2026-07-22 14:56:54,13,13,daegu_traffic_incident_utic_20260722_145654.csv
2026-07-22 15:11:58,13,13,daegu_traffic_incident_utic_20260722_151158.csv
2026-07-22 15:27:04,14,14,daegu_traffic_incident_utic_20260722_152704.csv
2026-07-22 15:42:09,14,14,daegu_traffic_incident_utic_20260722_154209.csv
2026-07-22 15:57:13,14,14,daegu_traffic_incident_utic_20260722_155713.csv
2026-07-22 16:12:17,13,13,daegu_traffic_incident_utic_20260722_161217.csv
2026-07-22 16:27:22,12,12,daegu_traffic_incident_utic_20260722_162722.csv
2026-07-22 16:42:27,9,9,daegu_traffic_incident_utic_20260722_164227.csv
2026-07-22 16:57:31,9,9,daegu_traffic_incident_utic_20260722_165731.csv
2026-07-22 17:12:36,9,9,daegu_traffic_incident_utic_20260722_171236.csv
2026-07-22 17:27:41,8,8,daegu_traffic_incident_utic_20260722_172741.csv
2026-07-22 17:42:50,6,6,daegu_traffic_incident_utic_20260722_174250.csv
2026-07-24 12:59:50,4,4,daegu_traffic_incident_utic_20260724_125950.csv
2026-07-24 13:03:24,4,4,daegu_traffic_incident_utic_20260724_130324.csv
2026-07-24 13:18:27,4,4,daegu_traffic_incident_utic_20260724_131827.csv
2026-07-24 13:33:30,5,5,daegu_traffic_incident_utic_20260724_133330.csv
2026-07-24 13:48:34,10,10,daegu_traffic_incident_utic_20260724_134834.csv
2026-07-24 14:03:37,17,17,daegu_traffic_incident_utic_20260724_140337.csv
2026-07-24 14:18:41,16,16,daegu_traffic_incident_utic_20260724_141841.csv
2026-07-24 14:33:45,15,15,daegu_traffic_incident_utic_20260724_143345.csv
2026-07-24 14:48:49,15,15,daegu_traffic_incident_utic_20260724_144849.csv
2026-07-24 15:03:53,16,16,daegu_traffic_incident_utic_20260724_150353.csv
2026-07-24 15:18:56,15,15,daegu_traffic_incident_utic_20260724_151856.csv
2026-07-24 15:33:59,14,14,daegu_traffic_incident_utic_20260724_153359.csv
2026-07-24 15:49:05,14,14,daegu_traffic_incident_utic_20260724_154905.csv
2026-07-24 16:04:08,13,13,daegu_traffic_incident_utic_20260724_160408.csv
2026-07-24 16:19:11,13,13,daegu_traffic_incident_utic_20260724_161911.csv
2026-07-24 16:34:14,11,11,daegu_traffic_incident_utic_20260724_163414.csv
2026-07-25 16:20:51,7,7,daegu_traffic_incident_utic_20260725_162051.csv
2026-07-25 16:26:49,6,6,daegu_traffic_incident_utic_20260725_162649.csv
2026-07-25 20:35:47,2,2,daegu_traffic_incident_utic_20260725_203547.csv
2026-07-26 08:36:54,0,0,daegu_traffic_incident_utic_20260726_083654.csv
2026-07-26 14:12:11,2,2,daegu_traffic_incident_utic_20260726_141211.csv
2026-07-27 08:50:34,1,1,daegu_traffic_incident_utic_20260727_085034.csv
2026-07-27 20:20:40,1,1,daegu_traffic_incident_utic_20260727_202040.csv
2026-07-28 08:46:06,2,2,daegu_traffic_incident_utic_20260728_084606.csv
2026-07-30 13:59:23,9,9,daegu_traffic_incident_utic_20260730_135923.csv
2026-07-31 08:19:38,5,5,daegu_traffic_incident_utic_20260731_081938.csv
2026-07-31 15:03:53,12,12,daegu_traffic_incident_utic_20260731_150353.csv
2026-07-31 15:29:04,14,14,daegu_traffic_incident_utic_20260731_152904.csv
2026-08-01 08:54:26,1,1,daegu_traffic_incident_utic_20260801_085426.csv
2026-08-02 09:01:50,1,1,daegu_traffic_incident_utic_20260802_090150.csv
2026-08-03 08:40:55,17,17,daegu_traffic_incident_utic_20260803_084055.csv
