hour,public_pct,public_ticks,special_pct,special_ticks,apt_name_pct,apt_ticks
0,73.54347479110741,87,41.47185297901974,87,42.30600659744062,87
1,73.23582460518914,90,42.03000105113741,90,43.22032959789942,90
2,74.01933052844089,90,43.12058168130744,90,44.35679423950309,90
3,74.98191331293111,90,44.33263919345801,90,45.81953064431881,90
4,76.00369252825169,90,45.80094590481239,90,47.363469982355035,90
5,76.91480386280068,90,48.693894875851434,90,50.29482090498016,90
6,77.60954706379357,90,53.731446252006734,90,55.23868156745743,90
7,80.1838789978288,110,64.3300759062924,110,65.09514119373715,110
8,80.39712814942492,144,73.3550832125035,144,73.84172013900448,144
9,78.5877874296095,115,76.17250326730415,115,76.76662437856757,115
10,78.37517466848576,114,78.54926398146992,114,78.93974873882236,114
11,78.59675659054051,113,79.6149463692086,113,79.67953059782432,113
12,78.47183161204481,113,79.64692809311839,113,79.72234073677629,113
13,78.34742452612507,115,78.72416492682832,115,79.02790379406355,115
14,77.57197254463733,118,77.52910989557947,118,77.96385524799194,118
15,77.18348746307623,122,76.02339886232875,122,76.69759995505366,122
16,76.21616279873892,113,72.2431172937789,113,72.88469018348121,113
17,76.34499615361207,103,69.95902833414071,103,70.67521131182636,103
18,76.53909421614054,90,66.52653753300385,90,67.60920684577613,90
19,74.35167489431169,90,60.629070473269024,90,61.986528158103596,90
20,72.50534084583755,103,51.17198415880158,103,52.65619620438151,103
21,70.47463567159565,102,45.97147742054897,102,47.11566294669261,102
22,70.19747522743326,91,43.117573847683424,91,44.177605890322525,91
23,71.60033197231311,78,44.504766031999736,78,45.61299523146253,78
